"","Canada","France","Germany","Japan","Italy","United Kingdom","United States","G7"
"X0.0132779086795132",0.0132779086795132,0.0132779086795132,0.0132779086795132,0.0132779086795132,0.0132779086795132,0.0132779086795132,0.0132779086795132,0.00190042431719891
"X0.0323027751276332",0.0323027751276332,0.0323027751276332,0.0323027751276332,0.0323027751276332,0.0323027751276332,0.0323027751276332,0.0323027751276332,0.0911703607868736
"X0.0275017900774848",0.0275017900774848,0.0275017900774848,0.0275017900774848,0.0275017900774848,0.0275017900774848,0.0275017900774848,0.0275017900774848,0.0766521151905655
"X0.0287628076630464",0.0287628076630464,0.0287628076630464,0.0287628076630464,0.0287628076630464,0.0287628076630464,0.0287628076630464,0.0287628076630464,0.14673125003219
"X0.0224032814567579",0.0224032814567579,0.0224032814567579,0.0224032814567579,0.0224032814567579,0.0224032814567579,0.0224032814567579,0.0224032814567579,0.180901983237329
"X0.017073308232905",0.017073308232905,0.017073308232905,0.017073308232905,0.017073308232905,0.017073308232905,0.017073308232905,0.017073308232905,0.191962458027961
"X0.0234846584465605",0.0234846584465605,0.0234846584465605,0.0234846584465605,0.0234846584465605,0.0234846584465605,0.0234846584465605,0.0234846584465605,0.124386255145423
"X0.014319585855452",0.014319585855452,0.014319585855452,0.014319585855452,0.014319585855452,0.014319585855452,0.014319585855452,0.014319585855452,0.157989671557612
"X0.0261644896635158",0.0261644896635158,0.0261644896635158,0.0261644896635158,0.0261644896635158,0.0261644896635158,0.0261644896635158,0.0261644896635158,0.166955155327239
"X0.0398840269181443",0.0398840269181443,0.0398840269181443,0.0398840269181443,0.0398840269181443,0.0398840269181443,0.0398840269181443,0.0398840269181443,0.0835804101268496
"X0.0305645121016263",0.0305645121016263,0.0305645121016263,0.0305645121016263,0.0305645121016263,0.0305645121016263,0.0305645121016263,0.0305645121016263,0.164981599996282
"X0.0212466676644876",0.0212466676644876,0.0212466676644876,0.0212466676644876,0.0212466676644876,0.0212466676644876,0.0212466676644876,0.0212466676644876,0.193495039392293
"X0.0215589430117818",0.0215589430117818,0.0215589430117818,0.0215589430117818,0.0215589430117818,0.0215589430117818,0.0215589430117818,0.0215589430117818,0.227395970983659
"X0.0122516588955758",0.0122516588955758,0.0122516588955758,0.0122516588955758,0.0122516588955758,0.0122516588955758,0.0122516588955758,0.0122516588955758,0.131762088160861
"X0.0215126515092507",0.0215126515092507,0.0215126515092507,0.0215126515092507,0.0215126515092507,0.0215126515092507,0.0215126515092507,0.0215126515092507,0.168294798162129
"X0.0191287015144317",0.0191287015144317,0.0191287015144317,0.0191287015144317,0.0191287015144317,0.0191287015144317,0.0191287015144317,0.0191287015144317,0.16646258883592
"X0.0252738025308758",0.0252738025308758,0.0252738025308758,0.0252738025308758,0.0252738025308758,0.0252738025308758,0.0252738025308758,0.0252738025308758,0.162985221092315
"X0.018785316312297",0.018785316312297,0.018785316312297,0.018785316312297,0.018785316312297,0.018785316312297,0.018785316312297,0.018785316312297,0.12366071530761
"X0.0147926630823259",0.0147926630823259,0.0147926630823259,0.0147926630823259,0.0147926630823259,0.0147926630823259,0.0147926630823259,0.0147926630823259,0.169467878329888
"X0.0113406059397594",0.0113406059397594,0.0113406059397594,0.0113406059397594,0.0113406059397594,0.0113406059397594,0.0113406059397594,0.0113406059397594,0.0671171931080839
"X0.0300898524933861",0.0300898524933861,0.0300898524933861,0.0300898524933861,0.0300898524933861,0.0300898524933861,0.0300898524933861,0.0300898524933861,0.000643193855442582
