"","canada","france","germany","japan","italy","united_kingdom","united_states"
"1995",NA,NA,NA,NA,NA,NA,NA
"1996",NA,NA,NA,NA,NA,NA,NA
"1997",NA,NA,NA,NA,NA,NA,NA
"1998",NA,NA,NA,NA,NA,NA,NA
"1999",NA,NA,NA,NA,NA,NA,NA
"2000",NA,NA,NA,NA,NA,0.416666666666667,0.666666666666667
"2001",NA,NA,NA,NA,NA,0.361111111111111,0.694444444444444
"2002",NA,NA,0.444444444444444,NA,NA,0.361111111111111,0.694444444444444
"2003",NA,NA,0.611111111111111,NA,NA,0.444444444444444,0.694444444444444
"2004",NA,NA,0.777777777777778,NA,NA,0.416666666666667,0.694444444444444
"2005",NA,NA,0.833333333333333,NA,NA,0.388888888888889,0.694444444444444
"2006",NA,NA,0.805555555555556,NA,NA,0.388888888888889,0.694444444444444
"2007",NA,NA,0.861111111111111,NA,NA,0.361111111111111,0.694444444444444
"2008",NA,NA,0.861111111111111,0.472222222222222,NA,0.388888888888889,0.722222222222222
"2009",NA,NA,0.888888888888889,0.861111111111111,NA,0.5,0.75
"2010",NA,0,0.888888888888889,1,NA,0.638888888888889,0.777777777777778
"2011",NA,0.166666666666667,0.888888888888889,0.861111111111111,NA,0.666666666666667,0.805555555555556
"2012",0.611111111111111,0.305555555555556,0.888888888888889,0.861111111111111,NA,0.722222222222222,0.833333333333333
"2013",0.694444444444444,0.388888888888889,0.888888888888889,0.888888888888889,0.638888888888889,0.75,0.833333333333333
"2014",0.694444444444444,0.444444444444444,0.888888888888889,0.916666666666667,0.611111111111111,0.777777777777778,0.861111111111111
"2015",0.694444444444444,0.5,0.888888888888889,0.888888888888889,0.611111111111111,0.777777777777778,0.888888888888889
"2016",0.694444444444444,0.527777777777778,0.888888888888889,0.888888888888889,0.583333333333333,0.777777777777778,0.916666666666667
"2017",0.722222222222222,0.527777777777778,0.888888888888889,0.944444444444444,0.694444444444444,0.75,0.916666666666667
"2018",0.722222222222222,0.611111111111111,0.888888888888889,0.888888888888889,0.777777777777778,0.75,0.916666666666667
"2019",0.722222222222222,0.611111111111111,0.888888888888889,0.888888888888889,0.75,0.722222222222222,0.944444444444444
"2020",0.611111111111111,NA,0.888888888888889,0.944444444444444,0.694444444444444,0.722222222222222,0.944444444444444
"2021",NA,NA,NA,NA,NA,NA,NA
"2022",NA,NA,NA,NA,NA,NA,NA
