Entity,Code,Year,Coverage of social insurance programs (% of population)
Afghanistan,AFG,2007,0.539036879650044
Albania,ALB,2008,45.9388082961142
Albania,ALB,2012,36.2550631549432
Argentina,ARG,2006,22.338095336173
Argentina,ARG,2010,29.5752810172893
Argentina,ARG,2011,29.3321188100385
Argentina,ARG,2012,28.9695600571713
Argentina,ARG,2013,30.5905578010902
Argentina,ARG,2014,31.44235611
Argentina,ARG,2016,34.6782292
Argentina,ARG,2017,35.36281278
Argentina,ARG,2018,33.90985047
Armenia,ARM,2008,49.9908614973931
Armenia,ARM,2009,51.284001860252
Armenia,ARM,2010,52.1061101893119
Armenia,ARM,2011,52.879710923642
Armenia,ARM,2012,53.3627593750861
Armenia,ARM,2013,53.0315119460687
Armenia,ARM,2014,54.7513338154784
Armenia,ARM,2015,53.4184288139101
Armenia,ARM,2016,51.8917553262529
Armenia,ARM,2017,55.0573689244771
Armenia,ARM,2018,52.3299844343251
Azerbaijan,AZE,2015,50.6120971907671
Bangladesh,BGD,2005,1.64764635332952
Bangladesh,BGD,2010,1.49869191216074
Bangladesh,BGD,2016,0.950573298991892
Belarus,BLR,2008,43.085328577589
Belarus,BLR,2009,40.8850369141458
Belarus,BLR,2010,42.3895135052547
Belarus,BLR,2012,47.9254706372091
Belarus,BLR,2013,48.6874961519169
Belarus,BLR,2014,47.144803032556
Belarus,BLR,2015,49.6906123078657
Belarus,BLR,2016,49.9879494759897
Belize,BLZ,2009,28.1895386619671
Benin,BEN,2003,6.62698090721437
Bhutan,BTN,2007,1.43014904016576
Bhutan,BTN,2012,0.712240916240276
Bhutan,BTN,2017,0.892941464457989
Bolivia,BOL,2006,8.09237474415614
Bolivia,BOL,2007,8.08623571169757
Bolivia,BOL,2008,8.21736132785646
Bolivia,BOL,2009,8.39291048227242
Bolivia,BOL,2011,8.36406027895823
Bolivia,BOL,2012,8.54984296223905
Bolivia,BOL,2014,7.77063502396188
Bolivia,BOL,2015,7.684082264
Bolivia,BOL,2016,7.959401739
Bolivia,BOL,2017,7.319455939
Bolivia,BOL,2018,7.485718114
Bosnia and Herzegovina,BIH,2007,41.5237912263429
Bosnia and Herzegovina,BIH,2015,40.1629566997666
Botswana,BWA,2015,3.767816613
Brazil,BRA,2006,30.100939002158
Brazil,BRA,2009,27.9467696414169
Brazil,BRA,2011,28.3104496205996
Brazil,BRA,2012,28.3446475182454
Brazil,BRA,2015,30.535311918289
Brazil,BRA,2016,29.63191264
Brazil,BRA,2017,30.29412086
Brazil,BRA,2018,30.86954781
Bulgaria,BGR,2007,47.7153619117239
Burkina Faso,BFA,2014,2.18617357095933
Cambodia,KHM,2008,2.64562373692389
Cambodia,KHM,2013,1.86913898965382
Cameroon,CMR,2007,2.80466786947192
Cameroon,CMR,2014,3.40811025210117
Cape Verde,CPV,2007,6.00064551806936
Chad,TCD,2011,2.47797179203432
Chile,CHL,2006,31.8797553893109
Chile,CHL,2009,41.2561616145695
Chile,CHL,2011,23.6404420351346
Chile,CHL,2013,44.394747665859
Chile,CHL,2015,44.9127020912867
Chile,CHL,2017,45.67106426
China,CHN,2013,35.5795806625965
Colombia,COL,2010,9.9349438896222
Colombia,COL,2011,9.61440839914004
Colombia,COL,2012,8.89796493036404
Colombia,COL,2014,9.27031765834319
Colombia,COL,2015,10.6573571976302
Colombia,COL,2016,10.7571994451221
Colombia,COL,2017,10.458795377041
Colombia,COL,2018,10.7305552051066
Comoros,COM,2004,1.8803121284515
Congo,COG,2005,8.91479680965518
Costa Rica,CRI,2008,12.9445352546414
Costa Rica,CRI,2009,18.836019883676
Costa Rica,CRI,2010,14.0517015872945
Costa Rica,CRI,2011,14.4033982302738
Costa Rica,CRI,2012,15.0284445170667
Costa Rica,CRI,2014,15.56913756
Costa Rica,CRI,2015,15.66320611
Costa Rica,CRI,2016,16.53164345
Costa Rica,CRI,2017,18.28010098
Costa Rica,CRI,2018,18.2350286
Cote d'Ivoire,CIV,2002,20.6152424724154
Cote d'Ivoire,CIV,2008,8.07079382477934
Cote d'Ivoire,CIV,2015,7.92254850633665
Croatia,HRV,2008,54.7431290026623
Croatia,HRV,2010,57.5129301257951
Croatia,HRV,2011,56.34706675
Croatia,HRV,2014,52.55621737
Democratic Republic of Congo,COD,2004,1.51235605503343
Democratic Republic of Congo,COD,2012,1.59962111690192
Djibouti,DJI,2012,8.50192378981733
Dominica,DMA,2002,13.3701014548432
Dominican Republic,DOM,2007,5.42858963791877
Dominican Republic,DOM,2008,4.79105307762037
Dominican Republic,DOM,2009,5.11579130515017
Dominican Republic,DOM,2010,5.78478638711005
Dominican Republic,DOM,2011,6.1302993021661
Dominican Republic,DOM,2012,5.68254966986785
Dominican Republic,DOM,2013,6.21010493046676
Dominican Republic,DOM,2014,6.48566022251038
Dominican Republic,DOM,2015,6.60105381746426
Dominican Republic,DOM,2016,6.7226565205368
Dominican Republic,DOM,2017,4.71885016495688
Dominican Republic,DOM,2018,5.52192160605432
Ecuador,ECU,2008,7.25530477723841
Ecuador,ECU,2010,9.35492559045986
Ecuador,ECU,2011,9.57265931490613
Ecuador,ECU,2012,10.6749404526826
Ecuador,ECU,2014,9.93210129
Ecuador,ECU,2015,10.74847528
Ecuador,ECU,2016,10.9304214399189
Ecuador,ECU,2017,11.55201784
Ecuador,ECU,2018,12.42402413
Egypt,EGY,2008,21.3040866064956
El Salvador,SLV,2007,5.4084113060992
El Salvador,SLV,2008,8.63476754637569
El Salvador,SLV,2009,6.34694678010081
El Salvador,SLV,2010,5.65257258933091
El Salvador,SLV,2011,5.57171846257545
El Salvador,SLV,2012,5.47715150305985
El Salvador,SLV,2014,6.15611135696081
El Salvador,SLV,2015,5.251456724
El Salvador,SLV,2016,5.241404288
El Salvador,SLV,2017,5.516812213
El Salvador,SLV,2018,5.819461855
Eswatini,SWZ,2016,5.714110619
Ethiopia,ETH,2015,2.36834901780239
Ethiopia,ETH,2018,1.25351709008589
Fiji,FJI,2008,5.32568979469767
Fiji,FJI,2013,8.91776451577617
Gabon,GAB,2005,13.4239635987687
Gambia,GMB,1998,2.72573725747134
Gambia,GMB,2010,1.75799959015574
Gambia,GMB,2015,1.46957727909905
Georgia,GEO,2016,61.2424381371817
Ghana,GHA,2005,3.66121828742636
Ghana,GHA,2012,59.520413782887
Ghana,GHA,2016,47.6573123860374
Guatemala,GTM,2006,4.69841083311189
Guatemala,GTM,2011,3.85268256594183
Guatemala,GTM,2014,3.98668142098921
Guinea,GIN,2012,2.28431612742754
Haiti,HTI,2012,0.37097142559664
Honduras,HND,2008,2.12483114164244
Honduras,HND,2009,2.34833118595078
Honduras,HND,2010,2.7388723491386
Honduras,HND,2011,2.49409345817405
Honduras,HND,2013,2.71743333819518
Honduras,HND,2015,2.74146479414886
Honduras,HND,2016,3.45708611543445
Honduras,HND,2017,3.36646005821657
Hungary,HUN,2007,57.1208107066803
India,IND,2011,17.6635167975397
Indonesia,IDN,2014,9.3006857639065
Indonesia,IDN,2015,8.17875443870597
Indonesia,IDN,2017,9.285938485
Indonesia,IDN,2018,11.09690111
Iraq,IRQ,2006,28.185387961635
Iraq,IRQ,2012,26.3644655457085
Jamaica,JAM,2002,5.56863514485645
Jamaica,JAM,2010,4.34228809634089
Jamaica,JAM,2017,7.00190928
Jordan,JOR,2006,24.8957385234325
Jordan,JOR,2010,28.234611765928
Kazakhstan,KAZ,2007,29.15654133194
Kazakhstan,KAZ,2010,28.9498650508236
Kazakhstan,KAZ,2014,1.08672553333163
Kazakhstan,KAZ,2015,28.6769633035274
Kazakhstan,KAZ,2017,31.5214073475668
Kenya,KEN,2005,1.90716709007408
Kenya,KEN,2015,1.18825729022985
Kosovo,OWID_KOS,2006,20.581597359955
Kosovo,OWID_KOS,2011,35.5674750206321
Kosovo,OWID_KOS,2012,36.1149789323611
Kosovo,OWID_KOS,2013,35.0002633807954
Kyrgyzstan,KGZ,2006,30.4660007967866
Kyrgyzstan,KGZ,2011,40.2230542780594
Kyrgyzstan,KGZ,2012,41.6405620169134
Kyrgyzstan,KGZ,2013,39.3497475478638
Laos,LAO,2007,1.65252629846249
Latvia,LVA,2008,52.4433570024829
Latvia,LVA,2009,45.7237457396668
Lebanon,LBN,2004,53.6608828693245
Lesotho,LSO,2014,0.678118009927001
