Entity,Code,Year,1.5.3 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR
Afghanistan,AFG,2017,0.25
Afghanistan,AFG,2018,0.3
Afghanistan,AFG,2019,0.725
Albania,ALB,2018,0.05
Algeria,DZA,2019,0.15
Algeria,DZA,2020,1
Angola,AGO,2014,0.525
Angola,AGO,2015,0.3
Angola,AGO,2016,0.325
Angola,AGO,2017,0.375
Angola,AGO,2018,0.425
Antigua and Barbuda,ATG,2019,0.6
Argentina,ARG,2016,0
Argentina,ARG,2017,0
Argentina,ARG,2018,0.75
Armenia,ARM,2017,1
Armenia,ARM,2018,0.75
Armenia,ARM,2019,0.75
Armenia,ARM,2020,0.7
Australia,AUS,2015,0.2
Australia,AUS,2016,0.2
Australia,AUS,2017,0.2
Australia,AUS,2018,0.625
Australia,AUS,2019,0.7
Australia,AUS,2020,0.7
Austria,AUT,2018,0.55
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2016,0.875
Bangladesh,BGD,2017,0.9
Bangladesh,BGD,2018,0.9
Bangladesh,BGD,2019,0.925
Bangladesh,BGD,2020,0.95
Bangladesh,BGD,2021,0
Barbados,BRB,2018,0.975
Barbados,BRB,2019,1
Belarus,BLR,2015,0.175
Belarus,BLR,2016,0.475
Belarus,BLR,2017,0.475
Belarus,BLR,2018,0.55
Belarus,BLR,2019,0.8
Belarus,BLR,2020,0.8
Benin,BEN,2005,0.125
Benin,BEN,2006,0.1
Benin,BEN,2007,0.1
Benin,BEN,2008,0.125
Benin,BEN,2009,0.125
Benin,BEN,2010,0.1
Benin,BEN,2011,0.075
Benin,BEN,2012,0.1
Benin,BEN,2013,0.125
Benin,BEN,2014,0.1
Benin,BEN,2015,0.1
Benin,BEN,2016,0.1
Benin,BEN,2017,0.175
Benin,BEN,2018,0.175
Benin,BEN,2019,0.175
Benin,BEN,2020,0.25
Bhutan,BTN,2017,0.7
Bhutan,BTN,2018,0.5
Bolivia,BOL,2015,0.2
Bolivia,BOL,2016,0.425
Bolivia,BOL,2017,0.6
Bolivia,BOL,2018,0.6
Bolivia,BOL,2019,0.6
Bolivia,BOL,2020,0.6
Botswana,BWA,2017,0.125
Botswana,BWA,2018,0.525
Bulgaria,BGR,2015,0.375
Bulgaria,BGR,2016,0.375
Bulgaria,BGR,2017,0.2
Bulgaria,BGR,2018,0.9
Bulgaria,BGR,2019,0.9
Bulgaria,BGR,2020,0.9
