Entity,Code,Year,Indicator:General government expenditure on health as a percentage of total government expenditure
Afghanistan,AFG,2002,8.98703
Afghanistan,AFG,2003,5.57518
Afghanistan,AFG,2004,6.98491
Afghanistan,AFG,2005,5.49062
Afghanistan,AFG,2006,6.29711
Afghanistan,AFG,2007,2.94919
Afghanistan,AFG,2008,6.92609
Afghanistan,AFG,2009,12.72897
Afghanistan,AFG,2010,14.40415
Afghanistan,AFG,2011,10.17411
Afghanistan,AFG,2012,11.66898
Afghanistan,AFG,2013,10.59129
Afghanistan,AFG,2014,11.99863
Africa,,1995,9.68077
Africa,,1996,9.84054
Africa,,1997,9.61315
Africa,,1998,9.25488
Africa,,1999,9.2332
Africa,,2000,10.11037
Africa,,2001,9.84088
Africa,,2002,9.47158
Africa,,2003,10.22591
Africa,,2004,10.64442
Africa,,2005,10.54381
Africa,,2006,10.82231
Africa,,2007,10.37279
Africa,,2008,9.60922
Africa,,2009,10.07087
Africa,,2010,10.30439
Africa,,2011,10.60891
Africa,,2012,10.6037
Africa,,2013,10.32451
Africa,,2014,10.01648
Albania,ALB,1995,5.51379
Albania,ALB,1996,6.6276
Albania,ALB,1997,6.75492
Albania,ALB,1998,6.30005
Albania,ALB,1999,7.18863
Albania,ALB,2000,7.07698
Albania,ALB,2001,7.25259
Albania,ALB,2002,7.19204
Albania,ALB,2003,7.7629
Albania,ALB,2004,9.17534
Albania,ALB,2005,9.66766
Albania,ALB,2006,9.04057
Albania,ALB,2007,8.88017
Albania,ALB,2008,8.36561
Albania,ALB,2009,8.46326
Albania,ALB,2010,8.46326
Albania,ALB,2011,9.85079
Albania,ALB,2012,9.71053
Albania,ALB,2013,9.76242
Albania,ALB,2014,9.369
Algeria,DZA,1995,8.52113
Algeria,DZA,1996,8.5753
Algeria,DZA,1997,8.2493
Algeria,DZA,1998,8.10682
Algeria,DZA,1999,7.98117
Algeria,DZA,2000,8.79335
Algeria,DZA,2001,8.53556
Algeria,DZA,2002,8.37185
Algeria,DZA,2003,8.50323
Algeria,DZA,2004,8.48441
Algeria,DZA,2005,8.1911
Algeria,DZA,2006,7.8045
Algeria,DZA,2007,8.14056
Algeria,DZA,2008,8.07079
Algeria,DZA,2009,9.00945
Algeria,DZA,2010,9.64613
Algeria,DZA,2011,9.36566
Algeria,DZA,2012,9.98819
Algeria,DZA,2013,9.94781
Algeria,DZA,2014,9.90462
Americas,,1995,14.96674
Americas,,1996,15.07698
Americas,,1997,15.14227
Americas,,1998,14.95483
Americas,,1999,15.264
Americas,,2000,15.10199
Americas,,2001,15.90716
Americas,,2002,16.48064
Americas,,2003,16.62771
Americas,,2004,16.98232
Americas,,2005,16.67279
Americas,,2006,16.88036
Americas,,2007,16.69848
Americas,,2008,16.55608
Americas,,2009,16.62419
Americas,,2010,17.45577
Americas,,2011,17.28889
Americas,,2012,17.24827
Americas,,2013,17.73693
Americas,,2014,18.07768
Andorra,AND,1995,23.56391
Andorra,AND,1996,23.83743
Andorra,AND,1997,23.2385
Andorra,AND,1998,28.70355
Andorra,AND,1999,20.77702
Andorra,AND,2000,19.07808
Andorra,AND,2001,19.23782
Andorra,AND,2002,19.99027
Andorra,AND,2003,21.97569
Andorra,AND,2004,22.69979
Andorra,AND,2005,19.49577
Andorra,AND,2006,19.3807
Andorra,AND,2007,22.84986
Andorra,AND,2008,24.03935
Andorra,AND,2009,25.09789
Andorra,AND,2010,24.04151
Andorra,AND,2011,19.30886
Andorra,AND,2012,18.88418
Andorra,AND,2013,22.32499
Andorra,AND,2014,27.9153
Angola,AGO,1995,5.1768
Angola,AGO,1996,2.81775
Angola,AGO,1997,4.09428
Angola,AGO,1998,3.29001
Angola,AGO,1999,2.6157
Angola,AGO,2000,2.86214
Angola,AGO,2001,5.77496
Angola,AGO,2002,3.37719
Angola,AGO,2003,4.61275
Angola,AGO,2004,6.25413
Angola,AGO,2005,6.08002
Angola,AGO,2006,9.56467
Angola,AGO,2007,6.41671
Angola,AGO,2008,6.46451
Angola,AGO,2009,6.35845
Angola,AGO,2010,5.43233
Angola,AGO,2011,5.5848
Angola,AGO,2012,5.57303
Angola,AGO,2013,7.42322
Angola,AGO,2014,5.00429
Antigua and Barbuda,ATG,1995,12.89552
Antigua and Barbuda,ATG,1996,12
Antigua and Barbuda,ATG,1997,12
Antigua and Barbuda,ATG,1998,12
Antigua and Barbuda,ATG,1999,11.84539
Antigua and Barbuda,ATG,2000,11.42216
Antigua and Barbuda,ATG,2001,10.74757
Antigua and Barbuda,ATG,2002,9.87862
Antigua and Barbuda,ATG,2003,11.88616
Antigua and Barbuda,ATG,2004,10.6864
Antigua and Barbuda,ATG,2005,12.08303
Antigua and Barbuda,ATG,2006,10.0719
Antigua and Barbuda,ATG,2007,10.80806
Antigua and Barbuda,ATG,2008,12.26852
Antigua and Barbuda,ATG,2009,11.38425
Antigua and Barbuda,ATG,2010,16.35557
Antigua and Barbuda,ATG,2011,15.17566
Antigua and Barbuda,ATG,2012,17.15826
Antigua and Barbuda,ATG,2013,16.28771
Antigua and Barbuda,ATG,2014,18.08452
Argentina,ARG,1995,19.42933
Argentina,ARG,1996,18.25965
Argentina,ARG,1997,18.03378
Argentina,ARG,1998,17.88195
Argentina,ARG,1999,18.09488
Argentina,ARG,2000,17.59265
Argentina,ARG,2001,17.14336
Argentina,ARG,2002,18.22622
Argentina,ARG,2003,17.27175
Argentina,ARG,2004,16.91734
Argentina,ARG,2005,16.67159
Argentina,ARG,2006,16.35093
Argentina,ARG,2007,15.36737
Argentina,ARG,2008,15.79489
Argentina,ARG,2009,17.12723
Argentina,ARG,2010,14.0734
Argentina,ARG,2011,11.815
Argentina,ARG,2012,8.74129
Argentina,ARG,2013,7.72305
Argentina,ARG,2014,6.91697
Armenia,ARM,1995,8.30391
Armenia,ARM,1996,8.43478
Armenia,ARM,1997,8.08459
Armenia,ARM,1998,7.68096
Armenia,ARM,1999,6.56335
Armenia,ARM,2000,5.26358
Armenia,ARM,2001,7.65761
Armenia,ARM,2002,7.028
Armenia,ARM,2003,7.87953
Armenia,ARM,2004,8.02397
Armenia,ARM,2005,10.23427
Armenia,ARM,2006,11.33176
Armenia,ARM,2007,10.41633
Armenia,ARM,2008,7.00309
Armenia,ARM,2009,6.71988
Armenia,ARM,2010,6.96733
Armenia,ARM,2011,7.39885
Armenia,ARM,2012,7.43875
Armenia,ARM,2013,7.27373
Armenia,ARM,2014,7.04462
Australia,AUS,1995,14.92027
Australia,AUS,1996,15.11368
Australia,AUS,1997,15.97402
Australia,AUS,1998,15.27887
Australia,AUS,1999,15.48585
Australia,AUS,2000,16.00274
Australia,AUS,2001,15.69624
Australia,AUS,2002,16.45629
Australia,AUS,2003,16.32156
Australia,AUS,2004,16.94721
Australia,AUS,2005,16.94705
Australia,AUS,2006,17.13258
Australia,AUS,2007,17.48171
Australia,AUS,2008,17.20872
Australia,AUS,2009,16.77922
Australia,AUS,2010,17.11436
Australia,AUS,2011,17.65066
Australia,AUS,2012,17.31143
Australia,AUS,2013,17.31143
Australia,AUS,2014,17.31143
Austria,AUT,1995,12.67443
Austria,AUT,1996,12.70338
Austria,AUT,1997,13.75813
Austria,AUT,1998,13.92451
Austria,AUT,1999,14.3176
Austria,AUT,2000,14.50898
Austria,AUT,2001,14.62778
Austria,AUT,2002,15.0107
Austria,AUT,2003,15.07469
Austria,AUT,2004,14.49348
Austria,AUT,2005,15.66749
Austria,AUT,2006,15.74625
Austria,AUT,2007,15.99878
Austria,AUT,2008,16.20703
Austria,AUT,2009,16.09121
Austria,AUT,2010,15.9064
Austria,AUT,2011,16.18288
Austria,AUT,2012,16.29662
Austria,AUT,2013,16.33092
Austria,AUT,2014,16.27326
Azerbaijan,AZE,1995,6.9331
Azerbaijan,AZE,1996,8.42568
Azerbaijan,AZE,1997,6.59079
Azerbaijan,AZE,1998,5.88636
Azerbaijan,AZE,1999,5.71043
Azerbaijan,AZE,2000,5.35368
Azerbaijan,AZE,2001,5.57276
Azerbaijan,AZE,2002,5.15132
Azerbaijan,AZE,2003,4.80266
Azerbaijan,AZE,2004,5.92115
Azerbaijan,AZE,2005,5.15285
Azerbaijan,AZE,2006,4.27429
Azerbaijan,AZE,2007,4.56771
Azerbaijan,AZE,2008,3.07215
Azerbaijan,AZE,2009,4.53831
Azerbaijan,AZE,2010,4.21557
Azerbaijan,AZE,2011,3.65644
Azerbaijan,AZE,2012,3.80518
Azerbaijan,AZE,2013,3.4957
Azerbaijan,AZE,2014,3.88256
Bahamas,BHS,1995,14.24007
Bahamas,BHS,1996,13.90857
Bahamas,BHS,1997,14.10201
Bahamas,BHS,1998,14.14703
Bahamas,BHS,1999,14.66555
Bahamas,BHS,2000,14.78525
Bahamas,BHS,2001,13.7884
Bahamas,BHS,2002,15.04668
Bahamas,BHS,2003,15.23514
Bahamas,BHS,2004,15.56241
Bahamas,BHS,2005,14.73641
Bahamas,BHS,2006,17.13895
Bahamas,BHS,2007,16.80487
Bahamas,BHS,2008,18.192
Bahamas,BHS,2009,17.65105
Bahamas,BHS,2010,17.63029
Bahamas,BHS,2011,16.29669
Bahamas,BHS,2012,15.13047
Bahamas,BHS,2013,13.44798
Bahamas,BHS,2014,14.76376
Bahrain,BHR,1995,10.78367
Bahrain,BHR,1996,11.64768
Bahrain,BHR,1997,9.42993
Bahrain,BHR,1998,10.75359
Bahrain,BHR,1999,10.05357
Bahrain,BHR,2000,10.2291
Bahrain,BHR,2001,8.94205
Bahrain,BHR,2002,8.10614
Bahrain,BHR,2003,8.5439
Bahrain,BHR,2004,8.70582
Bahrain,BHR,2005,8.64949
Bahrain,BHR,2006,8.8123
Bahrain,BHR,2007,9.35481
Bahrain,BHR,2008,9.78171
Bahrain,BHR,2009,10.72126
Bahrain,BHR,2010,9.08452
Bahrain,BHR,2011,8.66785
Bahrain,BHR,2012,9.34713
Bahrain,BHR,2013,10.57741
Bahrain,BHR,2014,10.46993
Bangladesh,BGD,1995,8.38334
Bangladesh,BGD,1996,8.79248
Bangladesh,BGD,1997,8.17284
Bangladesh,BGD,1998,7.95072
Bangladesh,BGD,1999,9.01701
Bangladesh,BGD,2000,8.10084
Bangladesh,BGD,2001,7.97412
Bangladesh,BGD,2002,8.60774
Bangladesh,BGD,2003,8.0216
