Entity,Code,Year,10.5.1 - Return on assets (%) - FI_FSI_FSERA,10.5.1 - Regulatory capital to assets (%) - FI_FSI_FSKA,10.5.1 - Liquid assets to short term liabilities (%) - FI_FSI_FSLS,10.5.1 - Non-performing loans to total gross loans (%) - FI_FSI_FSANL,10.5.1 - Net open position in foreign exchange to capital (%) - FI_FSI_FSSNO,10.5.1 - Non-performing loans net of provisions to capital (%) - FI_FSI_FSKNL,10.5.1 - Regulatory Tier 1 capital to risk-weighted assets (%) - FI_FSI_FSKRTC
Afghanistan,AFG,2010,-25.6109203955048,,57.3693375424669,49.9013229069412,,,
Afghanistan,AFG,2011,-1.13203051675977,8.24541177115674,55.7852662787705,4.6968178252385,39.4096763779027,4.76125719447026,23.0358280735697
Afghanistan,AFG,2012,-0.419440039326816,7.62597903791835,79.6865842160609,4.95890140377645,45.5707003823738,6.55591950171679,19.9720778667245
Afghanistan,AFG,2013,0.605776849635513,11.6381513220985,76.9986929145117,4.85228704838131,44.0541855348886,2.47677801558983,24.7757506406917
Afghanistan,AFG,2014,0.889336023575637,11.8674762151377,89.0211245669951,7.7810908959605,154.659902375501,3.3518886585018,26.0889583411047
Afghanistan,AFG,2015,0.20267263318982,9.23269367587705,90.3891807346381,12.0536179767696,212.057797819526,8.25409817718493,19.6649736471323
Afghanistan,AFG,2016,1.6877342052848,11.4370971722688,90.169126915995,11.0743789647307,25.4141617579973,2.54368303357302,23.0148375255262
Afghanistan,AFG,2017,0.589232772119482,11.6989358595343,92.5249449900713,12.2018301907814,23.9995895390221,7.37726904140283,28.1741933772336
Afghanistan,AFG,2018,0.78039883038221,11.0836292401481,90.6862651787575,8.88666018352578,30.821362117906,3.48348816557507,24.5103660759465
Albania,ALB,2010,0.793672588507058,9.40321384921761,10.0016202727399,13.9629797358261,5.02921064531658,34.7959862223807,14.6327592953778
Albania,ALB,2011,0.205544887380259,8.6880686202108,12.3922156041393,18.7693391614872,3.93790358253001,52.6355033968835,14.3933325930752
Albania,ALB,2012,0.377543222028328,8.57260551621615,13.9273857485817,22.4938973002521,3.97571475310227,56.8571077540175,14.6319385088039
Albania,ALB,2013,0.71796889077903,8.37202848400172,12.6706169113951,23.4927778636215,4.07615418605366,44.8189473192677,14.8832322464129
Albania,ALB,2014,0.976911912450319,8.57767650544447,13.2228382418438,22.8027340584494,8.48397935758824,40.2206444083896,13.8626483630205
Albania,ALB,2015,1.24969911352208,9.52613760004086,16.0432036704677,18.1685740476933,7.50081831959146,24.9051886079176,13.6603751323528
Albania,ALB,2016,0.736256531785659,9.72674268211039,16.5747610098567,18.2699521882911,7.03158110589388,23.6207831457123,13.807724790776
Albania,ALB,2017,1.5370646532989,10.1674386450836,17.5861476655926,13.2325333809177,6.6796583285904,15.312871587078,15.1153896603417
Albania,ALB,2018,1.15857141317576,10.1487235239214,19.9319686240305,11.0845819952486,7.78021978637956,15.0084643656378,16.9874011204504
