Entity,Code,Year,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies - SE_GCEDESD_NEP
Albania,ALB,2020,0.719
Algeria,DZA,2020,0.625
Andorra,AND,2020,1
Armenia,ARM,2020,0.875
Austria,AUT,2020,0.831
Bahrain,BHR,2020,1
Bangladesh,BGD,2020,0.813
Belgium,BEL,2020,0.95
Bosnia and Herzegovina,BIH,2020,0.583
Brazil,BRA,2020,1
Bulgaria,BGR,2020,0.563
Burkina Faso,BFA,2020,0.875
Burundi,BDI,2020,0.619
Cambodia,KHM,2020,1
Canada,CAN,2020,0.875
Colombia,COL,2020,1
Cuba,CUB,2020,1
Cyprus,CYP,2020,1
Czechia,CZE,2020,0.844
Democratic Republic of Congo,COD,2020,0.875
Dominican Republic,DOM,2020,0.969
Estonia,EST,2020,0.875
Finland,FIN,2020,0.875
France,FRA,2020,1
Georgia,GEO,2020,1
Germany,DEU,2020,1
Hungary,HUN,2020,1
India,IND,2020,1
Ireland,IRL,2020,0.875
Italy,ITA,2020,0.875
Jordan,JOR,2020,0.875
Kuwait,KWT,2020,0.625
Kyrgyzstan,KGZ,2020,0.625
Latvia,LVA,2020,1
Lithuania,LTU,2020,1
Malawi,MWI,2020,1
Malaysia,MYS,2020,0.875
Malta,MLT,2020,0.838
Mexico,MEX,2020,0.75
Moldova,MDA,2020,0.859
Monaco,MCO,2020,0.875
Mongolia,MNG,2020,0.875
Myanmar,MMR,2020,1
New Zealand,NZL,2020,0.35
Nicaragua,NIC,2020,0.875
Oman,OMN,2020,0.813
Palestine,PSE,2020,0.875
Peru,PER,2020,1
Poland,POL,2020,1
Romania,ROU,2020,1
Russia,RUS,2020,1
Saint Kitts and Nevis,KNA,2020,0.575
San Marino,SMR,2020,1
Saudi Arabia,SAU,2020,0.75
Slovakia,SVK,2020,0.513
Slovenia,SVN,2020,1
South Korea,KOR,2020,1
Spain,ESP,2020,1
Sweden,SWE,2020,1
Thailand,THA,2020,0.844
Turkey,TUR,2020,1
Ukraine,UKR,2020,1
United Kingdom,GBR,2020,0.413
