Entity,Code,Year,15.3.1 - Proportion of land that is degraded over total land area (%) - AG_LND_DGRD
Afghanistan,AFG,2015,8
Africa,,2015,18
Albania,ALB,2015,8
Algeria,DZA,2015,1
Americas,,2015,27
Angola,AGO,2015,20
Argentina,ARG,2015,39
Armenia,ARM,2015,2
Asia,,2015,24
Bangladesh,BGD,2015,65
Belarus,BLR,2015,1
Belgium,BEL,2015,11
Belize,BLZ,2015,81
Benin,BEN,2015,53
Bhutan,BTN,2015,10
Bolivia,BOL,2015,18
Bosnia and Herzegovina,BIH,2015,4
Botswana,BWA,2015,51
Brazil,BRA,2015,27
Burkina Faso,BFA,2015,19
Burundi,BDI,2015,29
Cambodia,KHM,2015,33
Cameroon,CMR,2015,0
Cape Verde,CPV,2015,17
Caucasus and Central Asia,,2015,34
Central African Republic,CAF,2015,13
Central America,,2015,41
Central Asia,,2015,35
Central and Southern Asia,,2015,28
Chad,TCD,2015,34
Chile,CHL,2015,1
China,CHN,2015,27
Colombia,COL,2015,7
Comoros,COM,2015,22
Congo,COG,2015,10
Costa Rica,CRI,2015,9
Cote d'Ivoire,CIV,2015,14
Cyprus,CYP,2015,19
Czechia,CZE,2015,6
Democratic Republic of Congo,COD,2015,6
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,15
Developing regions,,2015,22
Eastern Africa,,2015,27
Eastern Asia,,2015,25
Eastern Asia (excluding Japan and China),,2015,25
Eastern Asia (excluding Japan),,2015,25
Eastern Europe,,2015,7
Eastern and South-Eastern Asia,,2015,24
Ecuador,ECU,2015,30
Egypt,EGY,2015,1
El Salvador,SLV,2015,16
Equatorial Guinea,GNQ,2015,19
Eritrea,ERI,2015,35
Eswatini,SWZ,2015,13
Ethiopia,ETH,2015,29
Europe and Northern America,,2015,10
Finland,FIN,2015,1
France,FRA,2015,12
Gabon,GAB,2015,16
Gambia,GMB,2015,14
Georgia,GEO,2015,6
Ghana,GHA,2015,14
Greece,GRC,2015,16
Guatemala,GTM,2015,24
Guinea,GIN,2015,11
Guinea-Bissau,GNB,2015,15
Guyana,GUY,2015,16
Hungary,HUN,2015,13
India,IND,2015,30
Indonesia,IDN,2015,21
Iran,IRN,2015,23
Iraq,IRQ,2015,26
Italy,ITA,2015,13
Jordan,JOR,2015,4
Kazakhstan,KAZ,2015,36
Kenya,KEN,2015,40
Kuwait,KWT,2015,64
Kyrgyzstan,KGZ,2015,24
Landlocked developing countries (LLDCs),,2015,23
Latin America and the Caribbean,,2015,27
Latvia,LVA,2015,13
Least developed countries (LDCs),,2015,17
Lesotho,LSO,2015,20
Liberia,LBR,2015,29
Lithuania,LTU,2015,3
Luxembourg,LUX,2015,4
Madagascar,MDG,2015,30
Malawi,MWI,2015,17
Malaysia,MYS,2015,16
Mali,MLI,2015,3
Mauritania,MRT,2015,3
Mauritius,MUS,2015,27
Mexico,MEX,2015,47
Middle Africa,,2015,15
Moldova,MDA,2015,29
Mongolia,MNG,2015,13
Montenegro,MNE,2015,6
Morocco,MAR,2015,19
Myanmar,MMR,2015,23
Namibia,NAM,2015,19
Niger,NER,2015,7
Nigeria,NGA,2015,32
Northern Africa,,2015,6
Northern Africa (exc. Sudan),,2015,4
Northern Africa and Western Asia,,2015,7
Northern Europe,,2015,13
Oceania,,2015,35
Oman,OMN,2015,7
Pakistan,PAK,2015,5
Palestine,PSE,2015,15
Panama,PAN,2015,14
Papua New Guinea,PNG,2015,21
Paraguay,PRY,2015,52
Philippines,PHL,2015,38
Poland,POL,2015,5
Portugal,PRT,2015,32
Qatar,QAT,2015,6
Romania,ROU,2015,2
Russia,RUS,2015,6
Rwanda,RWA,2015,12
Saudi Arabia,SAU,2015,4
Senegal,SEN,2015,6
Serbia,SRB,2015,6
Seychelles,SYC,2015,12
Sierra Leone,SLE,2015,18
Slovakia,SVK,2015,4
Slovenia,SVN,2015,5
Somalia,SOM,2015,23
South Africa,ZAF,2015,78
South America,,2015,24
South-eastern Asia,,2015,24
Southern Africa,,2015,53
Southern Asia,,2015,24
Southern Asia (excluding India),,2015,24
Southern Europe,,2015,15
Spain,ESP,2015,18
Sri Lanka,LKA,2015,36
Sub-Saharan Africa,,2015,22
Sub-Saharan Africa (inc. Sudan),,2015,22
Sudan,SDN,2015,12
Suriname,SUR,2015,21
Tajikistan,TJK,2015,97
Thailand,THA,2015,21
Togo,TGO,2015,12
Tunisia,TUN,2015,13
Turkey,TUR,2015,9
Turkmenistan,TKM,2015,22
Uganda,UGA,2015,22
Ukraine,UKR,2015,25
United Arab Emirates,ARE,2015,1
Uruguay,URY,2015,26
Uzbekistan,UZB,2015,29
Venezuela,VEN,2015,15
Vietnam,VNM,2015,31
Western Africa,,2015,12
Western Asia,,2015,9
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,9
Western Europe,,2015,10
Western Sahara,ESH,2015,19
World,OWID_WRL,2015,20
Zambia,ZMB,2015,7
Zimbabwe,ZWE,2015,36
