Entity,Code,Year,15.9.1 - Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO) - ER_BDY_ABT2NP - OMM
Afghanistan,AFG,2021,No national target reflecting ABT 2
Albania,ALB,2021,No national target reflecting ABT 2
Algeria,DZA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Americas,,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Andorra,AND,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Angola,AGO,2021,No national target reflecting ABT 2
Antigua and Barbuda,ATG,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Argentina,ARG,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Armenia,ARM,2021,"National target reflecting ABT2  exists, but no progress"
Australia,AUS,2021,No national target reflecting ABT 2
Austria,AUT,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Azerbaijan,AZE,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Bahamas,BHS,2021,No national target reflecting ABT 2
Bahrain,BHR,2021,No national target reflecting ABT 2
Bangladesh,BGD,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Barbados,BRB,2021,No national target reflecting ABT 2
Belarus,BLR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Belgium,BEL,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Belize,BLZ,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Benin,BEN,2021,No national target reflecting ABT 2
Bhutan,BTN,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Bolivia,BOL,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Bosnia and Herzegovina,BIH,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Botswana,BWA,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Brazil,BRA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Brunei,BRN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Bulgaria,BGR,2021,No national target reflecting ABT 2
Burkina Faso,BFA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Burundi,BDI,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Cambodia,KHM,2021,No national target reflecting ABT 2
Cameroon,CMR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Canada,CAN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Cape Verde,CPV,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Caribbean,,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Central African Republic,CAF,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Central America,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Central Asia,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Central and Southern Asia,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Chad,TCD,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Chile,CHL,2021,"National target reflecting ABT2  exists, but no progress"
China,CHN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Colombia,COL,2021,No national target reflecting ABT 2
Comoros,COM,2021,No national target reflecting ABT 2
Congo,COG,2021,"National target reflecting ABT2  exists, but no progress"
Cook Islands,COK,2021,No national target reflecting ABT 2
Costa Rica,CRI,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Cote d'Ivoire,CIV,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Croatia,HRV,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Cuba,CUB,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Cyprus,CYP,2021,No national target reflecting ABT 2
Czechia,CZE,2021,No national target reflecting ABT 2
Democratic Republic of Congo,COD,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Denmark,DNK,2021,No national target reflecting ABT 2
Djibouti,DJI,2021,No national target reflecting ABT 2
Dominica,DMA,2021,No national target reflecting ABT 2
Dominican Republic,DOM,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Ecuador,ECU,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Egypt,EGY,2021,National target reflecting ABT2 exists and progress is on track to achieve it
El Salvador,SLV,2021,No national target reflecting ABT 2
Equatorial Guinea,GNQ,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Eritrea,ERI,2021,No national target reflecting ABT 2
Estonia,EST,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Eswatini,SWZ,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Ethiopia,ETH,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Europe,,2021,"National target reflecting ABT2  exists, but no progress"
Europe and Northern America,,2021,"National target reflecting ABT2  exists, but no progress"
Fiji,FJI,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Finland,FIN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
France,FRA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Gabon,GAB,2021,No national target reflecting ABT 2
Gambia,GMB,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Georgia,GEO,2021,No national target reflecting ABT 2
Germany,DEU,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Ghana,GHA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Greece,GRC,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Grenada,GRD,2021,No national target reflecting ABT 2
Guatemala,GTM,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Guinea,GIN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Guinea-Bissau,GNB,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Guyana,GUY,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Haiti,HTI,2021,No national target reflecting ABT 2
Honduras,HND,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Hungary,HUN,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Iceland,ISL,2021,No national target reflecting ABT 2
India,IND,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Indonesia,IDN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Iran,IRN,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Iraq,IRQ,2021,No national target reflecting ABT 2
Ireland,IRL,2021,No national target reflecting ABT 2
Israel,ISR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Italy,ITA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Jamaica,JAM,2021,No national target reflecting ABT 2
Japan,JPN,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Jordan,JOR,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Kazakhstan,KAZ,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Kenya,KEN,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Kiribati,KIR,2021,No national target reflecting ABT 2
Kuwait,KWT,2021,No national target reflecting ABT 2
Kyrgyzstan,KGZ,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Landlocked developing countries (LLDCs),,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Laos,LAO,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Latin America and the Caribbean,,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Latvia,LVA,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Lebanon,LBN,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Lesotho,LSO,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Liberia,LBR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Libya,LBY,2021,No national target reflecting ABT 2
Liechtenstein,LIE,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Lithuania,LTU,2021,No national target reflecting ABT 2
Luxembourg,LUX,2021,No national target reflecting ABT 2
Madagascar,MDG,2021,No national target reflecting ABT 2
Malawi,MWI,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Malaysia,MYS,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Maldives,MDV,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Mali,MLI,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Malta,MLT,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Marshall Islands,MHL,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Mauritania,MRT,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Mauritius,MUS,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Melanesia,OWID_MNS,2021,"National target reflecting ABT2 exists, but moving away from it"
Mexico,MEX,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Micronesia (country),FSM,2021,No national target reflecting ABT 2
Middle Africa,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Moldova,MDA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Monaco,MCO,2021,No national target reflecting ABT 2
Mongolia,MNG,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Montenegro,MNE,2021,"National target reflecting ABT2  exists, but no progress"
