Entity,Code,Year,"16.3.1 - Police reporting rate for robbery, by sex (%) - VC_PRR_ROBB - Both sexes","16.3.1 - Police reporting rate for sexual assault, by sex (%) - VC_PRR_SEXV - Both sexes","16.3.1 - Police reporting rate for physical assault, by sex (%) - VC_PRR_PHYV - Both sexes"
Angola,AGO,2016,,6.7,36.2
Argentina,ARG,2016,42.7,12.5,41.5
Australia,AUS,2009,39.1,31.2,
Australia,AUS,2010,60.7,36.6,50.5
Australia,AUS,2011,60,31,50.7
Australia,AUS,2012,51.5,30.5,49
Australia,AUS,2013,49.7,34.2,49.7
Australia,AUS,2014,56.4,38.2,51.5
Australia,AUS,2015,54,24.7,54.7
Australia,AUS,2016,51.7,30.4,54.9
Australia,AUS,2017,58,39,53.8
Australia,AUS,2018,58,20,51.8
Barbados,BRB,2009,63,8,
Belgium,BEL,2006,42.87,3.27,
Belgium,BEL,2009,40.49,7.23,
Belgium,BEL,2018,56.12,,
Bolivia,BOL,2011,8.8,,
Bolivia,BOL,2013,11.6,,
Bolivia,BOL,2015,11.2,,
Canada,CAN,2004,46,8,
Canada,CAN,2009,43,,
Canada,CAN,2014,45,5,38
Cape Verde,CPV,2016,51.7,,48.8
Chile,CHL,2006,39.9,,
Chile,CHL,2007,38.5,,
Chile,CHL,2008,42.2,,
Chile,CHL,2009,44.9,,
Chile,CHL,2010,44.6,,
Chile,CHL,2011,46.5,,
Chile,CHL,2012,50.5,,
Chile,CHL,2013,38.7,,
Chile,CHL,2014,36,,
Chile,CHL,2015,49.7,,50.9
Chile,CHL,2016,46.2,,50.2
Chile,CHL,2017,43.1,,47.4
Chile,CHL,2018,44.1,,45.1
"China, Hong Kong Special Administrative Region",,2006,18.7,0.05,
Colombia,COL,2012,24,,18
Colombia,COL,2013,22.6,,22.1
Colombia,COL,2014,26,,20.1
Colombia,COL,2015,23.3,,19.7
Colombia,COL,2016,25.8,,22.1
Colombia,COL,2017,23.66,,
Colombia,COL,2018,32.4,,25
