Entity,Code,Year,"16.5.1 - Prevalence rate of bribery, by sex (%) - IU_COR_BRIB - Both sexes"
Afghanistan,AFG,2009,58.6
Afghanistan,AFG,2012,50.1
Albania,ALB,2010,19.3
Argentina,ARG,2016,2.4
Bosnia and Herzegovina,BIH,2010,20.7
Burundi,BDI,2014,3.6
Cape Verde,CPV,2016,1.2
Chile,CHL,2006,0.5
Chile,CHL,2007,0.4
Chile,CHL,2008,0.7
Chile,CHL,2009,0.4
Chile,CHL,2010,0.4
Chile,CHL,2011,0.4
Chile,CHL,2012,0.3
Chile,CHL,2013,0.1
Chile,CHL,2014,0.1
Croatia,HRV,2010,11.2
Estonia,EST,2004,3.3
Estonia,EST,2009,0.5
France,FRA,2018,0.1
Georgia,GEO,2010,0.2
Guyana,GUY,2010,10.1
Guyana,GUY,2017,2.5
Guyana,GUY,2018,2.5
Iraq,IRQ,2011,11.6
Italy,ITA,2016,1.2
Jamaica,JAM,2009,4.3
Kosovo,OWID_KOS,2010,11.1
Kyrgyzstan,KGZ,2015,14.21
Lithuania,LTU,2005,27
Lithuania,LTU,2007,28.1
Lithuania,LTU,2008,24
Lithuania,LTU,2011,22.4
Lithuania,LTU,2014,24.3
Lithuania,LTU,2016,15.5
Lithuania,LTU,2018,11.6
Luxembourg,LUX,2013,0.6
Mauritius,MUS,2014,13
Mexico,MEX,2013,12.1
Mexico,MEX,2015,12.6
Mexico,MEX,2017,14.6
Mexico,MEX,2018,14.6
Montenegro,MNE,2010,9.7
Morocco,MAR,2014,32.4
Nigeria,NGA,2016,32.3
North Macedonia,MKD,2010,6.2
Palestine,PSE,2010,1.8
Palestine,PSE,2013,2.6
Palestine,PSE,2018,2.1
Panama,PAN,2016,32
Paraguay,PRY,2008,5.7
Paraguay,PRY,2010,7
Peru,PER,2004,3.6
Peru,PER,2005,3.3
Peru,PER,2006,4
Peru,PER,2007,5
Peru,PER,2008,5.7
Peru,PER,2009,5.5
Peru,PER,2010,5
Peru,PER,2011,4.4
Peru,PER,2012,3.7
Peru,PER,2013,3.2
Peru,PER,2014,2.9
Peru,PER,2015,2.8
Peru,PER,2016,3.6
Peru,PER,2017,2.7
Peru,PER,2018,2.7
Philippines,PHL,2013,4.3
Philippines,PHL,2016,3.2
Philippines,PHL,2017,2.5
Poland,POL,2010,6.8
Serbia,SRB,2010,9.3
South Africa,ZAF,2010,5.92
South Korea,KOR,2008,0
South Korea,KOR,2009,0
South Korea,KOR,2010,0
South Korea,KOR,2011,0
South Korea,KOR,2012,0
South Korea,KOR,2013,0
South Korea,KOR,2014,0.03
Tanzania,TZA,2009,19
Timor,TLS,2011,4
Trinidad and Tobago,TTO,2007,1.3
Uganda,UGA,2016,16.5
Venezuela,VEN,2006,11.2
