Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC"
Afghanistan,AFG,2021,0.55624
Afghanistan,AFG,2022,0.55624
Africa,,2021,0.48772
Africa,,2022,0.5017
Albania,ALB,2021,0.59457
Albania,ALB,2022,0.71962
Algeria,DZA,2021,0.52064
Algeria,DZA,2022,0.16253
Americas,,2021,0.6259
Americas,,2022,0.65938
Angola,AGO,2021,0.5761
Angola,AGO,2022,0.5761
Antigua and Barbuda,ATG,2021,0.21055
Antigua and Barbuda,ATG,2022,0.21055
Argentina,ARG,2021,0.80636
Argentina,ARG,2022,0.85075
Armenia,ARM,2021,0.4068
Armenia,ARM,2022,0.61895
Asia,,2021,0.40346
Asia,,2022,0.41177
Australia,AUS,2021,0.61458
Australia,AUS,2022,0.61458
Australia and New Zealand,,2021,0.76301
Australia and New Zealand,,2022,0.77028
Austria,AUT,2021,0.77941
Austria,AUT,2022,0.81144
Azerbaijan,AZE,2021,0.35002
Azerbaijan,AZE,2022,0.35294
Bahamas,BHS,2021,0.24516
Bahamas,BHS,2022,0.34322
Bahrain,BHR,2021,0.49502
Bahrain,BHR,2022,0.49502
Bangladesh,BGD,2021,0.4184
Bangladesh,BGD,2022,0.4184
Barbados,BRB,2021,0.38129
Barbados,BRB,2022,0.38129
Belarus,BLR,2021,0.72972
Belarus,BLR,2022,0.72972
Belgium,BEL,2021,0.8246
Belgium,BEL,2022,0.8246
Belize,BLZ,2021,0.24616
Belize,BLZ,2022,0.24616
Benin,BEN,2021,0.16459
Benin,BEN,2022,0.14456
Bhutan,BTN,2021,0.32733
Bhutan,BTN,2022,0.38222
Bolivia,BOL,2021,0.91723
Bolivia,BOL,2022,0.91723
Bosnia and Herzegovina,BIH,2021,0.50835
Bosnia and Herzegovina,BIH,2022,0.50835
Botswana,BWA,2021,0.20342
Botswana,BWA,2022,0.20987
Brazil,BRA,2021,0.29423
Brazil,BRA,2022,0.28668
Brunei,BRN,2021,0.18961
Brunei,BRN,2022,0.18961
Bulgaria,BGR,2021,0.51915
Bulgaria,BGR,2022,0.4313
Burkina Faso,BFA,2021,0.1228
Burkina Faso,BFA,2022,0.1228
Burundi,BDI,2021,0.74198
Burundi,BDI,2022,0.74198
Cambodia,KHM,2021,0.40693
Cambodia,KHM,2022,0.39185
Cameroon,CMR,2021,0.671
Cameroon,CMR,2022,0.671
Canada,CAN,2021,0.58325
Canada,CAN,2022,0.60074
Cape Verde,CPV,2021,0.52815
Cape Verde,CPV,2022,0.77832
Caribbean,,2021,0.8106
Caribbean,,2022,0.81252
Caucasus and Central Asia,,2021,0.45084
Caucasus and Central Asia,,2022,0.49271
Central African Republic,CAF,2021,0.16585
Central African Republic,CAF,2022,0.24877
Central America,,2021,0.71147
Central America,,2022,0.73536
Central Asia,,2021,0.49394
Central Asia,,2022,0.52938
Central and Southern Asia,,2021,0.38524
Central and Southern Asia,,2022,0.39429
Chad,TCD,2021,0.30395
Chad,TCD,2022,0.61608
Chile,CHL,2021,0.4404
Chile,CHL,2022,0.69205
China,CHN,2021,0.50607
China,CHN,2022,0.50607
Colombia,COL,2021,0.36097
Colombia,COL,2022,0.35597
Comoros,COM,2021,0.33383
Comoros,COM,2022,0.33383
Congo,COG,2021,0.22214
Congo,COG,2022,0.22214
Costa Rica,CRI,2021,0.90265
Costa Rica,CRI,2022,0.90265
Cote d'Ivoire,CIV,2021,0.23155
Cote d'Ivoire,CIV,2022,0.28858
Croatia,HRV,2021,0.59322
Croatia,HRV,2022,0.60584
Cuba,CUB,2021,1.05208
Cuba,CUB,2022,1.05208
Cyprus,CYP,2021,0.42383
Cyprus,CYP,2022,0.28255
Czechia,CZE,2021,0.4481
Democratic Republic of Congo,COD,2021,0.25154
Democratic Republic of Congo,COD,2022,0.25154
Denmark,DNK,2021,0.78271
