Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population) - SH_STA_ASAIRP"
Afghanistan,AFG,2016,211
Albania,ALB,2016,68
Algeria,DZA,2016,50
Angola,AGO,2016,119
Antigua and Barbuda,ATG,2016,30
Argentina,ARG,2016,27
Armenia,ARM,2016,55
Australia,AUS,2016,8
Australia and New Zealand,,2016,8
Austria,AUT,2016,15
Azerbaijan,AZE,2016,64
Bahamas,BHS,2016,20
Bahrain,BHR,2016,40
Bangladesh,BGD,2016,149
Barbados,BRB,2016,31
Belarus,BLR,2016,61
Belgium,BEL,2016,16
Belize,BLZ,2016,69
Benin,BEN,2016,205
Bhutan,BTN,2016,124
Bolivia,BOL,2016,64
Bosnia and Herzegovina,BIH,2016,80
Botswana,BWA,2016,101
Brazil,BRA,2016,30
Brunei,BRN,2016,13
Bulgaria,BGR,2016,62
Burkina Faso,BFA,2016,206
Burundi,BDI,2016,180
Cambodia,KHM,2016,150
Cameroon,CMR,2016,208
Canada,CAN,2016,7
Cape Verde,CPV,2016,99
Caucasus and Central Asia,,2016,82
Central African Republic,CAF,2016,212
Central Asia,,2016,85
Central and Southern Asia,,2016,170
Chad,TCD,2016,280
Chile,CHL,2016,25
China,CHN,2016,113
Colombia,COL,2016,37
Comoros,COM,2016,172
Congo,COG,2016,131
Costa Rica,CRI,2016,23
Cote d'Ivoire,CIV,2016,269
Croatia,HRV,2016,35
Cuba,CUB,2016,50
Cyprus,CYP,2016,20
Czechia,CZE,2016,30
Democratic Republic of Congo,COD,2016,164
Denmark,DNK,2016,13
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,23
Developing regions,,2016,133
Djibouti,DJI,2016,159
Dominican Republic,DOM,2016,43
Eastern Asia,,2016,103
Eastern Asia (excluding Japan),,2016,111
Eastern and South-Eastern Asia,,2016,106
Ecuador,ECU,2016,25
Egypt,EGY,2016,109
El Salvador,SLV,2016,42
Equatorial Guinea,GNQ,2016,178
Eritrea,ERI,2016,174
Estonia,EST,2016,25
Eswatini,SWZ,2016,137
Ethiopia,ETH,2016,144
Europe,,2016,30
Europe and Northern America,,2016,24
Fiji,FJI,2016,99
Finland,FIN,2016,7
France,FRA,2016,10
Gabon,GAB,2016,76
Gambia,GMB,2016,237
Georgia,GEO,2016,102
Germany,DEU,2016,16
Ghana,GHA,2016,204
Greece,GRC,2016,28
Grenada,GRD,2016,45
Guatemala,GTM,2016,74
Guinea,GIN,2016,243
Guinea-Bissau,GNB,2016,215
Guyana,GUY,2016,108
Haiti,HTI,2016,184
Honduras,HND,2016,61
Hungary,HUN,2016,39
Iceland,ISL,2016,9
India,IND,2016,184
Indonesia,IDN,2016,112
Iran,IRN,2016,51
Iraq,IRQ,2016,75
Ireland,IRL,2016,12
Israel,ISR,2016,15
Italy,ITA,2016,15
Jamaica,JAM,2016,25
Japan,JPN,2016,12
Jordan,JOR,2016,51
Kazakhstan,KAZ,2016,63
Kenya,KEN,2016,78
Kiribati,KIR,2016,140
Kuwait,KWT,2016,104
Kyrgyzstan,KGZ,2016,111
Laos,LAO,2016,188
Latin America and the Caribbean,,2016,39
Latvia,LVA,2016,41
Lebanon,LBN,2016,51
Lesotho,LSO,2016,178
Liberia,LBR,2016,170
Libya,LBY,2016,72
Lithuania,LTU,2016,34
Luxembourg,LUX,2016,12
Madagascar,MDG,2016,160
Malawi,MWI,2016,115
Malaysia,MYS,2016,47
Maldives,MDV,2016,26
Mali,MLI,2016,209
Malta,MLT,2016,20
Mauritania,MRT,2016,169
Mauritius,MUS,2016,38
Mexico,MEX,2016,37
Micronesia (country),FSM,2016,152
Moldova,MDA,2016,78
Mongolia,MNG,2016,156
Montenegro,MNE,2016,79
Morocco,MAR,2016,49
Mozambique,MOZ,2016,110
Myanmar,MMR,2016,156
Namibia,NAM,2016,145
Nepal,NPL,2016,194
Netherlands,NLD,2016,14
New Zealand,NZL,2016,7
Nicaragua,NIC,2016,56
Niger,NER,2016,252
Nigeria,NGA,2016,307
North Korea,PRK,2016,207
North Macedonia,MKD,2016,82
Northern Africa,,2016,99
Northern Africa (exc. Sudan),,2016,81
Northern Africa and Western Asia,,2016,86
Northern America,,2016,13
Norway,NOR,2016,9
Oceania,,2016,44
Oceania (exc. Australia and New Zealand),,2016,144
Oman,OMN,2016,54
Pakistan,PAK,2016,174
Panama,PAN,2016,26
Papua New Guinea,PNG,2016,152
