Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population) - SH_HAP_ASMORT"
Afghanistan,AFG,2016,133
Albania,ALB,2016,31
Algeria,DZA,2016,8
Angola,AGO,2016,78
Antigua and Barbuda,ATG,2016,2
Argentina,ARG,2016,3
Armenia,ARM,2016,5
Azerbaijan,AZE,2016,9
Bangladesh,BGD,2016,102
Barbados,BRB,2016,1
Belarus,BLR,2016,3
Belize,BLZ,2016,26
Benin,BEN,2016,156
Bhutan,BTN,2016,75
Bolivia,BOL,2016,30
Bosnia and Herzegovina,BIH,2016,43
Botswana,BWA,2016,60
Brazil,BRA,2016,7
Bulgaria,BGR,2016,10
Burkina Faso,BFA,2016,155
Burundi,BDI,2016,140
Cambodia,KHM,2016,114
Cameroon,CMR,2016,141
Cape Verde,CPV,2016,49
Caucasus and Central Asia,,2016,18
Central African Republic,CAF,2016,159
Central Asia,,2016,19
Central and Southern Asia,,2016,100
Chad,TCD,2016,208
Chile,CHL,2016,6
China,CHN,2016,60
Colombia,COL,2016,10
Comoros,COM,2016,138
Congo,COG,2016,92
Costa Rica,CRI,2016,5
Cote d'Ivoire,CIV,2016,205
Croatia,HRV,2016,8
Cuba,CUB,2016,23
Czechia,CZE,2016,3
Democratic Republic of Congo,COD,2016,125
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,2
Developing regions,,2016,80
Djibouti,DJI,2016,117
Dominican Republic,DOM,2016,13
Eastern Asia,,2016,55
Eastern Asia (excluding Japan),,2016,60
Eastern and South-Eastern Asia,,2016,60
Ecuador,ECU,2016,5
Egypt,EGY,2016,5
El Salvador,SLV,2016,15
Equatorial Guinea,GNQ,2016,117
Eritrea,ERI,2016,125
Estonia,EST,2016,8
Eswatini,SWZ,2016,97
Ethiopia,ETH,2016,111
Europe,,2016,3
Europe and Northern America,,2016,2
Fiji,FJI,2016,73
Gabon,GAB,2016,31
Gambia,GMB,2016,182
Georgia,GEO,2016,42
Ghana,GHA,2016,149
Greece,GRC,2016,6
Grenada,GRD,2016,6
Guatemala,GTM,2016,51
Guinea,GIN,2016,196
Guinea-Bissau,GNB,2016,169
Guyana,GUY,2016,52
Haiti,HTI,2016,149
Honduras,HND,2016,38
India,IND,2016,110
Indonesia,IDN,2016,71
Iran,IRN,2016,2
Iraq,IRQ,2016,4
Jamaica,JAM,2016,8
Jordan,JOR,2016,1
Kazakhstan,KAZ,2016,11
Kenya,KEN,2016,60
Kiribati,KIR,2016,117
Kyrgyzstan,KGZ,2016,43
Laos,LAO,2016,146
Latin America and the Caribbean,,2016,15
Latvia,LVA,2016,7
Lesotho,LSO,2016,126
Liberia,LBR,2016,140
Madagascar,MDG,2016,128
Malawi,MWI,2016,92
Malaysia,MYS,2016,7
Maldives,MDV,2016,7
Mali,MLI,2016,159
Mauritania,MRT,2016,107
Mauritius,MUS,2016,9
Mexico,MEX,2016,14
Micronesia (country),FSM,2016,125
Moldova,MDA,2016,17
Mongolia,MNG,2016,95
Montenegro,MNE,2016,41
Morocco,MAR,2016,5
Mozambique,MOZ,2016,89
Myanmar,MMR,2016,114
Namibia,NAM,2016,102
Nepal,NPL,2016,120
Nicaragua,NIC,2016,37
Niger,NER,2016,181
Nigeria,NGA,2016,226
North Korea,PRK,2016,157
North Macedonia,MKD,2016,43
Northern Africa,,2016,25
Northern Africa (exc. Sudan),,2016,6
Northern Africa and Western Asia,,2016,22
Oceania,,2016,31
Oceania (exc. Australia and New Zealand),,2016,117
Oman,OMN,2016,6
Pakistan,PAK,2016,101
Panama,PAN,2016,10
Papua New Guinea,PNG,2016,125
Paraguay,PRY,2016,37
Peru,PER,2016,34
Philippines,PHL,2016,134
Qatar,QAT,2016,1
Romania,ROU,2016,22
Russia,RUS,2016,4
Rwanda,RWA,2016,94
Saint Lucia,LCA,2016,3
Saint Vincent and the Grenadines,VCT,2016,6
Samoa,WSM,2016,66
Sao Tome and Principe,STP,2016,126
Saudi Arabia,SAU,2016,7
Senegal,SEN,2016,110
Serbia,SRB,2016,29
Seychelles,SYC,2016,14
Sierra Leone,SLE,2016,263
Slovakia,SVK,2016,3
Slovenia,SVN,2016,4
Solomon Islands,SLB,2016,113
Somalia,SOM,2016,167
South Africa,ZAF,2016,34
South Korea,KOR,2016,3
South Sudan,SSD,2016,126
South-eastern Asia,,2016,73
Southern Asia,,2016,103
Sri Lanka,LKA,2016,63
Sub-Saharan Africa,,2016,138
Sub-Saharan Africa (inc. Sudan),,2016,137
Sudan,SDN,2016,112
Suriname,SUR,2016,16
Syria,SYR,2016,2
Tajikistan,TJK,2016,45
Tanzania,TZA,2016,110
Thailand,THA,2016,32
Timor,TLS,2016,111
Togo,TGO,2016,190
Tonga,TON,2016,52
Trinidad and Tobago,TTO,2016,1
Tunisia,TUN,2016,2
Turkmenistan,TKM,2016,2
Uganda,UGA,2016,117
Ukraine,UKR,2016,8
United Arab Emirates,ARE,2016,2
Uruguay,URY,2016,2
Uzbekistan,UZB,2016,14
Vanuatu,VUT,2016,111
Venezuela,VEN,2016,4
Vietnam,VNM,2016,35
Western Asia,,2016,19
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,21
Yemen,YEM,2016,94
Zambia,ZMB,2016,98
Zimbabwe,ZWE,2016,103
