Entity,Code,Year,"4.4.1 - Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%) - SE_ADT_ACTS - Both sexes - Creating electronic presentations with presentation software"
Albania,ALB,2019,9.0473
Albania,ALB,2020,12.47461
Algeria,DZA,2018,7.21477
Andorra,AND,2017,45.11667
Austria,AUT,2014,39.61651
Austria,AUT,2015,42.05492
Austria,AUT,2016,44.11324
Austria,AUT,2017,44.58698
Austria,AUT,2019,45.717
Azerbaijan,AZE,2013,5.20146
Azerbaijan,AZE,2014,5.66787
Azerbaijan,AZE,2015,5.78171
Azerbaijan,AZE,2016,5.73798
Azerbaijan,AZE,2017,6.43609
Azerbaijan,AZE,2018,6.35857
Azerbaijan,AZE,2019,6.65152
Azerbaijan,AZE,2020,7.3625
Bahrain,BHR,2015,36.00003
Bahrain,BHR,2016,51.99998
Bahrain,BHR,2017,41.41026
Bahrain,BHR,2018,42.78318
Bahrain,BHR,2019,36
Bahrain,BHR,2020,38.35526
Belarus,BLR,2018,12.2135
Belarus,BLR,2019,12.42779
Belarus,BLR,2020,10.32164
Belgium,BEL,2014,35.95307
Belgium,BEL,2015,33.00809
Belgium,BEL,2016,34.48741
Belgium,BEL,2017,33.59538
Belgium,BEL,2019,34.20219
Bosnia and Herzegovina,BIH,2017,12.45847
Bosnia and Herzegovina,BIH,2019,11.0905
Botswana,BWA,2014,11.62193
Brazil,BRA,2013,12.22129
Brazil,BRA,2014,12.08647
Brazil,BRA,2015,12.00406
Brazil,BRA,2016,11.65128
Brazil,BRA,2017,9.88038
Brazil,BRA,2018,11.12099
Brazil,BRA,2019,9.98769
Brazil,BRA,2020,10.52061
Brunei,BRN,2016,34
Brunei,BRN,2018,42.60104
Brunei,BRN,2019,37.52871
Bulgaria,BGR,2014,9.10239
Bulgaria,BGR,2015,17.77392
Bulgaria,BGR,2016,13.95785
Bulgaria,BGR,2017,14.9968
Bulgaria,BGR,2019,14.54827
Cambodia,KHM,2017,2.54596
Cambodia,KHM,2018,2.90458
Cape Verde,CPV,2015,19.58681
Cape Verde,CPV,2019,8.87256
Chile,CHL,2017,42.87382
"China, Hong Kong Special Administrative Region",,2018,20.438
"China, Hong Kong Special Administrative Region",,2019,28.0991
"China, Hong Kong Special Administrative Region",,2020,22.89429
Colombia,COL,2016,28.80837
Colombia,COL,2017,26.18344
Colombia,COL,2018,25.60213
Colombia,COL,2019,23.72984
Cote d'Ivoire,CIV,2015,1.65
Cote d'Ivoire,CIV,2016,1.90687
Cote d'Ivoire,CIV,2017,2.15115
Cote d'Ivoire,CIV,2018,1.79156
Cote d'Ivoire,CIV,2019,1.50722
Croatia,HRV,2014,24.1182
Croatia,HRV,2015,43.60461
Croatia,HRV,2016,41.14808
Croatia,HRV,2017,41.72839
Croatia,HRV,2019,41.40796
Cuba,CUB,2017,2.09112
Cuba,CUB,2018,10.71821
Cuba,CUB,2019,12.04856
Cuba,CUB,2020,13.8761
Curacao,CUW,2017,15.60241
Cyprus,CYP,2014,28.43125
Cyprus,CYP,2015,22.56425
Cyprus,CYP,2016,25.55015
Cyprus,CYP,2017,19.95728
Cyprus,CYP,2019,27.04266
Czechia,CZE,2014,21.57513
Czechia,CZE,2015,28.94942
Czechia,CZE,2017,24.3867
Czechia,CZE,2019,18.04263
Denmark,DNK,2014,49.44011
Denmark,DNK,2015,57.46499
Denmark,DNK,2016,59.56418
Denmark,DNK,2017,51.81353
Denmark,DNK,2019,48.78793
Djibouti,DJI,2017,11.90995
Dominican Republic,DOM,2015,14.34578
Ecuador,ECU,2018,21.55332
Ecuador,ECU,2019,17.5765
Ecuador,ECU,2020,17.74061
