Entity,Code,Year,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment - SE_GCEDESD_SAS
Albania,ALB,2020,0.833
Algeria,DZA,2020,0.75
Andorra,AND,2020,0.917
Armenia,ARM,2020,0.833
Bahrain,BHR,2020,1
Bangladesh,BGD,2020,0.833
Belgium,BEL,2020,1
Bolivia,BOL,2020,0.75
Bosnia and Herzegovina,BIH,2020,0.5
Brazil,BRA,2020,0.917
Bulgaria,BGR,2020,0.708
Burkina Faso,BFA,2020,0.833
Burundi,BDI,2020,0.625
Cambodia,KHM,2020,1
Canada,CAN,2020,0.833
Colombia,COL,2020,1
Cuba,CUB,2020,1
Cyprus,CYP,2020,0.667
Democratic Republic of Congo,COD,2020,0.833
Denmark,DNK,2020,0.833
Dominican Republic,DOM,2020,1
Estonia,EST,2020,0.833
France,FRA,2020,1
Georgia,GEO,2020,1
Germany,DEU,2020,0.917
Hungary,HUN,2020,0.792
India,IND,2020,1
Ireland,IRL,2020,0.833
Italy,ITA,2020,0.833
Jordan,JOR,2020,1
Kuwait,KWT,2020,0.833
Kyrgyzstan,KGZ,2020,0.833
Latvia,LVA,2020,1
Lithuania,LTU,2020,1
Malawi,MWI,2020,1
Malaysia,MYS,2020,0.833
Malta,MLT,2020,0.917
Mauritius,MUS,2020,0.833
Mexico,MEX,2020,1
Moldova,MDA,2020,0.833
Monaco,MCO,2020,0.667
Mongolia,MNG,2020,0.833
Myanmar,MMR,2020,0.833
Nicaragua,NIC,2020,1
Oman,OMN,2020,0.833
Palestine,PSE,2020,0.833
Peru,PER,2020,1
Poland,POL,2020,1
Qatar,QAT,2020,0.667
Romania,ROU,2020,1
Saint Kitts and Nevis,KNA,2020,0.833
San Marino,SMR,2020,1
Saudi Arabia,SAU,2020,1
Slovakia,SVK,2020,0.25
Slovenia,SVN,2020,1
South Korea,KOR,2020,0.833
Spain,ESP,2020,1
Sweden,SWE,2020,0.833
Syria,SYR,2020,1
Thailand,THA,2020,1
Turkey,TUR,2020,1
Ukraine,UKR,2020,1
United Kingdom,GBR,2020,0.833
