Entity,Code,Year,"4.a.1 - Proportion of schools with access to basic drinking water, by education level (%) - SE_ACS_H2O - Primary","4.a.1 - Proportion of schools with access to basic drinking water, by education level (%) - SE_ACS_H2O - Upper secondary","4.a.1 - Proportion of schools with access to basic drinking water, by education level (%) - SE_ACS_H2O - Lower secondary"
Afghanistan,AFG,2017,56.67728,79.22607,71.08634
Afghanistan,AFG,2018,59.62904,78.03254,69.2162
Afghanistan,AFG,2016,,81.23953,66.96193
Albania,ALB,2018,54.98747,63.23232,68.84758
Albania,ALB,2019,53.36077,65.99598,72.97084
Albania,ALB,2017,,57.7381,
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Andorra,AND,2018,100,100,100
Andorra,AND,2019,100,100,100
Angola,AGO,2016,19.96747,59.77401,53.66399
Anguilla,AIA,2019,100,100,100
Antigua and Barbuda,ATG,2017,98.3871,100,100
Antigua and Barbuda,ATG,2018,100,100,100
Armenia,ARM,2019,99.84508,96.42185,97.52896
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,97.59053,98.67293,98.89578
Australia and New Zealand,,2001,97.58981,98.67262,98.89548
Australia and New Zealand,,2002,97.59078,98.6727,98.89548
Australia and New Zealand,,2003,97.58959,98.6725,98.89519
Australia and New Zealand,,2004,97.59038,98.67243,98.8952
Australia and New Zealand,,2005,97.59117,98.67236,98.89493
Australia and New Zealand,,2006,97.58971,98.6721,98.89477
Australia and New Zealand,,2007,97.58543,98.6716,98.8944
Australia and New Zealand,,2008,97.57516,98.67127,98.89408
Australia and New Zealand,,2009,97.57216,98.67142,98.89401
Australia and New Zealand,,2010,97.56891,98.6766,98.89652
Australia and New Zealand,,2011,97.56374,98.67517,98.89526
Australia and New Zealand,,2012,97.57626,98.67363,98.89393
Australia and New Zealand,,2013,97.53354,98.67532,98.89302
Australia and New Zealand,,2014,97.4948,98.67734,98.89239
Australia and New Zealand,,2015,97.45885,98.67954,98.89196
Australia and New Zealand,,2016,97.42253,98.68183,98.89154
Australia and New Zealand,,2017,97.41689,98.66952,98.84905
Azerbaijan,AZE,2016,100,100,100
Azerbaijan,AZE,2017,100,100,100
Azerbaijan,AZE,2018,100,100,100
Azerbaijan,AZE,2019,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bangladesh,BGD,2016,78.91008,,
Bangladesh,BGD,2017,,87.81117,97.01211
Bangladesh,BGD,2018,,87.8785,97.28143
Bangladesh,BGD,2019,,,97.07061
Barbados,BRB,2015,100,100,100
Barbados,BRB,2016,100,100,100
Barbados,BRB,2017,100,100,100
Barbados,BRB,2018,100,100,100
Barbados,BRB,2019,100,100,100
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,100,100,100
Belarus,BLR,2018,100,100,100
Belgium,BEL,2003,100,100,100
Belgium,BEL,2004,100,100,100
Belgium,BEL,2005,100,100,100
Belgium,BEL,2006,100,100,100
Belgium,BEL,2007,100,100,100
Belgium,BEL,2008,100,100,100
Belgium,BEL,2009,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2011,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Belgium,BEL,2017,100,100,100
Belgium,BEL,2018,100,100,100
Benin,BEN,2016,44.61415,,
Benin,BEN,2019,40.47875,,
Bhutan,BTN,2020,80.20305,82.92683,86.46617
British Virgin Islands,VGB,2016,100,85.71429,83.33333
British Virgin Islands,VGB,2017,100,85.71429,83.33333
British Virgin Islands,VGB,2018,100,85.71429,83.33333
Burkina Faso,BFA,2016,54.69123,41.76633,41.79826
Burkina Faso,BFA,2017,55.98174,,
Burkina Faso,BFA,2018,58.16197,30.96873,50.08117
Burkina Faso,BFA,2019,59.12675,34.48276,47.46707
Burundi,BDI,2016,42.81023,91.09589,71.40661
Burundi,BDI,2017,38.49442,91.09589,72.07137
Burundi,BDI,2018,38.52844,91.09589,
Burundi,BDI,2019,38.92354,,
Cameroon,CMR,2016,33.74765,,
Cameroon,CMR,2017,34.44397,,
Cape Verde,CPV,2016,95.41063,100,100
Cape Verde,CPV,2017,97.08738,100,100
Cape Verde,CPV,2018,98.78049,,
Cayman Islands,CYM,2018,100,100,100
Central Asia,,2017,94.97164,,94.06409
Central Asia,,2018,94.99428,,94.06505
Central and Southern Asia,,2015,77.70286,90.95365,89.07231
Central and Southern Asia,,2016,77.16454,90.98378,89.08028
Central and Southern Asia,,2017,75.14793,90.62087,88.35576
Central and Southern Asia,,2019,84.00639,95.2686,95.08641
Chad,TCD,2018,14.99647,,
China,CHN,2016,99.13292,99.54788,99.56493
China,CHN,2017,99.25352,99.54688,99.53759
China,CHN,2018,99.55931,99.67803,99.63387
China,CHN,2019,99.66381,99.68706,99.65373
"China, Hong Kong Special Administrative Region",,2016,100,100,100
"China, Hong Kong Special Administrative Region",,2017,100,100,100
"China, Hong Kong Special Administrative Region",,2018,100,100,100
"China, Hong Kong Special Administrative Region",,2019,100,100,100
Cook Islands,COK,2016,100,100,100
Cook Islands,COK,2019,100,100,100
Costa Rica,CRI,2016,85.0252,78.08099,77.97903
Costa Rica,CRI,2017,90.21081,71.97563,71.90161
Costa Rica,CRI,2018,82.87491,76.88966,77.11864
Costa Rica,CRI,2019,91.26965,90.97872,91.85393
Cote d'Ivoire,CIV,2016,51.41828,,100
Cote d'Ivoire,CIV,2017,43.23695,,
Cote d'Ivoire,CIV,2018,42.63726,100,100
Cote d'Ivoire,CIV,2019,42.021,,
Cuba,CUB,2018,100,100,100
Democratic Republic of Congo,COD,2015,0,0,0
Denmark,DNK,2001,100,,100
Denmark,DNK,2002,100,,100
Denmark,DNK,2003,100,,100
Denmark,DNK,2004,100,,100
Denmark,DNK,2005,100,,100
Denmark,DNK,2006,100,,100
Denmark,DNK,2007,100,,100
Denmark,DNK,2008,100,,100
Denmark,DNK,2009,100,,100
Denmark,DNK,2010,100,,100
Denmark,DNK,2011,100,,100
Denmark,DNK,2012,100,,100
Denmark,DNK,2013,100,,100
Denmark,DNK,2014,100,,100
Denmark,DNK,2015,100,100,100
Denmark,DNK,2016,100,,100
Djibouti,DJI,2017,88.48485,100,94.82759
Djibouti,DJI,2020,91.08911,,95.83333
Dominica,DMA,2016,100,100,100
Dominica,DMA,2019,100,100,100
Eastern Asia,,2015,97.01114,96.22108,96.97851
Eastern Asia,,2016,96.98382,96.21108,96.93514
Eastern Asia,,2017,97.06371,96.3331,96.9402
Eastern Asia,,2018,97.24376,96.55425,97.12393
Eastern Asia,,2019,97.28603,96.53781,97.11601
Eastern and South-Eastern Asia,,2015,78.93697,77.60177,78.31576
Eastern and South-Eastern Asia,,2016,78.64477,77.68487,77.48158
Eastern and South-Eastern Asia,,2017,78.60263,78.32144,78.75295
Eastern and South-Eastern Asia,,2018,78.82497,79.34809,80.46042
Eastern and South-Eastern Asia,,2019,78.64928,79.34898,80.49256
Ecuador,ECU,2016,40.33631,64.31414,57.91356
Ecuador,ECU,2017,41.14447,64.37724,58.47871
Ecuador,ECU,2018,40.34143,62.21833,56.71735
El Salvador,SLV,2016,80.27007,,87.10961
El Salvador,SLV,2017,81.78746,84.48109,82.07086
Estonia,EST,2000,100,100,100
Estonia,EST,2001,100,100,100
Estonia,EST,2002,100,100,100
Estonia,EST,2003,100,100,100
Estonia,EST,2004,100,100,100
Estonia,EST,2005,100,100,100
Estonia,EST,2006,100,100,100
Estonia,EST,2007,100,100,100
Estonia,EST,2008,100,100,100
Estonia,EST,2009,100,100,100
Estonia,EST,2010,100,100,100
Estonia,EST,2011,100,100,100
Estonia,EST,2012,100,100,100
Estonia,EST,2013,100,100,100
Estonia,EST,2014,100,100,100
Estonia,EST,2015,100,100,100
Estonia,EST,2016,100,100,100
Eswatini,SWZ,2016,78.93891,82.75862,82.75862
Eswatini,SWZ,2017,79.16667,91.57895,91.57895
Europe,,2000,98.44567,98.43667,98.75464
Europe,,2001,98.14515,98.42756,98.73268
Europe,,2002,97.8868,98.44672,98.72217
Europe,,2003,97.6677,98.4467,98.72688
Europe,,2004,97.47653,98.43759,98.71711
Europe,,2017,97.19102,98.57992,99.01136
Europe,,2005,,98.44071,98.71413
Europe,,2006,,98.43695,98.71176
Europe,,2007,,98.44342,98.70887
Europe,,2008,,98.45368,98.70656
Europe,,2009,,98.46244,98.71244
Europe,,2010,,98.46311,98.71104
Europe,,2011,,98.45976,98.7616
Europe,,2012,,98.48102,98.81383
Europe,,2013,,98.5038,98.85917
Europe,,2014,,98.52626,98.89843
Europe,,2015,,98.55624,98.94603
Europe,,2016,,98.57419,98.99878
Europe,,2018,,98.77796,99.02723
Europe,,2019,,98.87627,99.1805
Europe and Northern America,,2000,98.51988,98.4985,98.80995
Europe and Northern America,,2001,98.22674,98.48899,98.78825
Europe and Northern America,,2002,97.9728,98.50763,98.77784
Europe and Northern America,,2003,97.7558,98.50689,98.78235
Europe and Northern America,,2004,97.5654,98.49791,98.77251
Europe and Northern America,,2005,,98.50149,98.76957
Europe and Northern America,,2006,,98.49852,98.76722
Europe and Northern America,,2007,,98.50598,98.76485
Europe and Northern America,,2008,,98.51625,98.76263
Europe and Northern America,,2009,,98.52525,98.76842
Europe and Northern America,,2010,,98.5264,98.76703
Europe and Northern America,,2011,,98.52313,98.81636
Europe and Northern America,,2012,,98.54407,98.86728
Europe and Northern America,,2013,,98.5665,98.91142
Europe and Northern America,,2014,,98.5896,98.94954
Europe and Northern America,,2015,,98.6199,98.99579
Europe and Northern America,,2016,,98.63803,99.04692
Europe and Northern America,,2017,,98.6437,99.05903
Europe and Northern America,,2018,,,99.07433
Europe and Northern America,,2019,,,99.22027
Finland,FIN,2000,100,100,100
Finland,FIN,2001,100,100,100
Finland,FIN,2002,100,100,100
Finland,FIN,2003,100,100,100
Finland,FIN,2004,100,100,100
Finland,FIN,2005,100,100,100
Finland,FIN,2006,100,100,100
Finland,FIN,2007,100,100,100
Finland,FIN,2008,100,100,100
Finland,FIN,2009,100,100,100
Finland,FIN,2010,100,100,100
Finland,FIN,2011,100,100,100
Finland,FIN,2012,100,100,100
Finland,FIN,2013,100,100,100
Finland,FIN,2014,100,100,100
Finland,FIN,2015,100,100,100
Finland,FIN,2016,100,100,100
Finland,FIN,2017,100,100,100
Finland,FIN,2018,100,100,100
Finland,FIN,2019,100,100,100
France,FRA,2001,100,100,100
France,FRA,2002,100,100,100
France,FRA,2003,100,100,100
France,FRA,2004,100,100,100
France,FRA,2005,100,100,100
France,FRA,2006,100,100,100
France,FRA,2007,100,100,100
France,FRA,2008,100,100,100
France,FRA,2009,100,100,100
France,FRA,2010,100,100,100
France,FRA,2011,100,100,100
France,FRA,2012,100,100,100
France,FRA,2013,100,100,100
France,FRA,2014,100,100,100
France,FRA,2015,100,100,100
France,FRA,2016,100,100,100
France,FRA,2017,100,100,100
France,FRA,2018,100,100,100
France,FRA,2000,,100,100
Gambia,GMB,2017,83.70221,90.05848,89.72431
Gambia,GMB,2018,83.88313,71.95767,
Gambia,GMB,2019,,63.26531,87.42268
Georgia,GEO,2016,100,100,100
Georgia,GEO,2017,99.74026,100,100
Georgia,GEO,2018,100,100,100
Georgia,GEO,2019,100,100,100
Germany,DEU,2000,100,100,100
Germany,DEU,2001,100,100,100
Germany,DEU,2002,100,100,100
Germany,DEU,2003,100,100,100
Germany,DEU,2004,100,100,100
Germany,DEU,2005,100,100,100
Germany,DEU,2006,100,100,100
Germany,DEU,2007,100,100,100
Germany,DEU,2008,100,100,100
Germany,DEU,2009,100,100,100
Germany,DEU,2010,100,100,100
Germany,DEU,2011,100,100,100
Germany,DEU,2012,100,100,100
Germany,DEU,2013,100,100,100
Germany,DEU,2014,100,100,100
Germany,DEU,2015,100,100,100
Germany,DEU,2016,100,100,100
Germany,DEU,2017,100,100,100
Germany,DEU,2018,100,100,100
Ghana,GHA,2018,32.72151,67.61208,49.15727
Gibraltar,GIB,2016,100,100,100
Gibraltar,GIB,2017,100,100,100
Gibraltar,GIB,2019,100,100,100
Grenada,GRD,2016,100,,100
Grenada,GRD,2017,100,100,100
Grenada,GRD,2018,100,95.83333,95.83333
Guinea,GIN,2016,24.65739,,55.59085
Honduras,HND,2016,64.63,,
Honduras,HND,2019,87.88233,77.37327,100
Hungary,HUN,2000,100,100,100
Hungary,HUN,2001,100,100,100
Hungary,HUN,2002,100,100,100
Hungary,HUN,2003,100,100,100
Hungary,HUN,2004,100,100,100
Hungary,HUN,2005,100,100,100
Hungary,HUN,2006,100,100,100
Hungary,HUN,2007,100,100,100
Hungary,HUN,2008,100,100,100
Hungary,HUN,2009,100,100,100
Hungary,HUN,2010,100,100,100
Hungary,HUN,2011,100,100,100
Hungary,HUN,2012,100,100,100
Hungary,HUN,2013,100,100,100
Hungary,HUN,2014,100,100,100
Hungary,HUN,2015,100,100,100
Hungary,HUN,2016,100,100,100
India,IND,2016,83.9422,91.63996,88.88256
India,IND,2017,80.92738,91.14135,87.59739
India,IND,2019,94.4617,97.61792,96.76724
Indonesia,IDN,2016,57.83188,57.59109,47.27839
Indonesia,IDN,2017,58.09987,56.66373,
Indonesia,IDN,2018,58.26943,59.89392,57.58607
Israel,ISR,2000,100,100,100
Israel,ISR,2001,100,100,100
Israel,ISR,2002,100,100,100
Israel,ISR,2003,100,100,100
Israel,ISR,2004,100,100,100
Israel,ISR,2005,100,100,100
Israel,ISR,2006,100,100,100
Israel,ISR,2007,100,100,100
Israel,ISR,2008,100,100,100
Israel,ISR,2009,100,100,100
Israel,ISR,2010,100,100,100
Israel,ISR,2011,100,100,100
Israel,ISR,2012,100,100,100
Israel,ISR,2013,100,100,100
Israel,ISR,2014,100,100,100
Israel,ISR,2015,100,100,100
Israel,ISR,2016,100,100,100
Italy,ITA,2000,100,100,100
Italy,ITA,2001,100,100,100
Italy,ITA,2002,100,100,100
Italy,ITA,2003,100,100,100
Italy,ITA,2004,100,100,100
Italy,ITA,2005,100,100,100
Italy,ITA,2006,100,100,100
Italy,ITA,2007,100,100,100
Italy,ITA,2008,100,100,100
Italy,ITA,2009,100,100,100
Italy,ITA,2010,100,100,100
Italy,ITA,2011,100,100,100
Italy,ITA,2012,100,100,100
Italy,ITA,2013,100,100,100
Italy,ITA,2014,100,100,100
Italy,ITA,2015,100,100,100
Italy,ITA,2016,100,100,100
Jamaica,JAM,2016,93.92202,100,92.94118
Jamaica,JAM,2017,93.92898,100,92.94118
Jamaica,JAM,2019,90.2746,100,
Jordan,JOR,2018,35.5813,99.93519,62.15151
Jordan,JOR,2019,35.75171,100,61.53228
Kuwait,KWT,2016,100,100,100
Kuwait,KWT,2017,100,100,100
Kuwait,KWT,2018,100,100,100
Kuwait,KWT,2019,100,100,100
Landlocked developing countries (LLDCs),,2016,59.18194,,
Landlocked developing countries (LLDCs),,2017,59.27697,,81.86019
Landlocked developing countries (LLDCs),,2018,59.56438,,
Latin America and the Caribbean,,2015,,75.04212,
Latin America and the Caribbean,,2016,,74.99431,
Latin America and the Caribbean,,2017,,74.24764,
Latvia,LVA,2016,100,100,100
Least developed countries (LDCs),,2015,55.63261,62.92781,66.23929
Least developed countries (LDCs),,2016,55.8956,62.92493,66.25929
Least developed countries (LDCs),,2017,56.33797,63.72268,68.08438
Least developed countries (LDCs),,2018,,62.87912,67.11069
Least developed countries (LDCs),,2019,,64.63278,
Lebanon,LBN,2016,60,,
Liberia,LBR,2016,49.24681,72.8125,63.31878
Liberia,LBR,2017,59.40938,84.92936,75.43175
Macao,MAC,2016,100,100,100
Macao,MAC,2017,100,100,100
Macao,MAC,2018,100,100,100
Macao,MAC,2019,100,100,100
Malawi,MWI,2017,87.27123,,
Malaysia,MYS,2016,99.29315,100,100
Malaysia,MYS,2017,100,100,100
Malaysia,MYS,2018,92.11562,97.51117,95.84665
Maldives,MDV,2016,100,100,100
Maldives,MDV,2017,100,100,100
Marshall Islands,MHL,2019,68.08511,58.82353,
Mauritania,MRT,2016,37.30952,88.97959,69.49686
Mauritania,MRT,2017,37.18099,95.4918,63.58025
Mauritania,MRT,2018,43.69993,,63.28125
Mauritania,MRT,2019,50.66931,,
Mauritius,MUS,2010,100,,
Mauritius,MUS,2011,100,,
Mauritius,MUS,2013,100,100,100
Mauritius,MUS,2014,100,100,100
Mauritius,MUS,2015,100,100,100
Mauritius,MUS,2016,100,100,100
Mauritius,MUS,2017,100,100,100
Mauritius,MUS,2018,100,100,100
Mauritius,MUS,2019,100,100,100
Mexico,MEX,2016,,49.04111,
Moldova,MDA,2016,100,100,100
Moldova,MDA,2017,100,100,100
Moldova,MDA,2018,100,100,100
Moldova,MDA,2019,100,100,100
Monaco,MCO,2016,100,100,100
Monaco,MCO,2017,100,100,100
Monaco,MCO,2019,100,100,100
Monaco,MCO,2020,100,100,100
Montserrat,MSR,2016,100,,
Montserrat,MSR,2018,100,100,100
Montserrat,MSR,2019,100,100,100
Morocco,MAR,2016,72.90829,94.10793,89.11175
Morocco,MAR,2017,73.87337,96.68897,92.13483
Morocco,MAR,2018,75.18908,97.07044,92.95302
Morocco,MAR,2019,75.80036,96.76101,93.05735
Myanmar,MMR,2016,70.85019,,
Myanmar,MMR,2017,69.96217,83.24163,76.95221
Myanmar,MMR,2018,74.76628,88.52814,82.0685
Nauru,NRU,2019,100,100,100
Nepal,NPL,2016,39.01046,,
Netherlands,NLD,2000,100,100,100
Netherlands,NLD,2001,100,100,100
Netherlands,NLD,2002,100,100,100
Netherlands,NLD,2003,100,100,100
Netherlands,NLD,2004,100,100,100
Netherlands,NLD,2005,100,100,100
Netherlands,NLD,2006,100,100,100
Netherlands,NLD,2007,100,100,100
Netherlands,NLD,2008,100,100,100
Netherlands,NLD,2009,100,100,100
Netherlands,NLD,2010,100,100,100
Netherlands,NLD,2011,100,100,100
Netherlands,NLD,2012,100,100,100
Netherlands,NLD,2013,100,100,100
Netherlands,NLD,2014,100,100,100
Netherlands,NLD,2015,100,100,100
Netherlands,NLD,2016,100,100,100
Netherlands,NLD,2017,100,100,100
Netherlands,NLD,2018,100,100,100
Netherlands,NLD,2019,100,100,100
Niger,NER,2017,16.65634,,
Niger,NER,2018,15.60164,,
Niger,NER,2019,13.78419,62.63158,38.53007
Niger,NER,2016,,85.62092,51.67347
Niue,NIU,2016,100,100,100
Niue,NIU,2019,100,100,100
Northern Africa,,2015,84.93433,96.48114,92.97947
Northern Africa,,2016,84.88106,96.27697,92.97723
Northern Africa,,2017,85.15239,96.94592,93.10155
Northern Africa and Western Asia,,2016,86.34898,95.80208,93.53753
Northern Africa and Western Asia,,2017,86.50054,96.20653,93.55432
Northern Africa and Western Asia,,2015,,96.16682,93.57243
Northern Africa and Western Asia,,2018,,96.2804,93.48247
Northern Africa and Western Asia,,2019,,96.2945,93.41987
Norway,NOR,2000,100,,100
Norway,NOR,2001,100,,100
Norway,NOR,2002,100,,100
Norway,NOR,2003,100,,100
Norway,NOR,2004,100,,100
Norway,NOR,2005,100,,100
Norway,NOR,2006,100,,100
Norway,NOR,2007,100,,100
Norway,NOR,2008,100,100,100
Norway,NOR,2009,100,100,100
Norway,NOR,2010,100,100,100
Norway,NOR,2011,100,100,100
Norway,NOR,2012,100,100,100
Norway,NOR,2013,100,100,100
Norway,NOR,2014,100,100,100
Norway,NOR,2015,100,100,100
Norway,NOR,2016,100,100,100
Norway,NOR,2017,100,100,100
Norway,NOR,2018,100,100,100
Norway,NOR,2019,100,100,100
Norway,NOR,2020,100,,100
Oceania,,2000,87.19603,95.92766,95.46176
Oceania,,2001,87.19339,95.92357,95.45826
Oceania,,2002,87.19874,95.92529,95.45965
Oceania,,2003,87.19517,95.92164,95.45616
Oceania,,2004,87.19879,95.92019,95.45697
Oceania,,2005,87.20242,95.91874,95.45477
Oceania,,2006,87.19715,95.91407,95.45223
Oceania,,2007,87.18106,95.90564,95.44578
Oceania,,2008,87.1529,95.8999,95.44115
Oceania,,2009,87.14008,95.90236,95.43781
Oceania,,2010,87.12178,95.96735,95.45906
Oceania,,2011,87.07123,95.91059,95.40935
Oceania,,2012,87.46256,95.82915,95.34656
Oceania,,2013,87.27268,95.74867,95.3168
Oceania,,2014,87.10321,95.67335,95.29278
Oceania,,2015,86.94855,95.60163,95.27252
Oceania,,2016,86.79714,95.53057,95.25195
Oceania,,2017,86.72668,95.6269,94.87365
Oman,OMN,2016,100,100,100
Oman,OMN,2017,100,100,100
Oman,OMN,2018,100,100,100
Oman,OMN,2019,100,100,100
Pakistan,PAK,2016,52.00773,,
