Entity,Code,Year,"4.a.1 - Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - SE_INF_DSBL - Upper secondary","4.a.1 - Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - SE_INF_DSBL - Primary","4.a.1 - Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - SE_INF_DSBL - Lower secondary"
Albania,ALB,2017,11.90476,,
Albania,ALB,2018,9.49495,5.06266,7.13755
Albania,ALB,2019,11.0664,7.17878,7.95902
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Andorra,AND,2018,100,100,100
Andorra,AND,2019,100,100,100
Anguilla,AIA,2019,100,100,100
Antigua and Barbuda,ATG,2018,4.54545,5,4.54545
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bangladesh,BGD,2016,12.17031,,10.12802
Bangladesh,BGD,2017,12.24936,,
Bangladesh,BGD,2018,17.06037,,17.95215
Bangladesh,BGD,2019,19.02616,,18.81221
Bermuda,BMU,2016,100,100,100
Brazil,BRA,2017,46.69795,27.88372,39.80671
British Virgin Islands,VGB,2016,100,62.96296,100
British Virgin Islands,VGB,2017,100,100,100
British Virgin Islands,VGB,2018,100,26.08696,100
Burkina Faso,BFA,2016,18.67525,1.94473,18.62714
Burkina Faso,BFA,2018,10.75515,,17.4513
Burkina Faso,BFA,2019,10.99545,38.43597,15.12158
Burkina Faso,BFA,2017,,2.27006,
Burundi,BDI,2018,0,0,
Burundi,BDI,2019,,0,0
Cayman Islands,CYM,2018,100,100,100
"China, Hong Kong Special Administrative Region",,2016,92.29508,96.02544,92.32026
"China, Hong Kong Special Administrative Region",,2017,94.15693,95.56962,94.17637
"China, Hong Kong Special Administrative Region",,2018,94.34276,94.83568,94.36153
"China, Hong Kong Special Administrative Region",,2019,94.15693,94.89164,94.8542
Cook Islands,COK,2016,0,4.16667,4.54545
Cook Islands,COK,2019,100,100,100
Costa Rica,CRI,2016,60.65141,60.45116,61.10582
Costa Rica,CRI,2017,63.01131,69.15435,63.19773
Costa Rica,CRI,2018,60.46916,55.39345,61.11111
Costa Rica,CRI,2019,82.97872,64.88513,84.0824
Democratic Republic of Congo,COD,2015,0,0,0
Dominica,DMA,2016,100,100,100
Dominica,DMA,2019,100,100,100
El Salvador,SLV,2017,30.0679,28.31393,30.02443
El Salvador,SLV,2018,58.55263,30.38829,40.63927
El Salvador,SLV,2016,,25.33758,34.04776
Eswatini,SWZ,2016,11.03448,12.05788,11.03448
Finland,FIN,2000,100,100,100
Finland,FIN,2001,100,100,100
Finland,FIN,2002,100,100,100
Finland,FIN,2003,100,100,100
Finland,FIN,2004,100,100,100
Finland,FIN,2005,100,100,100
Finland,FIN,2006,100,100,100
Finland,FIN,2007,100,100,100
Finland,FIN,2008,100,100,100
Finland,FIN,2009,100,100,100
Finland,FIN,2010,100,100,100
Finland,FIN,2011,100,100,100
Finland,FIN,2012,100,100,100
