Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions (%) - IC_GEN_MGTN
Afghanistan,AFG,2014,6.9
Afghanistan,AFG,2017,4.3
Afghanistan,AFG,2020,5.9
Albania,ALB,2007,22.8
Albania,ALB,2008,24.4
Albania,ALB,2009,22
Albania,ALB,2010,16.3
Albania,ALB,2012,14.7
Albania,ALB,2013,29.3
Albania,ALB,2014,20.6
Albania,ALB,2015,19.3
Albania,ALB,2016,24
Albania,ALB,2017,22.7
Albania,ALB,2018,31.6
Albania,ALB,2019,41.3
Angola,AGO,2009,14.8
Angola,AGO,2014,18.2
Argentina,ARG,2004,28.6
Argentina,ARG,2005,26.3
Argentina,ARG,2006,29.4
Argentina,ARG,2008,29.9
Argentina,ARG,2009,34.4
Argentina,ARG,2010,32.1
Argentina,ARG,2011,30.2
Argentina,ARG,2012,32.3
Argentina,ARG,2013,36.5
Argentina,ARG,2014,38.6
Argentina,ARG,2017,32.6
Argentina,ARG,2018,33.2
Argentina,ARG,2019,33.1
Argentina,ARG,2020,37
Austria,AUT,2000,28.1
Austria,AUT,2001,29.4
Austria,AUT,2002,30.8
Austria,AUT,2003,28.5
Austria,AUT,2004,22.2
Austria,AUT,2005,21.5
Austria,AUT,2006,21
Austria,AUT,2007,21
Austria,AUT,2008,25.2
Austria,AUT,2009,23.3
Austria,AUT,2010,25.4
Austria,AUT,2011,26.1
Austria,AUT,2012,27.1
Austria,AUT,2013,26.3
Austria,AUT,2014,27.9
Austria,AUT,2015,27.9
Austria,AUT,2016,29.5
Austria,AUT,2017,29.2
Austria,AUT,2018,28.9
Austria,AUT,2019,32
Austria,AUT,2020,31.3
Bangladesh,BGD,2006,10.9
Bangladesh,BGD,2010,10
Bangladesh,BGD,2017,11.5
Barbados,BRB,2015,50.9
Barbados,BRB,2016,48.9
Barbados,BRB,2017,48.9
Barbados,BRB,2018,46.5
Barbados,BRB,2019,43.2
Belarus,BLR,2020,47.8
Belgium,BEL,2000,24.5
Belgium,BEL,2001,28.4
Belgium,BEL,2002,28
Belgium,BEL,2003,27.3
Belgium,BEL,2004,26.9
Belgium,BEL,2005,30.2
Belgium,BEL,2006,31.1
Belgium,BEL,2007,33.5
Belgium,BEL,2008,31.9
Belgium,BEL,2009,34.6
Belgium,BEL,2010,34.8
Belgium,BEL,2011,30.5
Belgium,BEL,2012,31.7
Belgium,BEL,2013,30.8
Belgium,BEL,2014,31.3
Belgium,BEL,2015,31
Belgium,BEL,2016,32
Belgium,BEL,2017,32.9
Belgium,BEL,2018,33.5
Belgium,BEL,2019,31.9
Belgium,BEL,2020,34.5
Belize,BLZ,2015,39.1
Belize,BLZ,2016,41.7
Bolivia,BOL,2000,37.9
Bolivia,BOL,2001,18.5
Bolivia,BOL,2005,32
Bolivia,BOL,2007,29
Bolivia,BOL,2008,34.7
Bolivia,BOL,2009,35.1
Bolivia,BOL,2011,35.7
Bolivia,BOL,2012,31.5
Bolivia,BOL,2013,31.1
Bolivia,BOL,2014,35.5
Bolivia,BOL,2015,34.5
Bolivia,BOL,2016,30
Bolivia,BOL,2017,26.8
Bolivia,BOL,2018,30.4
Bolivia,BOL,2019,28.1
Bolivia,BOL,2020,30.9
Bosnia and Herzegovina,BIH,2006,23.7
Bosnia and Herzegovina,BIH,2007,20.3
Bosnia and Herzegovina,BIH,2008,33.4
Bosnia and Herzegovina,BIH,2009,27.7
Bosnia and Herzegovina,BIH,2010,23.8
Bosnia and Herzegovina,BIH,2011,22.6
Bosnia and Herzegovina,BIH,2012,23
Bosnia and Herzegovina,BIH,2013,21.4
Bosnia and Herzegovina,BIH,2014,24.2
Bosnia and Herzegovina,BIH,2015,24.2
Bosnia and Herzegovina,BIH,2016,18.8
Bosnia and Herzegovina,BIH,2017,18.8
Bosnia and Herzegovina,BIH,2018,26.1
Bosnia and Herzegovina,BIH,2019,25.4
Bosnia and Herzegovina,BIH,2020,24.9
Botswana,BWA,2009,29.6
Botswana,BWA,2019,54.2
Botswana,BWA,2020,55.3
Brazil,BRA,2002,35
Brazil,BRA,2003,34.2
Brazil,BRA,2004,35.7
Brazil,BRA,2005,38.1
Brazil,BRA,2006,36.3
Brazil,BRA,2007,37.7
Brazil,BRA,2008,35.8
Brazil,BRA,2009,35.2
Brazil,BRA,2011,36.6
Brazil,BRA,2012,35.6
Brazil,BRA,2013,36.2
Brazil,BRA,2014,36.5
Brazil,BRA,2015,37.1
Brazil,BRA,2016,37.5
Brazil,BRA,2017,37.6
Brazil,BRA,2018,37.8
Brazil,BRA,2019,37.5
Brazil,BRA,2020,35.4
Brunei,BRN,2014,32.5
Brunei,BRN,2017,37
Brunei,BRN,2018,34.6
Brunei,BRN,2019,32.3
Brunei,BRN,2020,37.4
Bulgaria,BGR,2000,37.5
Bulgaria,BGR,2001,40.5
Bulgaria,BGR,2002,42.3
