Entity,Code,Year,wat_sm
Afghanistan,AFG,2000,10.93
Afghanistan,AFG,2001,10.94
Afghanistan,AFG,2002,11.73
Afghanistan,AFG,2003,12.51
Afghanistan,AFG,2004,13.31
Afghanistan,AFG,2005,14.11
Afghanistan,AFG,2006,14.91
Afghanistan,AFG,2007,16.09
Afghanistan,AFG,2008,17.32
Afghanistan,AFG,2009,18.26
Afghanistan,AFG,2010,19.12
Afghanistan,AFG,2011,19.97
Afghanistan,AFG,2012,20.82
Afghanistan,AFG,2013,21.67
Afghanistan,AFG,2014,22.52
Afghanistan,AFG,2015,23.38
Afghanistan,AFG,2016,24.23
Afghanistan,AFG,2017,25.08
Afghanistan,AFG,2018,25.94
Afghanistan,AFG,2019,26.8
Afghanistan,AFG,2020,27.59
Albania,ALB,2000,49.14
Albania,ALB,2001,49.08
Albania,ALB,2002,48.98
Albania,ALB,2003,48.89
Albania,ALB,2004,50.72
Albania,ALB,2005,52.58
Albania,ALB,2006,54.47
Albania,ALB,2007,56.38
Albania,ALB,2008,58.33
Albania,ALB,2009,60.3
Albania,ALB,2010,62.3
Albania,ALB,2011,64.33
Albania,ALB,2012,66.38
Albania,ALB,2013,68.46
Albania,ALB,2014,70.56
Albania,ALB,2015,70.59
Albania,ALB,2016,70.62
Albania,ALB,2017,70.64
Albania,ALB,2018,70.65
Albania,ALB,2019,70.67
Albania,ALB,2020,70.67
Algeria,DZA,2000,70.08
Algeria,DZA,2001,70.64
Algeria,DZA,2002,71.19
Algeria,DZA,2003,71.73
Algeria,DZA,2004,72.25
Algeria,DZA,2005,72.75
Algeria,DZA,2006,73.24
Algeria,DZA,2007,73.72
Algeria,DZA,2008,74.18
Algeria,DZA,2009,74.63
Algeria,DZA,2010,75.06
Algeria,DZA,2011,75.47
Algeria,DZA,2012,75.87
Algeria,DZA,2013,76.25
Algeria,DZA,2014,75.97
Algeria,DZA,2015,75.53
Algeria,DZA,2016,75.07
Algeria,DZA,2017,74.57
Algeria,DZA,2018,73.88
Algeria,DZA,2019,73.14
Algeria,DZA,2020,72.38
American Samoa,ASM,2000,77.83
American Samoa,ASM,2001,79.03
American Samoa,ASM,2002,80.24
American Samoa,ASM,2003,81.45
American Samoa,ASM,2004,82.66
American Samoa,ASM,2005,83.87
American Samoa,ASM,2006,85.08
American Samoa,ASM,2007,86.29
American Samoa,ASM,2008,87.51
American Samoa,ASM,2009,88.73
American Samoa,ASM,2010,89.95
American Samoa,ASM,2011,91.17
American Samoa,ASM,2012,92.39
American Samoa,ASM,2013,93.62
American Samoa,ASM,2014,94.84
American Samoa,ASM,2015,96.07
American Samoa,ASM,2016,97.3
American Samoa,ASM,2017,98.36
American Samoa,ASM,2018,98.36
American Samoa,ASM,2019,98.36
American Samoa,ASM,2020,98.36
Andorra,AND,2000,90.64
Andorra,AND,2001,90.64
Andorra,AND,2002,90.64
Andorra,AND,2003,90.64
Andorra,AND,2004,90.64
Andorra,AND,2005,90.64
Andorra,AND,2006,90.64
Andorra,AND,2007,90.64
Andorra,AND,2008,90.64
Andorra,AND,2009,90.64
Andorra,AND,2010,90.64
Andorra,AND,2011,90.64
Andorra,AND,2012,90.64
Andorra,AND,2013,90.64
Andorra,AND,2014,90.64
Andorra,AND,2015,90.64
Andorra,AND,2016,90.64
Andorra,AND,2017,90.64
Andorra,AND,2018,90.64
Andorra,AND,2019,90.64
Andorra,AND,2020,90.64
Armenia,ARM,2000,79.88
Armenia,ARM,2001,80
Armenia,ARM,2002,80.13
Armenia,ARM,2003,80.26
Armenia,ARM,2004,80.39
Armenia,ARM,2005,80.52
Armenia,ARM,2006,80.65
Armenia,ARM,2007,80.78
Armenia,ARM,2008,80.91
Armenia,ARM,2009,81.05
Armenia,ARM,2010,81.18
Armenia,ARM,2011,81.8
Armenia,ARM,2012,82.41
Armenia,ARM,2013,83.03
Armenia,ARM,2014,83.64
Armenia,ARM,2015,84.13
Armenia,ARM,2016,84.62
Armenia,ARM,2017,85.42
Armenia,ARM,2018,85.92
Armenia,ARM,2019,86.42
Armenia,ARM,2020,86.91
Austria,AUT,2000,96.45
Austria,AUT,2001,96.66
Austria,AUT,2002,96.87
Austria,AUT,2003,97.07
Austria,AUT,2004,97.28
Austria,AUT,2005,97.49
Austria,AUT,2006,97.69
Austria,AUT,2007,97.9
Austria,AUT,2008,98.1
Austria,AUT,2009,98.31
Austria,AUT,2010,98.52
Austria,AUT,2011,98.72
Austria,AUT,2012,98.91
Austria,AUT,2013,98.91
Austria,AUT,2014,98.91
Austria,AUT,2015,98.91
Austria,AUT,2016,98.91
Austria,AUT,2017,98.91
Austria,AUT,2018,98.9
Austria,AUT,2019,98.9
Austria,AUT,2020,98.9
Azerbaijan,AZE,2000,57.84
Azerbaijan,AZE,2001,59.61
Azerbaijan,AZE,2002,61.4
Azerbaijan,AZE,2003,63.22
Azerbaijan,AZE,2004,65.06
Azerbaijan,AZE,2005,66.93
Azerbaijan,AZE,2006,68.83
Azerbaijan,AZE,2007,70.75
Azerbaijan,AZE,2008,72.69
Azerbaijan,AZE,2009,74.66
Azerbaijan,AZE,2010,76.67
Azerbaijan,AZE,2011,78.69
Azerbaijan,AZE,2012,80.47
Azerbaijan,AZE,2013,81.96
Azerbaijan,AZE,2014,83.47
Azerbaijan,AZE,2015,85
Azerbaijan,AZE,2016,85.69
Azerbaijan,AZE,2017,86.39
Azerbaijan,AZE,2018,87.08
Azerbaijan,AZE,2019,87.74
Azerbaijan,AZE,2020,88.32
Bahrain,BHR,2000,98.83
