Entity,Code,Year,"12.2.1 - Material footprint per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollar) - EN_MAT_FTPRPG"
World,OWID_WRL,2000,1.18551
World,OWID_WRL,2001,1.17907
World,OWID_WRL,2002,1.17695
World,OWID_WRL,2003,1.18759
World,OWID_WRL,2004,1.19838
World,OWID_WRL,2005,1.19531
World,OWID_WRL,2006,1.19625
World,OWID_WRL,2007,1.19161
World,OWID_WRL,2008,1.18539
World,OWID_WRL,2009,1.20695
World,OWID_WRL,2010,1.22035
World,OWID_WRL,2011,1.25697
World,OWID_WRL,2012,1.27
World,OWID_WRL,2013,1.28118
World,OWID_WRL,2014,1.26389
World,OWID_WRL,2015,1.2243
World,OWID_WRL,2016,1.19583
World,OWID_WRL,2017,1.17092
World,OWID_WRL,2018,1.14205
World,OWID_WRL,2019,1.14094
