Entity,Code,Year,"8.a.1 - Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2019 United States dollars) - DC_TOF_TRDCMDL"
Australia,AUS,2005,108500000
Australia,AUS,2006,261500000
Australia,AUS,2007,154200000
Australia,AUS,2008,479400000
Australia,AUS,2009,433400000
Australia,AUS,2010,551400000
Australia,AUS,2011,436800000
Australia,AUS,2012,425000000
Australia,AUS,2013,358500000
Australia,AUS,2014,324900000
Australia,AUS,2015,394000000
Australia,AUS,2016,377600000
Australia,AUS,2017,409200000
Australia,AUS,2018,410900000
Australia,AUS,2019,392500000
Austria,AUT,2005,15700000
Austria,AUT,2006,36500000
Austria,AUT,2007,60400000
Austria,AUT,2008,68200000
Austria,AUT,2009,77100000
Austria,AUT,2010,93900000
Austria,AUT,2011,63300000
Austria,AUT,2012,70800000
Austria,AUT,2013,133400000
Austria,AUT,2014,62900000
Austria,AUT,2015,73100000
Austria,AUT,2016,80700000
Austria,AUT,2017,80200000
Austria,AUT,2018,77200000
Austria,AUT,2019,47900000
Belgium,BEL,2005,118100000
Belgium,BEL,2006,214400000
Belgium,BEL,2007,281900000
Belgium,BEL,2008,292100000
Belgium,BEL,2009,511800000
Belgium,BEL,2010,394300000
Belgium,BEL,2011,435900000
Belgium,BEL,2012,133800000.00000001
Belgium,BEL,2013,185700000
Belgium,BEL,2014,254200000
Belgium,BEL,2015,221800000
Belgium,BEL,2016,169400000
Belgium,BEL,2017,222700000
Belgium,BEL,2018,155100000
Belgium,BEL,2019,333200000
Canada,CAN,2005,180200000
Canada,CAN,2006,263600000.00000003
Canada,CAN,2007,340400000
Canada,CAN,2008,494900000
Canada,CAN,2009,469800000
Canada,CAN,2010,622600000
Canada,CAN,2011,595800000
Canada,CAN,2012,491000000
Canada,CAN,2013,638300000
Canada,CAN,2014,409500000
Canada,CAN,2015,735900000
Canada,CAN,2016,565000000
Canada,CAN,2017,189200000
Canada,CAN,2018,575400000
Canada,CAN,2019,460800000
Czechia,CZE,2009,100000
Czechia,CZE,2010,100000
Czechia,CZE,2011,11200000
Czechia,CZE,2012,9400000
Czechia,CZE,2013,8600000
Czechia,CZE,2014,7300000
Czechia,CZE,2015,12200000
Czechia,CZE,2016,7500000
Czechia,CZE,2017,9800000
Czechia,CZE,2018,9000000
Czechia,CZE,2019,8700000
Denmark,DNK,2005,269400000
Denmark,DNK,2006,253600000
Denmark,DNK,2007,333800000
Denmark,DNK,2008,218100000
Denmark,DNK,2009,313900000
Denmark,DNK,2010,329800000
Denmark,DNK,2011,262000000
Denmark,DNK,2012,351000000
Denmark,DNK,2013,371500000
Denmark,DNK,2014,386600000
Denmark,DNK,2015,124100000
Denmark,DNK,2016,255600000
Denmark,DNK,2017,204100000
Denmark,DNK,2018,197100000
Denmark,DNK,2019,349700000
Finland,FIN,2005,51400000
Finland,FIN,2006,90800000
Finland,FIN,2007,116200000
Finland,FIN,2008,180800000
Finland,FIN,2009,336000000
Finland,FIN,2010,254900000
Finland,FIN,2011,302100000
Finland,FIN,2012,122200000
Finland,FIN,2013,131400000
Finland,FIN,2014,149400000
Finland,FIN,2015,94000000
Finland,FIN,2016,72200000
Finland,FIN,2017,229900000
Finland,FIN,2018,112300000
Finland,FIN,2019,48500000
France,FRA,2005,413200000
France,FRA,2006,956500000
France,FRA,2007,1273900000
France,FRA,2008,2127500000
France,FRA,2009,1342200000
France,FRA,2010,1572200000
France,FRA,2011,1260400000
France,FRA,2012,3302100000
France,FRA,2013,2035400000
France,FRA,2014,2291800000
France,FRA,2015,2962500000
France,FRA,2016,2544100000
France,FRA,2017,3272700000
France,FRA,2018,2006200000
France,FRA,2019,4257399999.9999995
Germany,DEU,2005,696000000
Germany,DEU,2006,2040600000
Germany,DEU,2007,1627100000
Germany,DEU,2008,2706800000
Germany,DEU,2009,2464800000
Germany,DEU,2010,4336900000
Germany,DEU,2011,3439800000
Germany,DEU,2012,3275600000
Germany,DEU,2013,4683700000
Germany,DEU,2014,7060800000
Germany,DEU,2015,6061800000
Germany,DEU,2016,6275900000
Germany,DEU,2017,5877600000
Germany,DEU,2018,5888700000
Germany,DEU,2019,6787900000
Greece,GRC,2005,7900000
Greece,GRC,2006,25900000
Greece,GRC,2007,12500000
Greece,GRC,2008,10900000
Greece,GRC,2009,14000000
Greece,GRC,2010,15800000
Greece,GRC,2011,16300000
Greece,GRC,2012,100000
Greece,GRC,2013,100000
Greece,GRC,2014,0
Greece,GRC,2015,0
Greece,GRC,2016,0
Greece,GRC,2017,0
Greece,GRC,2018,0
Greece,GRC,2019,0
Hungary,HUN,2015,400000
Hungary,HUN,2016,4099999.9999999995
Hungary,HUN,2017,2500000
Hungary,HUN,2018,12100000
Hungary,HUN,2019,13000000
Iceland,ISL,2011,9300000
Iceland,ISL,2012,10400000
Iceland,ISL,2013,12500000
Iceland,ISL,2014,10500000
Iceland,ISL,2015,7800000
Iceland,ISL,2016,8199999.999999999
Iceland,ISL,2017,7900000
Iceland,ISL,2018,9300000
Iceland,ISL,2019,10100000
Ireland,IRL,2005,15000000
Ireland,IRL,2006,36500000
Ireland,IRL,2007,37100000
Ireland,IRL,2008,64500000
Ireland,IRL,2009,57400000
Ireland,IRL,2010,65000000
Ireland,IRL,2011,66099999.99999999
Ireland,IRL,2012,51800000
Ireland,IRL,2013,51600000
Ireland,IRL,2014,47200000
Ireland,IRL,2015,34600000
Ireland,IRL,2016,41300000
Ireland,IRL,2017,43600000
Ireland,IRL,2018,34500000
Ireland,IRL,2019,41600000
Italy,ITA,2005,130199999.99999999
Italy,ITA,2006,316400000
Italy,ITA,2007,144700000
Italy,ITA,2008,235600000
Italy,ITA,2009,244400000
Italy,ITA,2010,161300000
Italy,ITA,2011,97500000
Italy,ITA,2012,176300000
Italy,ITA,2013,83700000
Italy,ITA,2014,96900000
Italy,ITA,2015,192700000
Italy,ITA,2016,78700000
Italy,ITA,2017,356200000
Italy,ITA,2018,159900000
Italy,ITA,2019,264899999.99999997
Japan,JPN,2005,2489900000
Japan,JPN,2006,4749900000
Japan,JPN,2007,4598600000
Japan,JPN,2008,8216900000
Japan,JPN,2009,5184300000
Japan,JPN,2010,7688100000
Japan,JPN,2011,5967600000
Japan,JPN,2012,6632400000
Japan,JPN,2013,9668100000
Japan,JPN,2014,9519400000
Japan,JPN,2015,13112300000
Japan,JPN,2016,11649400000
Japan,JPN,2017,13011000000
Japan,JPN,2018,12746600000
Japan,JPN,2019,9681900000
Luxembourg,LUX,2005,10500000
Luxembourg,LUX,2006,18300000
Luxembourg,LUX,2007,40600000
Luxembourg,LUX,2008,40300000
Luxembourg,LUX,2009,30900000
Luxembourg,LUX,2010,37200000
Luxembourg,LUX,2011,39200000
Luxembourg,LUX,2012,40700000
Luxembourg,LUX,2013,41100000
Luxembourg,LUX,2014,40900000
Luxembourg,LUX,2015,35400000
Luxembourg,LUX,2016,40500000
Luxembourg,LUX,2017,58100000
Luxembourg,LUX,2018,57800000
Luxembourg,LUX,2019,61700000
Netherlands,NLD,2005,289000000
Netherlands,NLD,2006,905300000
Netherlands,NLD,2007,666800000
Netherlands,NLD,2008,588500000
Netherlands,NLD,2009,608000000
Netherlands,NLD,2010,530400000
Netherlands,NLD,2011,1059900000.0000001
Netherlands,NLD,2012,1056599999.9999999
Netherlands,NLD,2013,698500000
Netherlands,NLD,2014,965700000
Netherlands,NLD,2015,637000000
Netherlands,NLD,2016,536400000
Netherlands,NLD,2017,685900000
Netherlands,NLD,2018,691900000
Netherlands,NLD,2019,951500000
New Zealand,NZL,2005,12800000
New Zealand,NZL,2006,61600000
New Zealand,NZL,2007,22100000
New Zealand,NZL,2008,47600000
New Zealand,NZL,2009,34900000
New Zealand,NZL,2010,67400000
New Zealand,NZL,2011,179100000
New Zealand,NZL,2012,77600000
New Zealand,NZL,2013,98000000
New Zealand,NZL,2014,171100000
New Zealand,NZL,2015,138900000
New Zealand,NZL,2016,123300000
New Zealand,NZL,2017,155400000
New Zealand,NZL,2018,121800000
New Zealand,NZL,2019,126600000
Norway,NOR,2005,131300000.00000001
Norway,NOR,2006,328900000
Norway,NOR,2007,399000000
Norway,NOR,2008,468200000
Norway,NOR,2009,535400000
Norway,NOR,2010,415400000
Norway,NOR,2011,548700000
Norway,NOR,2012,440400000
Norway,NOR,2013,621300000
Norway,NOR,2014,511500000
Norway,NOR,2015,336600000
Norway,NOR,2016,348500000
Norway,NOR,2017,496500000
Norway,NOR,2018,509000000
Norway,NOR,2019,651200000
Poland,POL,2013,3400000
Poland,POL,2014,23800000
Poland,POL,2015,32700000.000000004
Poland,POL,2016,82600000
Poland,POL,2017,16500000
Poland,POL,2018,37100000
Poland,POL,2019,26500000
Portugal,PRT,2005,35500000
Portugal,PRT,2006,9500000
Portugal,PRT,2007,60900000
Portugal,PRT,2008,16300000
Portugal,PRT,2009,82900000
Portugal,PRT,2010,51000000
Portugal,PRT,2011,23200000
Portugal,PRT,2012,21200000
Portugal,PRT,2013,21200000
