Entity,Code,Year,9.1.1 - Proportion of the rural population who live within 2 km of an all-season road - SP_ROD_R2KM
Armenia,ARM,2017,66
Bangladesh,BGD,2015,86.7
Burundi,BDI,2016,24.9
Ethiopia,ETH,2015,21.6
Iraq,IRQ,2018,63.4
Jordan,JOR,2018,71.4
Kenya,KEN,2009,56
Lebanon,LBN,2018,92.6
Lesotho,LSO,2016,18
Liberia,LBR,2016,41.9
Madagascar,MDG,2017,11.4
Malawi,MWI,2016,23.1
Mali,MLI,2017,22.3
Mozambique,MOZ,2010,20.4
Nepal,NPL,2015,54.2
Nigeria,NGA,2014,25.5
Paraguay,PRY,2019,42.4
Peru,PER,2016,37.2
Rwanda,RWA,2016,55.3
Sierra Leone,SLE,2017,31.5
Somalia,SOM,2016,31.2
Tanzania,TZA,2014,24.6
Uganda,UGA,2015,53.1
United Arab Emirates,ARE,2019,99.5
United Arab Emirates,ARE,2021,17
Zambia,ZMB,2011,17
