Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,,,,,,76,85
2001,,,,,,74,86
2002,,,77,,,74,86
2003,,,83,,,77,86
2004,,,89,,,76,86
2005,,,91,,,75,86
2006,,,90,,,75,86
2007,,,92,,,74,86
2008,,,92,,78,75,87
2009,,,93,,92,79,88
2010,,61,93,,97,84,89
2011,,67,93,,92,85,90
2012,83,72,93,,92,87,91
2013,86,75,93,84,93,88,91
2014,86,77,93,83,94,89,92
2015,86,79,93,83,93,89,93
2016,86,80,93,82,93,89,94
2017,87,80,93,86,95,88,94
2018,87,83,93,89,93,88,94
2019,87,86,93,88,93,87,95
2020,83,86,93,86,95,87,95
