Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,2.586113297,1.211112117,1.111112,0.813889559,1.327778898,1.150000883,1.869445945
2001,2.511113109,1.227778781,1.125000953,0.800000672,1.302778836,1.125000953,1.816668109
2002,2.436113187,1.216667672,1.102778668,0.805556226,1.305556547,1.083334226,1.805557
2003,2.469446515,1.236112047,1.108334223,0.841667332,1.277778774,1.066667496,1.758334719
2004,2.436113187,1.219445383,1.102778668,0.836111777,1.291667726,1.030556391,1.727779102
2005,2.350001891,1.205556562,1.088889781,0.844445109,1.263889953,1.005556328,1.677779109
2006,2.2916685,1.158334281,1.080556449,0.822222891,1.244445445,0.963889668,1.616668008
2007,2.141668391,1.116667555,0.994445219,0.808334004,1.213889828,0.908334055,1.613890164
2008,2.066668336,1.119445398,0.997222996,0.805556226,1.183334344,0.900000723,1.575001281
2009,2.047223828,1.102778668,0.988889664,0.794445051,1.194445453,0.883334059,1.536112398
2010,1.988890438,1.116667555,1.000000774,0.800000672,1.208334274,0.897222945,1.533334555
2011,1.969446062,1.069445274,0.911111832,0.766667277,1.119445398,0.822222891,1.488890117
2012,1.952779398,1.066667496,0.913889609,0.758333945,1.080556449,0.830556223,1.430556726
2013,1.947223844,1.063889719,0.930556274,0.744445059,1.061111941,0.800000672,1.430556726
2014,1.941668156,1.013889726,0.869445172,0.702778332,1.025000836,0.733333949,1.411112219
2015,1.919445938,1.016667504,0.861111774,0.725000551,0.997222996,0.725000551,1.355556672
2016,1.972223774,0.988889664,0.844445109,0.708333887,0.983334109,0.702778332,1.316667656
2017,1.991668281,0.963889668,0.827778445,0.708333887,0.972223,0.680556113,1.283334328
2018,1.972223774,0.944445226,0.797222828,0.688889445,0.958334113,0.669445004,1.280556617
2019,1.927779336,0.913889609,0.766667277,0.680556113,0.925000719,0.638889387,1.252778844
2020,,,,,,,
