Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,1498000000,77111000000,73796000000,43424000000,3.85098E+11,46800000000,23910675781
2000,1548000000,82253000000,75404000000,47133000000,3.84E+11,46506214844,25977281250
2001,1553000000,84180000000,75754000000,46752000000,3.85E+11,47471882813,25198095703
2002,1596000000,86186000000,71366000000,45956000000,3.82E+11,47992683594,24409623047
2003,1433000000,84151000000,71293000000,45222000000,3.85E+11,49224355469,25044072266
2004,1413000000,88567000000,72879000000,49254000000,3.85E+11,50373777344,24776562500
2005,1478000000,90859000000,76824000000,50088000000,3.91E+11,51363238281,25393591797
2006,1450000000,94590000000,78995000000,50185000000,3.96E+11,54338617188,27296431641
2007,1453000000,96709000000,79107000000,49780000000,4.06E+11,57876835938,30357906250
2008,1574000000,1.03E+11,82539000000,49524000000,4.05E+11,60522257813,32143406250
2009,1413000000,1.02E+11,82253000000,48124000000,3.94E+11,60166957031,30906931641
2010,1404000000,1.02E+11,83886000000,47172000000,3.93E+11,63505007813,31871671875
2011,1404000000,1.06E+11,85414000000,46845000000,3.95E+11,66801445313,32579509766
2012,1376000000,1.06E+11,88796000000,46759000000,4.04E+11,69686078125,34125699219
2013,1365000000,1.05E+11,89615000000,48739000000,4.14E+11,71091617188,36047105469
2014,1327000000,1.05E+11,90976000000,49957000000,4.14E+11,74261867188,36393105469
2015,1349000000,1.05E+11,91603000000,52207000000,4.27E+11,76787835938,36043875000
2016,1408000000,1.04E+11,94197000000,52178000000,4.32E+11,78695914063,35892156250
2017,1527000000,1.10E+11,95530000000,53231000000,4.37E+11,80260890625,33255542969
2018,1598000000,1.08E+11,98000000000,55493000000,,80526375000,31962707031
2019,,,,,,,
2020,,,,,,,
