"Year","SDG 1.1.1","SDG 1.A.1(1)","SDG 1.A.2(1)","SDG 2.5.2","SDG 3.1.1","SDG 3.2.1","SDG 3.2.2","SDG 3.3.2","SDG 3.4.1","SDG 3.4.2","SDG 3.6.1(1)","SDG 3.B.1(1)","SDG 6.1.1(1)","SDG 6.2.1(1)","SDG 7.1.1","SDG 7.1.2","SDG 7.2.1","SDG 7.3.1","SDG 8.1.1","SDG 8.2.1","SDG 8.4.2(1)","SDG 8.4.2(2)","SDG 8.5.2(1)","SDG 9.1.2(1)","SDG 9.1.2(2)","SDG 9.1.2(3)","SDG 9.2.1","SDG 9.2.2(1)","SDG 9.2.2(2)","SDG 9.4.1","SDG 9.5.1","SDG 9.5.2","SDG 9.C.1(1)","SDG 9.C.1(2)","SDG 12.2.2(1)","SDG 12.2.2(2)","SDG 13.1.1(1)","SDG 14.1.1(1)","SDG 15.1.1","SDG 15.1.2(1)","SDG 15.4.1","SDG 15.A.1(1)"
"2000",0.00738599318856485,NA,NA,NA,NA,0.0166300341548792,0.00279828418411566,NA,NA,NA,0.00462353455662664,NA,NA,NA,0,0,NA,NA,0.0406426334116774,NA,NA,NA,0.0375726919128032,-0.00439224736581887,0.00229993391854601,0.00503214616578653,-0.00957864692824874,-0.0128059807792213,NA,0.0110048319648778,0.0094058966731322,0.0112919479006359,0.0651845912852327,0.0581453495515415,NA,NA,0.0020337526552243,NA,0.000580843646868035,NA,NA,NA
"2001",0.00407306592680636,0,0.0186127384807902,-0.021049632004934,-0.0232263195168085,0.0129458017787921,0.0124338682990093,0.0239847902160002,0.0267319164958824,0.0107805211099166,0.00409553616076346,-0.00303147627976274,0.000533895742953387,0.000483644704724168,0,0,-0.00764685014927931,0.00884885351695106,-0.0857215485230009,-0.0708287819652677,0.00746066893241333,0.0118553984784844,0.0400222356774665,0.0010707134115488,0.000935923195560555,-0.00746093067307854,-0.0327323576982235,-0.0146576145293616,-0.0118967756024684,0.00958128490268212,0.00953185742437625,0.0115273307106322,0.0368722191991987,0.0451581577253772,0.00746066893241333,0.0118553984784844,0.000652173753747706,-0.0484797804371962,0.000664251445791541,0.0119234318061784,0.0135361154331692,NA
"2002",0.00356200089127966,-0.0408163265306122,0.0155956485043449,-0.00245628676297573,0,0.012945828959137,0.00464450941976905,0.0114442095609532,0.0161396533485705,-0.00715392163116803,0.0041425047663421,0,0.00026694467480303,0.000585842804388716,0,0,0.0078393904117621,0.00581194427745508,-0.0376605087894181,0.030485030896899,0.00689161966382254,0.00642483289948945,-0.0264371640364203,0.00366322187958089,-0.00187817714401317,0.0048290621441864,-0.0181160667295445,-0.0171323575341558,-0.0120648054985631,0.0114765648942237,0.0101726593508985,0.0143480112995274,0.0174950596081841,0.0526438407487617,0.00689161966382254,0.00642483289948945,-0.00117366825410202,-0.0898617667551155,0.000664251492557774,0.00290277260693611,0.00345538566555685,NA
"2003",-0.0133269829921416,0.0258765141312474,0.00911406016877725,-0.00560224089635853,0.0106550352305136,0.0106227020801364,0.00567952739007602,0.00438797055647151,0.0168860059059077,-0.0101745105393969,0.00339431763788046,0.00909442883928822,0.000266649537932765,0.00217939290133984,0,0,0.0125969917169346,-0.00792240640454407,0.0266832737697113,-0.0211137093044828,0.00371717674443789,0.00665361433606087,-0.0174672951290283,-0.00469492779870605,0.00128453547771471,0.00176095983612836,-0.017275077535227,-0.0208234921385108,-0.0206720144634844,0.00530475514432959,-0.00608392896694772,0.0206855746720614,0.0236261246304913,0.0268587381819714,0.00371717674443789,0.00665361433606087,-0.00112673921848993,0.0754189480130695,0.000664251415146464,0.010379964879212,0.0191524058883328,0.00711257258812518
"2004",0.0124403507628734,0,0.022051705145785,-0.0175144534328551,0,0.00936767568343948,0.0101242960795197,0.011967924401063,0.0321673687064464,0.0153982986300228,0.00552321617291186,0.00363983122897531,0.00368871518777688,0.00254037438487875,0,0,0.00657723901129897,0.00582277150668377,0.0383521825030921,0.0456764152502562,-0.00819942119420036,-0.00639225628375144,0.0335762056696772,-0.00414518999031879,0.00169615691877107,0.00748218803781095,-0.0129440135940656,-0.0165956650130212,-0.0143516591161252,0.0127346047669215,-0.00763507742993792,0.0115054671546076,0.0289090381462799,0.0291513183660455,-0.00819942119420036,-0.00639225628375144,-0.00100012179567894,-0.0943701393746191,0.000664251441238046,0.0269565625713555,0.0166292321498528,-0.0143764870339227
"2005",-0.00301175431229847,0.056406775969392,0.00936232721056874,-0.0150889419444366,0,0.0120070743416845,0.00732600290879939,0.0115083463541504,0.0164997824031253,0.011042313132742,0.00288140468573627,0.00303147627976274,0.00625063078591854,0.00261493225441817,0,0,0.0118751634697833,0.00854875106008346,-0.0188742591583042,-0.0696669302429387,0.00670185901634069,0.0103434001348185,0.0191965572609166,-0.00365135751343624,0.00231806608748114,-0.00240426456914218,-0.0151897194451968,-0.0114872747673444,-0.0172579098753595,0.0128870920875805,0.00623325241284376,0.0166760965191229,0.0323370556274018,0.0269133353551487,0.00670185901634069,0.0103434001348185,-0.00257509295478378,0.120134623120344,0.000664251516637192,0.0182207030552751,0.00382626978398896,0.0168984755915399
"2006",0.0017249502314244,0.0408163265306122,0.0130049809422113,-0.00659453414267622,-0.00492257510610845,0.0113295528306795,0.0073260072860864,0.00535016430486804,0.024279772994849,0.010909223379808,0.00371452012370293,0,0.00651924655923574,0.00247203022732616,0,0,0.0117194366802393,0.01090085529973,0.032653276843929,0.0404055289926234,-0.00438928760021546,-0.00302935376571949,0.0286650211190479,-0.00223876008394405,0.00275896929912868,0.00335856012314986,-0.0118285513349315,-0.00664304253005219,-0.0124205551129556,0.0175734044049594,0.00802623338913858,0.0107096967893893,0.0295229809227279,0.0138937431674616,-0.00438928760021546,-0.00302935376571949,0.000999348964343535,0.0845930492387929,0.000664251445791499,0.0131452089145182,0.0192239323940913,0.006325503923982
"2007",-0.00263618973546095,0,0.00970132646751941,-0.00492257510610844,0,0.00936768316196743,0.0101242936496883,0.0114596779764645,0.010351351052377,-0.0113050861627279,0.0040021342244043,0.00303147627976274,0.0036493396775339,0.00265046835191555,0,0,0.0143583655610425,0.0140241428179413,0.0218543011885528,0.0284625339348978,-0.0089064273124696,0.00900971218558064,0.0249562333341891,-0.00303359919282375,0.00261955229939261,0.00290425313504878,-0.0151250356950092,-0.00820355467601326,-0.00709268910158906,0.0125615524504864,0.0103149203300996,0.013185536085052,0.0319733636419135,0.0350210575552705,-0.0089064273124696,0.00900971218558064,0.00123103723051526,-0.0918024580084355,0.000664251471779074,0.00971822404403463,0.00899149017305846,0.0221795690957446
"2008",-0.00397011305195019,0.0751709226458082,-0.0101734791013739,0.0253661851260528,0,0.00936767569905226,0.00464449833488906,-0.00383412366157498,0.0159313865748589,-0.00814651607712123,0.00408540586837635,0.00232454935566232,0.00392911004422556,0.00257254512236933,0,0,0.0165750866122107,0.00519117041436204,-0.104131633527763,-0.0967452982821474,0.0108364333927949,0.00850739028705768,-0.0308710598454487,0.00248574300151266,0.00249778794735396,-0.00343910650978141,-0.0259482204414685,-0.0143134246163678,-0.0328950477877946,0.0126070708810993,0.0113393611950408,0.0161654637308767,0.013113333310539,0.0191820048600185,0.0108364333927949,0.00850739028705768,0.000237515000901474,-0.0775537385272519,0.00066425142243379,0.00580998890251486,0.00495126705051189,-0.00951198488139114
"2009",0.0301029863834518,0,0.00485847985517057,-0.0197080110818797,0.00492257510610844,0.00936767568344246,0.00214574361101212,0.0059300353736871,0.0126115549524994,-0.00742553367934603,0.00378674391229974,0.0213145284193341,0.00437039060366075,0.00256152827459446,0,0,0.0163781553898886,0.00511088979958613,-0.155487919795409,-0.0831710081734825,0.0142321401947303,0.013863090309281,-0.0906895406665846,0.00317932378202367,-0.00138575634844504,-0.016110522825766,-0.0466896345337834,-0.0270841677089161,-0.0349414589495519,0.0150325159257312,0.0210675241809208,0.015071388564838,0.0082599064453692,0.0192980542072143,0.0142321401947303,0.013863090309281,-0.00108418368397355,-0.052299689741251,0.000664251487500806,0.0044857349650243,0.00351591973942051,0.012454085214621
