indicator,numeric,yearly,single_ind,threshold_g7,included,direction
ind1.1.1,1,1,1,1,1,-1
ind1.2.1,1,1,1,0,0,
ind1.2.2,0,0,1,0,0,
ind1.3.1,1,1,1,0,0,
ind1.4.1,1,1,0,0,0,
ind1.4.2,1,1,1,0,0,
ind1.5.1.1,1,1,1,0,0,
ind1.5.1.2,1,1,1,0,0,
ind1.5.1.3,1,1,1,0,0,
ind1.5.2,1,1,1,0,0,
ind1.5.3,1,1,1,0,0,
ind1.5.4,1,1,1,0,0,
ind1.A.1.1,1,1,1,1,1,1
ind1.A.1.2,1,1,1,0,0,
ind1.A.2.1,1,1,1,1,1,1
ind1.A.2.2,1,1,1,0,0,
ind1.B.1,NA,NA,,NA,0,
ind2.1.1,0,1,1,1,0,
ind2.1.2,1,1,1,0,0,
ind2.2.1,1,1,1,0,0,
ind2.2.2.1,1,1,1,0,0,
ind2.2.2.2,1,1,1,0,0,
ind2.3.1,1,1,1,0,0,
ind2.3.2.1,1,1,1,0,0,
ind2.3.2.2,1,1,1,0,0,
ind2.4.1,NA,NA,NA,NA,0,
ind2.5.1.1,1,0,1,0,0,
ind2.5.1.2,1,1,1,0,0,
ind2.5.2,1,1,1,1,1,-1
ind2.A.1,1,1,1,0,0,
ind2.A.2,1,1,1,0,0,
ind2.B.1,1,1,1,0,0,
ind2.C.1,1,1,1,0,0,
ind3.1.1,1,1,1,1,1,-1
ind3.1.2,1,1,1,0,0,
ind3.2.1,1,1,1,1,1,-1
ind3.2.2,1,1,1,1,1,-1
ind3.3.1,1,1,1,0,0,
ind3.3.2,1,1,1,1,1,-1
ind3.3.3,1,1,1,0,0,
ind3.3.4,1,0,1,0,0,
ind3.3.5,1,1,1,0,0,
ind3.4.1,1,1,1,1,1,-1
ind3.4.2,1,1,1,1,1,-1
ind3.5.1.1,1,0,1,0,0,
ind3.5.1.2,1,0,1,0,0,
ind3.5.2,1,1,1,0,0,
ind3.6.1.1,1,1,1,1,1,-1
ind3.6.1.2,1,0,1,0,0,
ind3.7.1,1,1,1,0,0,
ind3.8.1,1,0,1,0,0,
ind3.8.2,1,1,1,0,0,
ind3.9.1.1,1,1,0,0,0,
ind3.9.1.2,1,0,1,0,0,
ind3.9.1.3,1,0,1,0,0,
ind3.9.1.4,1,0,1,0,0,
ind3.9.1.5,1,0,0,1,0,
ind3.9.2,1,0,1,0,0,
ind3.9.3,1,0,1,0,0,
ind3.A.1,1,0,1,0,0,
ind3.B.1.1,1,1,1,1,1,1
ind3.B.1.2,1,1,1,0,0,
ind3.B.1.3,1,1,1,1,1,1
ind3.B.1.4,1,1,1,0,0,
ind3.B.2,1,1,1,0,0,
ind3.B.3,1,0,1,0,0,
ind3.C.1,1,1,1,0,0,
ind3.D.1,1,1,0,0,0,
ind4.1.1.1,1,0,1,0,0,
ind4.1.1.2,1,0,1,0,0,
ind4.1.1.3,1,0,1,0,0,
ind4.1.1.4,1,0,1,0,0,
ind4.1.1.5,1,0,1,0,0,
ind4.1.1.6,1,0,1,0,0,
ind4.2.1,1,1,1,0,0,
ind4.2.2.1,1,1,1,0,0,
ind4.2.2.2,1,1,0,1,0,
ind4.3.1,1,1,1,0,0,
ind4.4.1.1,1,1,1,0,0,
ind4.4.1.2,1,1,0,1,0,
ind4.5.1.1,1,1,1,0,0,
ind4.5.1.2,1,1,1,1,1,1
ind4.5.1.3,1,1,1,0,0,
ind4.5.1.4,1,1,0,1,0,
ind4.6.1.1,1,1,1,0,0,
ind4.6.1.2,1,1,1,0,0,
ind4.6.1.3,1,1,1,0,0,
ind4.6.1.4,1,1,1,0,0,
ind4.7.1.1,1,0,1,0,0,
ind4.7.1.2,1,0,1,0,0,
ind4.7.1.3,1,0,1,0,0,
ind4.7.1.4,1,0,1,0,0,
ind4.A.1.1,1,1,1,0,0,
ind4.A.1.2,1,1,1,0,0,
ind4.A.1.3,1,1,1,0,0,
ind4.A.1.4,1,1,1,0,0,
ind4.A.1.5,1,1,1,0,0,
ind4.A.1.6,1,1,1,0,0,
ind4.A.1.7,1,1,1,0,0,
ind4.B.1,1,1,1,0,0,
ind4.C.1,1,1,1,0,0,
ind4.C.2,1,1,1,0,0,
ind4.C.3,1,1,1,0,0,
ind4.C.4,1,1,1,0,0,
ind5.1.1.1,0,0,1,1,0,
ind5.1.1.2,1,0,1,0,0,
ind5.1.1.3,1,0,1,0,0,
ind5.1.1.4,1,0,1,0,0,
ind5.1.1.5,1,0,1,0,0,
ind5.1.1.6,1,0,1,0,0,
ind5.1.1.7,1,0,1,0,0,
ind5.2.1,1,0,1,0,0,
ind5.2.2,NA,NA,NA,NA,0,
ind5.3.1.1,0,0,1,0,0,
ind5.3.1.2,1,1,1,0,0,
ind5.3.2,1,0,1,0,0,
ind5.4.1.1,1,1,1,0,0,
ind5.4.1.2,1,0,0,0,0,
ind5.5.1.1,1,1,1,1,1,1
ind5.5.1.2,1,0,1,0,0,
ind5.5.2.1,1,1,1,0,0,
ind5.5.2.2,1,1,1,0,0,
ind5.6.1,1,1,1,0,0,
ind5.6.2,1,0,1,0,0,
ind5.A.1,1,0,0,0,0,
ind5.A.2,0,0,1,0,0,
ind5.B.1,1,1,1,0,0,
ind5.C.1,0,0,1,0,0,
ind6.1.1.1,1,1,1,1,1,1
ind6.1.1.2,1,1,0,1,0,
ind6.2.1.1,1,1,1,1,1,1
ind6.2.1.2,1,1,1,0,0,
ind6.3.1,1,0,1,0,0,
ind6.3.2,1,0,0,0,0,
ind6.4.1,1,0,1,0,0,
ind6.4.2,1,0,1,0,0,
ind6.5.1,1,0,1,0,0,
ind6.5.2,1,0,0,0,0,
ind6.6.1.1,1,0,1,0,0,
ind6.6.1.2,1,0,1,0,0,
ind6.6.1.3,1,1,1,0,0,
ind6.A.1,1,1,1,0,0,
ind6.B.1,1,0,1,0,0,
ind7.1.1,1,1,1,1,1,1
ind7.1.2,1,1,1,1,1,1
ind7.2.1,1,1,1,1,1,1
ind7.3.1,1,1,1,1,1,-1
ind7.A.1,1,1,1,0,0,
ind7.B.1,1,1,1,0,0,
ind8.1.1,1,1,1,1,1,1
ind8.2.1,1,1,1,1,1,1
ind8.3.1.1,1,1,1,0,0,
ind8.3.1.2,1,1,1,0,0,
ind8.4.1.1,1,1,1,0,0,
ind8.4.1.2,1,1,1,0,0,
ind8.4.2.1,1,1,1,1,1,-1
ind8.4.2.2,1,1,1,1,1,-1
ind8.5.1.1,1,1,1,0,0,
ind8.5.1.2,1,1,0,1,0,
ind8.5.2.1,1,1,1,1,1,-1
ind8.5.2.2,1,1,0,1,0,
ind8.6.1,1,1,1,0,0,
ind8.7.1.1,1,1,1,0,0,
ind8.7.1.2,1,1,1,0,0,
ind8.8.1.1,1,1,1,0,0,
ind8.8.1.2,1,1,1,0,0,
ind8.2.2,1,1,1,0,0,
ind8.9.1,1,1,1,0,0,
ind8.10.1.1,1,1,1,0,0,
ind8.10.1.2,1,1,1,0,0,
ind8.10.2,1,0,1,0,0,
ind8.A.1.1,1,1,1,0,0,
ind8.A.1.2,1,1,1,0,0,
ind8.B.1,1,0,1,0,0,
ind9.1.1,1,1,1,0,0,
ind9.1.2.1,1,1,1,1,1,-1
ind9.1.2.2,1,1,1,1,1,1
ind9.1.2.3,1,1,1,1,1,1
ind9.2.1,1,1,1,1,1,1
ind9.2.2.1,1,1,1,1,1,1
ind9.2.2.2,1,1,1,1,1,1
ind9.3.1,1,1,1,0,0,
ind9.3.2,1,1,1,0,0,
ind9.4.1,1,1,1,1,1,-1
ind9.5.1,1,1,1,1,1,1
ind9.5.2,1,1,1,1,1,1
ind9.A.1,1,1,1,0,0,
ind9.B.1,1,1,1,0,0,
ind9.C.1.1,1,1,1,1,1,1
ind9.C.1.2,1,1,1,1,1,1
ind10.1.1,1,1,1,0,0,
ind10.2.1,1,1,1,0,0,
ind10.3.1,1,1,1,0,0,
ind10.4.1,1,1,1,0,0,
ind10.5.1,1,1,0,0,0,
ind10.6.1.1,1,0,0,0,0,
ind10.6.1.2,1,0,0,0,0,
ind10.7.1,NA,NA,,,0,
ind10.7.2,1,0,1,0,0,
ind10.7.3,1,1,1,0,0,
ind10.7.4,1,1,1,1,1,-1
ind10.A.1,1,0,1,0,0,
ind10.B.1.1,1,1,1,0,0,
ind10.B.1.2,1,1,1,1,1,1
ind10.C.1,1,0,1,0,0,
ind11.1.1,1,0,1,0,0,
ind11.2.1,NA,NA,NA,NA,0,
ind11.3.1,NA,NA,NA,NA,0,
ind11.3.2,NA,NA,NA,NA,0,
ind11.4.1,NA,NA,NA,NA,0,
ind11.5.1.1,1,1,1,0,0,
ind11.5.1.2,1,1,1,0,0,
ind11.5.1.3,1,1,1,0,0,
ind11.5.2.1,1,1,1,0,0,
ind11.5.2.2,1,1,1,0,0,
ind11.5.2.3,1,1,1,0,0,
ind11.6.1,1,0,1,0,0,
ind11.6.2,1,0,1,0,0,
ind11.7.1,NA,NA,NA,NA,0,
ind11.7.2,NA,NA,NA,NA,0,
ind11.A.1,1,0,1,0,0,
ind11.B.1,1,1,1,0,0,
ind11.B.2,1,1,1,0,0,
ind11.C.1,NA,NA,NA,NA,0,
ind12.1.1,0,0,1,0,0,
ind12.2.1.1,1,1,1,0,0,
ind12.2.1.2,1,1,1,0,0,
ind12.2.2.1,1,1,1,1,1,-1
ind12.2.2.2,1,1,1,1,1,-1
ind12.3.1,1,0,0,0,0,
ind12.4.1,1,0,0,0,0,
ind12.4.2.1,1,1,1,0,0,
ind12.4.2.2,1,1,1,0,0,
ind12.4.2.3,1,1,1,0,0,
ind12.5.1.1,1,1,1,0,0,
ind12.5.1.2,1,1,1,0,0,
ind12.6.1.1,1,0,1,0,0,
ind12.6.1.2,1,0,1,0,0,
ind12.7.1.1,1,0,1,0,0,
ind12.7.1.2,1,0,1,0,0,
ind12.7.1.3,1,0,1,0,0,
ind12.8.1.1,1,0,1,0,0,
ind12.8.1.2,1,0,1,0,0,
ind12.8.1.3,1,0,1,0,0,
ind12.8.1.4,1,0,1,0,0,
ind12.A.1,1,1,1,0,0,
ind12.B.1,1,1,1,0,0,
ind12.C.1.1,1,1,1,0,0,
ind12.C.1.2,1,1,1,0,0,
ind12.C.1.3,1,1,1,0,0,
ind13.1.1.1,1,1,1,1,1,-1
ind13.1.1.2,1,1,1,0,0,
ind13.1.1.3,1,1,1,0,0,
ind13.1.1.4,1,1,1,0,0,
ind13.1.2,1,1,1,0,0,
ind13.1.3,1,1,1,0,0,
ind13.2.1,1,1,1,0,0,
ind13.3.1.1,1,0,1,0,0,
ind13.3.1.2,1,0,1,0,0,
ind13.3.1.3,1,0,1,0,0,
ind13.3.1.4,1,0,1,0,0,
ind13.A.1,1,0,1,0,0,
ind13.B.1,1,0,1,0,0,
ind14.1.1.1,1,1,1,0,0,
ind14.1.1.2,1,1,1,1,1,-1
ind14.2.1,NA,NA,NA,NA,0,
ind14.3.1,1,0,1,0,0,
ind14.4.1,1,1,1,0,0,
ind14.5.1,1,1,1,0,0,
ind14.6.1,1,0,1,0,0,
ind14.7.1,1,0,1,0,0,
ind14.A.1,1,1,1,0,0,
ind14.B.1,1,0,1,0,0,
ind14.C.1.1,1,0,1,0,0,
ind14.C.1.2,1,0,1,0,0,
ind15.1.1,1,1,1,1,1,1
ind15.1.2.1,1,1,1,0,0,
ind15.1.2.2,1,1,1,1,1,1
ind15.1.2.3,1,1,1,1,1,1
ind15.2.1.1,1,0,1,0,0,
ind15.2.1.2,1,0,1,0,0,
ind15.2.1.3,1,0,1,0,0,
ind15.2.1.4,1,0,1,0,0,
ind15.2.1.5,1,0,1,0,0,
ind15.3.1,1,0,1,0,0,
ind15.4.1,1,1,1,1,1,1
ind15.4.2,1,0,1,0,0,
ind15.5.1,1,0,1,1,0,
ind15.6.1.1,0,1,1,0,0,
ind15.6.1.2,0,1,1,0,0,
ind15.6.1.3,0,1,1,0,0,
ind15.7.1,NA,NA,NA,NA,0,
ind15.8.1.1,1,0,1,0,0,
ind15.8.1.2,1,0,1,0,0,
ind15.9.1.1,1,0,1,0,0,
ind15.9.1.2,1,0,1,0,0,
ind15.9.1.3,1,0,1,0,0,
ind15.9.1.4,1,0,1,0,0,
ind15.9.1.5,1,0,1,0,0,
ind15.A.1.1,1,1,1,0,0,
ind15.A.1.2,1,1,1,1,1,1
ind15.B.1.1,1,1,1,0,0,
ind15.B.1.2,1,1,1,1,1,1
ind15.C.1,NA,NA,NA,NA,0,
ind16.1.1,1,1,1,1,1,-1
ind16.1.2.1,1,1,1,1,1,-1
