Entity,Code,Year,1.5.4 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS
Afghanistan,AFG,2017,0
Albania,ALB,2018,1.63934
Algeria,DZA,2015,100
Algeria,DZA,2016,100
Algeria,DZA,2017,100
Algeria,DZA,2018,100
Algeria,DZA,2019,100
Algeria,DZA,2020,100
Angola,AGO,2014,44.44444
Angola,AGO,2015,44.44444
Angola,AGO,2016,44.44444
Angola,AGO,2017,44.44444
Angola,AGO,2018,44.44444
Antigua and Barbuda,ATG,2008,100
Armenia,ARM,2017,16.01513
Armenia,ARM,2018,43.4263
Armenia,ARM,2019,47.80877
Armenia,ARM,2020,49.20319
Australia,AUS,2018,23.46369
Australia,AUS,2019,12.94416
Australia,AUS,2020,22.22222
Austria,AUT,2018,40.55344
Bangladesh,BGD,2015,6.95825
Bangladesh,BGD,2016,8.94632
Bangladesh,BGD,2017,9.94036
Bangladesh,BGD,2018,11.33201
Bangladesh,BGD,2019,11.72962
Bangladesh,BGD,2020,11.92843
Barbados,BRB,2018,0
Belarus,BLR,2015,0
Belarus,BLR,2016,0
Belarus,BLR,2017,0
Belarus,BLR,2018,0
Belarus,BLR,2019,5.46875
Belarus,BLR,2020,5.46875
Benin,BEN,2005,0
Benin,BEN,2006,0
Benin,BEN,2007,0
Benin,BEN,2008,0
Benin,BEN,2009,0
Benin,BEN,2010,0
Benin,BEN,2011,0
Benin,BEN,2012,0
Benin,BEN,2013,19.48052
Benin,BEN,2014,19.48052
Benin,BEN,2015,19.48052
Benin,BEN,2016,48.05195
Benin,BEN,2017,50.64935
Benin,BEN,2018,58.44156
Benin,BEN,2019,58.44156
Benin,BEN,2020,58.44156
Bhutan,BTN,2017,75
Bhutan,BTN,2018,51.28205
Bolivia,BOL,2015,26.54867
Bolivia,BOL,2017,99.70588
Bolivia,BOL,2018,100
Bolivia,BOL,2019,100
Bolivia,BOL,2020,100
Bosnia and Herzegovina,BIH,2017,0
Bosnia and Herzegovina,BIH,2018,0
Botswana,BWA,2017,21.875
Botswana,BWA,2018,28.125
Bulgaria,BGR,2015,0
Bulgaria,BGR,2016,0
Bulgaria,BGR,2017,0
Bulgaria,BGR,2020,3.38346
Burkina Faso,BFA,2015,1.70732
Burkina Faso,BFA,2016,1.70732
Burkina Faso,BFA,2017,5.12195
Burkina Faso,BFA,2018,7.80488
Burkina Faso,BFA,2019,9.02439
Burundi,BDI,2015,55.83333
Burundi,BDI,2018,10.08403
Cape Verde,CPV,2020,0
Cape Verde,CPV,2021,0
Chile,CHL,2005,1.15942
Chile,CHL,2006,1.15942
Chile,CHL,2007,1.15942
Chile,CHL,2008,1.15942
