Entity,Code,Year,10.c.1 - Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%) - SI_RMT_COST_SND
Angola,AGO,2017,27.64
Angola,AGO,2018,26.94
Angola,AGO,2019,16.05
Angola,AGO,2020,19.09
Angola,AGO,2021,12.68
Australia,AUS,2011,13.64
Australia,AUS,2015,9.24
Australia,AUS,2017,8.84
Australia,AUS,2018,7.77
Australia,AUS,2019,7.42
Australia,AUS,2020,7.21
Australia,AUS,2021,7.25
Austria,AUT,2015,6.25
Austria,AUT,2017,6.91
Austria,AUT,2018,6.44
Austria,AUT,2019,6.18
Austria,AUT,2020,6.37
Austria,AUT,2021,6.39
Bahrain,BHR,2017,3.17
Bahrain,BHR,2018,3.27
Bahrain,BHR,2019,3.72
Bahrain,BHR,2020,3.33
Bahrain,BHR,2021,2.47
Belgium,BEL,2011,9.54
Belgium,BEL,2015,6.97
Belgium,BEL,2017,7.5
Belgium,BEL,2018,7.31
Belgium,BEL,2019,7.79
Belgium,BEL,2020,7.58
Belgium,BEL,2021,6.9
Brazil,BRA,2011,11.12
Brazil,BRA,2015,7.4
Brazil,BRA,2017,4.64
Brazil,BRA,2018,6.47
Brazil,BRA,2019,6.57
Brazil,BRA,2020,9.77
Brazil,BRA,2021,4.81
Cameroon,CMR,2017,15.38
Cameroon,CMR,2018,14.86
Cameroon,CMR,2019,10.19
Cameroon,CMR,2020,14.69
Cameroon,CMR,2021,16.56
Canada,CAN,2011,11.87
Canada,CAN,2015,9.08
Canada,CAN,2017,7.29
Canada,CAN,2018,8.02
Canada,CAN,2019,7.94
Canada,CAN,2020,6.27
Canada,CAN,2021,6.6
Chile,CHL,2011,2.9
Chile,CHL,2015,5.22
Chile,CHL,2017,4.25
Chile,CHL,2018,4.59
Chile,CHL,2019,2.64
Chile,CHL,2020,7.57
Chile,CHL,2021,5.26
Costa Rica,CRI,2011,3.91
Costa Rica,CRI,2015,3.12
Costa Rica,CRI,2017,3.33
Costa Rica,CRI,2018,5.5
Costa Rica,CRI,2019,5.83
Costa Rica,CRI,2020,5.13
Costa Rica,CRI,2021,7.5
Cote d'Ivoire,CIV,2017,2.44
Cote d'Ivoire,CIV,2018,3.71
Cote d'Ivoire,CIV,2019,3.39
Cote d'Ivoire,CIV,2020,2.71
Cote d'Ivoire,CIV,2021,2.64
Czechia,CZE,2011,11.47
Czechia,CZE,2015,9.07
Czechia,CZE,2017,9.85
Czechia,CZE,2018,8.88
Czechia,CZE,2019,8.98
Czechia,CZE,2020,8.71
Czechia,CZE,2021,7.07
Dominican Republic,DOM,2011,13.04
Dominican Republic,DOM,2015,13.41
Dominican Republic,DOM,2017,7.35
Dominican Republic,DOM,2018,7.33
Dominican Republic,DOM,2019,8.77
Dominican Republic,DOM,2020,10.68
Dominican Republic,DOM,2021,3.55
France,FRA,2011,11.63
France,FRA,2015,7.56
France,FRA,2017,6.57
France,FRA,2018,6.53
France,FRA,2019,6.83
France,FRA,2020,6.3
France,FRA,2021,6.21
Germany,DEU,2011,12.64
Germany,DEU,2015,7.32
Germany,DEU,2017,7.57
Germany,DEU,2018,7.31
Germany,DEU,2019,7.64
Germany,DEU,2020,7.47
Germany,DEU,2021,6.37
Ghana,GHA,2011,15.78
Ghana,GHA,2015,8.66
Ghana,GHA,2019,16.4
Ghana,GHA,2020,8.16
Ghana,GHA,2021,8.08
India,IND,2017,3.03
India,IND,2020,3.95
India,IND,2021,6.66
Israel,ISR,2017,11.23
Israel,ISR,2018,10.48
Israel,ISR,2019,12.03
Israel,ISR,2020,12.31
Israel,ISR,2021,13.91
Italy,ITA,2011,8.18
Italy,ITA,2015,6.05
Italy,ITA,2017,5.98
Italy,ITA,2018,6.08
Italy,ITA,2019,6.33
Italy,ITA,2020,6.15
Italy,ITA,2021,4.76
Japan,JPN,2011,16.84
Japan,JPN,2015,12.97
Japan,JPN,2017,10.85
Japan,JPN,2018,9.58
Japan,JPN,2019,9.99
Japan,JPN,2020,10.58
Japan,JPN,2021,7.95
Jordan,JOR,2017,4.57
Jordan,JOR,2018,4.58
Jordan,JOR,2019,3.54
Jordan,JOR,2020,10.65
Jordan,JOR,2021,6.88
Kenya,KEN,2011,9.72
Kenya,KEN,2015,11.04
Kenya,KEN,2017,9.48
Kenya,KEN,2018,11.12
Kenya,KEN,2019,11.31
Kenya,KEN,2020,9.54
Kenya,KEN,2021,9.23
Kuwait,KWT,2017,3.17
Kuwait,KWT,2018,3.08
Kuwait,KWT,2019,2.85
Kuwait,KWT,2020,3.4
Kuwait,KWT,2021,2.96
Malaysia,MYS,2011,4.87
Malaysia,MYS,2015,5.94
Malaysia,MYS,2017,4.65
Malaysia,MYS,2018,4.75
Malaysia,MYS,2019,4
Malaysia,MYS,2020,4.18
Malaysia,MYS,2021,3.82
