Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Afghanistan,AFG,2019,15.64023,27.64808,81.7299
Africa,,2019,15.71803,25.08833,100.37979
Albania,ALB,2019,15.64023,27.64808,82.78377
Algeria,DZA,2019,15.64023,27.64808,91.01618
American Samoa,ASM,2019,15.64023,27.64808,75.71312
Americas,,2019,16.77924,42.83695,74.96122
Andorra,AND,2019,12.81131,25.57042,84.27238
Angola,AGO,2019,15.64023,27.64808,99.5913
Antigua and Barbuda,ATG,2019,12.81131,25.57042,73.92077
Argentina,ARG,2019,15.64023,27.64808,72.43216
Armenia,ARM,2019,15.64023,27.64808,93.04342
Aruba,ABW,2019,12.81131,25.57042,73.92077
Asia,,2019,16.22894,30.57965,63.66393
Australia,AUS,2019,9.45307,21.67739,101.69781
Australia and New Zealand,,2019,6.28654,21.67739,81.34891
Austria,AUT,2019,8.63072,28.38502,39
Azerbaijan,AZE,2019,15.64023,27.64808,93.04342
Bahamas,BHS,2019,12.81131,25.57042,73.92077
Bahrain,BHR,2019,12.81131,25.57042,131.70916
Bangladesh,BGD,2019,15.64023,3.33915,65.12408
Barbados,BRB,2019,12.81131,25.57042,73.92077
Belarus,BLR,2019,15.64023,27.64808,68.38007
Belgium,BEL,2019,9.71464,19.70407,49.91951
Belize,BLZ,2019,15.64023,27.64808,52.67389
Benin,BEN,2019,15.64023,27.64808,99.5913
Bermuda,BMU,2019,12.81131,25.57042,73.68888
Bhutan,BTN,2019,15.64023,27.64808,78.62687
Bolivia,BOL,2019,15.64023,27.64808,80.08369
Bosnia and Herzegovina,BIH,2019,15.64023,27.64808,82.78377
Botswana,BWA,2019,15.64023,27.64808,91.93977
Brazil,BRA,2019,15.64023,27.64808,59.59885
British Virgin Islands,VGB,2019,12.81131,25.57042,73.92077
Brunei,BRN,2019,12.81131,25.57042,80.1742
Bulgaria,BGR,2019,15.64023,27.64808,68.38007
Burkina Faso,BFA,2019,15.64023,27.64808,102.69433
Burundi,BDI,2019,15.64023,27.64808,102.69433
Cambodia,KHM,2019,15.64023,27.64808,86.33713
Cameroon,CMR,2019,15.64023,27.64808,99.5913
Canada,CAN,2019,12.81131,25.57042,78.54162
Cape Verde,CPV,2019,15.64023,27.64808,99.5913
Caribbean,,2019,15.53614,26.95513,77.73498
Cayman Islands,CYM,2019,12.81131,25.57042,73.92077
Central African Republic,CAF,2019,15.64023,27.64808,102.69433
Central America,,2019,15.85247,27.02928,91.13119
Central Asia,,2019,0,0,0
Central and Southern Asia,,2019,15.92049,25.10431,57.75994
Chad,TCD,2019,15.64023,27.64808,102.69433
Chile,CHL,2019,12.81131,25.57042,73.92077
China,CHN,2019,15.64023,45.59805,63.91913
