Entity,Code,Year,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula - SE_GCEDESD_CUR
Afghanistan,AFG,2020,0.612
Algeria,DZA,2020,0.729
Andorra,AND,2020,0.938
Armenia,ARM,2020,0.701
Bahrain,BHR,2020,0.943
Bangladesh,BGD,2020,0.661
Belgium,BEL,2020,0.875
Brazil,BRA,2020,0.938
Bulgaria,BGR,2020,0.648
Burkina Faso,BFA,2020,0.875
Burundi,BDI,2020,0.625
Cambodia,KHM,2020,0.823
Canada,CAN,2020,0.781
Colombia,COL,2020,0.88
Cuba,CUB,2020,1
Cyprus,CYP,2020,0.924
Czechia,CZE,2020,0.471
Democratic Republic of Congo,COD,2020,0.797
Denmark,DNK,2020,0.682
Dominican Republic,DOM,2020,0.872
Estonia,EST,2020,0.833
Finland,FIN,2020,0.813
France,FRA,2020,0.991
Germany,DEU,2020,0.904
Hungary,HUN,2020,0.862
India,IND,2020,0.917
Ireland,IRL,2020,0.813
Italy,ITA,2020,0.875
Jordan,JOR,2020,0.75
Kuwait,KWT,2020,0.875
Kyrgyzstan,KGZ,2020,0.74
Latvia,LVA,2020,0.865
Lithuania,LTU,2020,0.854
Malawi,MWI,2020,0.906
Malaysia,MYS,2020,0.875
Malta,MLT,2020,0.724
Mauritius,MUS,2020,0.802
Moldova,MDA,2020,0.763
Monaco,MCO,2020,0.792
Mongolia,MNG,2020,0.75
Myanmar,MMR,2020,0.901
Nicaragua,NIC,2020,0.792
Oman,OMN,2020,0.729
Palestine,PSE,2020,0.708
Peru,PER,2020,0.813
Poland,POL,2020,0.802
Romania,ROU,2020,0.971
Saint Kitts and Nevis,KNA,2020,0.612
San Marino,SMR,2020,0.938
Slovakia,SVK,2020,0.643
Slovenia,SVN,2020,0.934
South Korea,KOR,2020,0.883
Spain,ESP,2020,0.909
Sweden,SWE,2020,0.805
Syria,SYR,2020,0.771
Turkey,TUR,2020,0.875
Ukraine,UKR,2020,0.917
United Kingdom,GBR,2020,0.586
