Entity,Code,Year,15.2.1 - Proportion of forest area with a long-term management plan (%) - AG_LND_FRSTMGT
Afghanistan,AFG,2017,1.324
Afghanistan,AFG,2018,1.324
Afghanistan,AFG,2019,1.4068
Afghanistan,AFG,2020,1.4895
Africa,,2000,18.98427
Africa,,2010,21.82052
Africa,,2015,25.54758
Africa,,2016,26.22116
Africa,,2017,26.87364
Africa,,2018,27.17372
Africa,,2019,27.78017
Africa,,2020,28.14325
Albania,ALB,2010,98.367
Algeria,DZA,2010,7.771
Algeria,DZA,2015,7.771
Algeria,DZA,2016,10.0716
Algeria,DZA,2017,11.8609
Algeria,DZA,2018,13.4969
Algeria,DZA,2019,13.4969
Algeria,DZA,2020,13.4969
American Samoa,ASM,2000,14.8727
American Samoa,ASM,2010,14.9884
American Samoa,ASM,2015,14.9884
American Samoa,ASM,2016,14.9884
American Samoa,ASM,2017,14.9884
American Samoa,ASM,2018,14.9884
American Samoa,ASM,2019,14.9884
American Samoa,ASM,2020,14.9884
Americas,,2000,31.7491
Americas,,2010,34.84327
Americas,,2015,36.34181
Americas,,2016,37.40534
Americas,,2017,37.4968
Americas,,2018,38.55101
Americas,,2019,38.81523
Americas,,2020,39.03999
Andorra,AND,2018,100
Angola,AGO,2000,0
Angola,AGO,2010,0
Angola,AGO,2015,0
Angola,AGO,2016,0
Angola,AGO,2017,0
Angola,AGO,2018,0
Angola,AGO,2019,0
Angola,AGO,2020,0
Asia,,2000,52.28904
Asia,,2010,58.42516
Asia,,2015,62.06006
Asia,,2016,62.80203
Asia,,2017,63.45684
Asia,,2018,63.94215
Asia,,2019,64.8128
Asia,,2020,65.50977
Australia,AUS,2010,21.6573
Australia,AUS,2015,32.282
Australia,AUS,2016,32.5107
Australia,AUS,2017,32.506
Australia,AUS,2018,32.503
Australia,AUS,2019,32.503
Australia,AUS,2020,32.503
Australia and New Zealand,,2000,71.12236
Australia and New Zealand,,2010,75.32664
Australia and New Zealand,,2015,74.63609
Australia and New Zealand,,2016,74.6564
Australia and New Zealand,,2017,74.75795
Australia and New Zealand,,2018,74.81888
Australia and New Zealand,,2019,74.97121
Australia and New Zealand,,2020,75.27587
Austria,AUT,2000,48.4645
Austria,AUT,2010,49.7785
Austria,AUT,2015,50.0104
Austria,AUT,2016,50.0362
Austria,AUT,2017,50.0877
Austria,AUT,2018,50.1393
Austria,AUT,2019,50.1908
Austria,AUT,2020,50.2423
Bangladesh,BGD,2000,16.5658
Bangladesh,BGD,2010,16.5658
Bangladesh,BGD,2015,16.5658
Bangladesh,BGD,2016,16.5658
Bangladesh,BGD,2017,16.5658
Bangladesh,BGD,2018,16.5658
Bangladesh,BGD,2019,16.5658
Bangladesh,BGD,2020,16.5658
Belarus,BLR,2000,95.8244
Belarus,BLR,2010,99.9595
Belarus,BLR,2015,100
Belarus,BLR,2016,100
Belarus,BLR,2017,100
Belarus,BLR,2018,100
Belarus,BLR,2019,100
Belarus,BLR,2020,100
Belgium,BEL,2015,44.6395
Benin,BEN,2010,37.2509
Benin,BEN,2015,41.7925
Benin,BEN,2016,41.7925
Benin,BEN,2017,41.7925
Benin,BEN,2018,41.7925
Benin,BEN,2019,41.7925
Benin,BEN,2020,41.7925
Bhutan,BTN,2000,5.1798
Bhutan,BTN,2010,8.6569
Bhutan,BTN,2015,10.0671
Bhutan,BTN,2016,13.5545
Bhutan,BTN,2017,13.5545
Bhutan,BTN,2018,13.5545
Bhutan,BTN,2019,13.5545
Bhutan,BTN,2020,13.5545
Bolivia,BOL,2000,7.4911
Bolivia,BOL,2010,16.8414
Bolivia,BOL,2015,22.1411
Bolivia,BOL,2016,22.6452
Bolivia,BOL,2017,23.1398
Bolivia,BOL,2018,23.1398
Bolivia,BOL,2019,23.1398
Bolivia,BOL,2020,23.1398
Botswana,BWA,2000,10.8109
Botswana,BWA,2010,10.8109
Botswana,BWA,2015,10.8109
Botswana,BWA,2016,10.8109
Botswana,BWA,2017,10.8109
Botswana,BWA,2018,10.8109
Botswana,BWA,2019,10.8109
Botswana,BWA,2020,10.8109
Brazil,BRA,2000,1.835
Brazil,BRA,2010,4.7005
Brazil,BRA,2015,6.2799
Brazil,BRA,2016,7.2696
Brazil,BRA,2017,7.2696
Brazil,BRA,2018,8.1931
Brazil,BRA,2019,8.501
Brazil,BRA,2020,8.9627
Bulgaria,BGR,2000,84.2682
Bulgaria,BGR,2010,93.7908
Bulgaria,BGR,2015,95.8257
Bulgaria,BGR,2016,96.0083
Bulgaria,BGR,2017,96.3475
Bulgaria,BGR,2018,96.7128
Bulgaria,BGR,2019,97.0519
Bulgaria,BGR,2020,97.3911
Burkina Faso,BFA,2000,4.0053
Burkina Faso,BFA,2010,9.2787
Burkina Faso,BFA,2015,10.3334
Burkina Faso,BFA,2016,11.3881
Burkina Faso,BFA,2017,12.4428
Burkina Faso,BFA,2018,11.5366
Burkina Faso,BFA,2019,12.5912
Burkina Faso,BFA,2020,13.6459
Cameroon,CMR,2000,53.3358
Cameroon,CMR,2010,53.3358
Cameroon,CMR,2015,53.3358
Cameroon,CMR,2016,55.3743
Cameroon,CMR,2017,58.9667
Cameroon,CMR,2018,59.2516
Cameroon,CMR,2019,59.3001
Cameroon,CMR,2020,59.9293
Canada,CAN,2000,54.1903
Canada,CAN,2010,54.1157
Canada,CAN,2015,54.3496
Canada,CAN,2016,57.6425
Canada,CAN,2017,57.6425
Canada,CAN,2018,60.706
Canada,CAN,2019,60.8183
Canada,CAN,2020,60.8183
Caribbean,,2000,37.02164
Caribbean,,2010,49.6305
Caribbean,,2015,54.09648
Caribbean,,2016,55.17693
Caribbean,,2017,55.3206
Caribbean,,2018,58.3209
Caribbean,,2019,63.55758
Caribbean,,2020,69.42382
Cayman Islands,CYM,2000,0
Cayman Islands,CYM,2010,100
Cayman Islands,CYM,2015,100
Cayman Islands,CYM,2016,100
Cayman Islands,CYM,2017,100
Cayman Islands,CYM,2018,100
Cayman Islands,CYM,2019,100
Cayman Islands,CYM,2020,100
Central African Republic,CAF,2000,0.8507
Central African Republic,CAF,2010,2.9706
Central African Republic,CAF,2015,16.5412
Central African Republic,CAF,2016,16.5412
Central African Republic,CAF,2017,16.5412
Central African Republic,CAF,2018,16.8263
Central African Republic,CAF,2019,16.8263
Central African Republic,CAF,2020,16.8263
Central America,,2000,0.35245
Central America,,2010,0.25409
Central America,,2015,0.28692
Central America,,2016,0.15013
Central America,,2017,0.28025
Central America,,2018,0.304
Central America,,2019,0.304
Central America,,2020,0.304
Central Asia,,2000,74.66682
Central Asia,,2010,76.84015
Central Asia,,2015,88.9536
Central Asia,,2016,91.16392
Central Asia,,2017,93.44145
Central Asia,,2018,94.61585
Central Asia,,2019,96.32986
Central Asia,,2020,98.26545
Central and Southern Asia,,2000,65.32881
Central and Southern Asia,,2010,67.75964
Central and Southern Asia,,2015,68.45597
Central and Southern Asia,,2016,68.72939
Central and Southern Asia,,2017,69.11036
Central and Southern Asia,,2018,69.20542
Central and Southern Asia,,2019,69.34416
Central and Southern Asia,,2020,69.50083
Chad,TCD,2010,11.2474
Chile,CHL,2000,0
Chile,CHL,2010,0
Chile,CHL,2015,0
Chile,CHL,2016,0
Chile,CHL,2017,0
Chile,CHL,2018,0.0165
Chile,CHL,2019,0.0165
Chile,CHL,2020,0.0859
China,CHN,2000,46.2928
China,CHN,2010,57.2369
China,CHN,2015,64.9999
China,CHN,2016,66.6799
China,CHN,2017,68.2886
China,CHN,2018,69.9158
China,CHN,2019,71.5607
China,CHN,2020,73.2236
Colombia,COL,2000,15.1713
Colombia,COL,2010,29.1928
Colombia,COL,2015,40.107
Colombia,COL,2016,42.5714
Colombia,COL,2017,43.949
Colombia,COL,2018,43.949
Colombia,COL,2019,43.949
Colombia,COL,2020,43.949
Comoros,COM,2010,16.8328
Congo,COG,2000,0
Congo,COG,2010,24.606
Congo,COG,2015,30.2233
Congo,COG,2016,31.3467
Congo,COG,2017,32.4702
