Entity,Code,Year,"15.a.1 - Total official development assistance for biodiversity, by donor countries (millions of constant 2018 United States dollars) - DC_ODA_BDVDL"
Africa,,2002,345884900
Africa,,2003,236025630
Africa,,2004,608979220
Africa,,2005,594198440
Africa,,2006,556855340
Africa,,2007,739570330
Africa,,2008,699657430
Africa,,2009,908314080
Africa,,2010,1285888970
Africa,,2011,1224115170
Africa,,2012,1511375630
Africa,,2013,1769840190
Africa,,2014,1481210070
Africa,,2015,2648613330
Africa,,2016,2076430710
Africa,,2017,2575889490
Africa,,2018,2774864320
Asia,,2002,948786560
Asia,,2003,1539867580
Asia,,2004,623961790
Asia,,2005,1379377850
Asia,,2006,1497590170
Asia,,2007,1931829960
Asia,,2008,1235200880
Asia,,2009,1387904850
Asia,,2010,1513010670
Asia,,2011,1808436250
Asia,,2012,1176581560
Asia,,2013,919818850
Asia,,2014,2393349380
Asia,,2015,2083285530
Asia,,2016,2523735730
Asia,,2017,1503659800
Asia,,2018,1532557320
Australia,AUS,2002,12529650
Australia,AUS,2003,593330
Australia,AUS,2004,897650
Australia,AUS,2005,16276860
Australia,AUS,2006,71121040
Australia,AUS,2007,69235880
Australia,AUS,2008,104072870
Australia,AUS,2009,177133840
Australia,AUS,2010,377643890
Australia,AUS,2011,301063360
Australia,AUS,2012,284225280
Australia,AUS,2013,248143830
Australia,AUS,2014,205884350
Australia,AUS,2015,233173110
Australia,AUS,2016,285220120
Australia,AUS,2017,218617470
Australia,AUS,2018,201843920
Austria,AUT,2002,10360180
Austria,AUT,2003,4756610
Austria,AUT,2004,10079770
Austria,AUT,2005,15806170
Austria,AUT,2006,17250300
Austria,AUT,2007,13270250
Austria,AUT,2008,30969640
Austria,AUT,2009,29987370
Austria,AUT,2010,16842180
Austria,AUT,2011,17595260
Austria,AUT,2012,15842100
Austria,AUT,2013,46253490
Austria,AUT,2014,21588800
Austria,AUT,2015,19068340
Austria,AUT,2016,21600520
Austria,AUT,2017,23692590
Austria,AUT,2018,22689050
Belgium,BEL,2002,5949440
Belgium,BEL,2003,5830050
Belgium,BEL,2004,19647330
Belgium,BEL,2005,26720690
Belgium,BEL,2006,29914920
Belgium,BEL,2007,57873950
Belgium,BEL,2008,113152400
Belgium,BEL,2009,157728030
Belgium,BEL,2010,146518930
Belgium,BEL,2011,154002380
Belgium,BEL,2012,87481520
Belgium,BEL,2013,155451280
Belgium,BEL,2014,178672840
Belgium,BEL,2015,216535330
Belgium,BEL,2016,144178950
Belgium,BEL,2017,199802190
Belgium,BEL,2018,131572640
Canada,CAN,2002,80616890
Canada,CAN,2003,100266860
Canada,CAN,2004,239962190
Canada,CAN,2005,5850220
Canada,CAN,2006,83342230
Canada,CAN,2007,58493670
Canada,CAN,2008,28732030
Canada,CAN,2009,121000870
Canada,CAN,2010,44295230
Canada,CAN,2011,69588560
Canada,CAN,2012,246824470
Canada,CAN,2013,46801750
Canada,CAN,2014,38309360
Canada,CAN,2015,62654560
Canada,CAN,2016,24467720
Canada,CAN,2017,4820010
Canada,CAN,2018,25420410
Caribbean,,2002,8144790
Caribbean,,2003,10973160
Caribbean,,2004,22226030
Caribbean,,2005,47595430
Caribbean,,2006,7579520
Caribbean,,2007,42086300
Caribbean,,2008,23343400
Caribbean,,2009,74491970
Caribbean,,2010,67830940
Caribbean,,2011,92274790
Caribbean,,2012,45575010
Caribbean,,2013,137441780
Caribbean,,2014,33381890
Caribbean,,2015,128917489.99999999
Caribbean,,2016,107985210
Caribbean,,2017,98635560
Caribbean,,2018,79912560
Caucasus and Central Asia,,2002,60980970
Caucasus and Central Asia,,2003,233812650
Caucasus and Central Asia,,2004,16974580
Caucasus and Central Asia,,2005,10701780
Caucasus and Central Asia,,2006,27231520
Caucasus and Central Asia,,2007,3554960
Caucasus and Central Asia,,2008,47672380
Caucasus and Central Asia,,2009,311097810
Caucasus and Central Asia,,2010,16819620
Caucasus and Central Asia,,2011,35877670
Caucasus and Central Asia,,2012,74180710
Caucasus and Central Asia,,2013,35789930
Caucasus and Central Asia,,2014,142359810
Caucasus and Central Asia,,2015,103671550
Caucasus and Central Asia,,2016,272429730
Caucasus and Central Asia,,2017,50947350
Caucasus and Central Asia,,2018,53804290
Central America,,2002,72959940
Central America,,2003,55736390
Central America,,2004,102707350
Central America,,2005,95943620
Central America,,2006,331601720
Central America,,2007,230299210
Central America,,2008,106378170
Central America,,2009,68928070
Central America,,2010,179007670
Central America,,2011,157298130
Central America,,2012,250976390
Central America,,2013,167040440
Central America,,2014,137734300
Central America,,2015,126761180
Central America,,2016,127162800
Central America,,2017,358966530
Central America,,2018,137512730
Central Asia,,2002,47396800
Central Asia,,2003,181807230
Central Asia,,2004,13113140
Central Asia,,2005,6297410
Central Asia,,2006,19344200
Central Asia,,2007,1801370
Central Asia,,2008,10771790
Central Asia,,2009,11986990
Central Asia,,2010,10307640
Central Asia,,2011,9893640
Central Asia,,2012,11201520
Central Asia,,2013,22353720
Central Asia,,2014,60317550
Central Asia,,2015,789640
Central Asia,,2016,32086390
Central Asia,,2017,10695600
Central Asia,,2018,18484180
Czechia,CZE,2011,340550
Czechia,CZE,2012,5174440
Czechia,CZE,2013,3852060
Czechia,CZE,2014,4617770
Czechia,CZE,2015,3525680
Czechia,CZE,2016,4236080
Czechia,CZE,2017,3446950
Czechia,CZE,2018,1762980
Denmark,DNK,2002,100710210
Denmark,DNK,2003,93722620
Denmark,DNK,2004,165142440
Denmark,DNK,2005,180474720
Denmark,DNK,2006,157132360
Denmark,DNK,2007,103314740
Denmark,DNK,2008,117433010
Denmark,DNK,2009,110458750
Denmark,DNK,2010,242741230
Denmark,DNK,2011,148723490
Denmark,DNK,2012,115838660
Denmark,DNK,2013,229474840
Denmark,DNK,2014,331790900
Denmark,DNK,2015,163495580
Denmark,DNK,2016,40666890
Denmark,DNK,2017,55597610
Denmark,DNK,2018,35861000
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2002,13995510
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2003,22041750
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2004,24241320
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,7519340
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2006,21611750
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2007,16378029.999999998
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2008,26077880
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2009,44692440
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,51824370
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2011,85846050
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2012,53786290
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2013,68014370
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,25075870
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,1016534050
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,107635820
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,193833000
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,75219030
Developing regions,,2002,3148466730
Developing regions,,2003,4430609370
Developing regions,,2004,4006871970
Developing regions,,2005,5298479510
Developing regions,,2006,5952850710
Developing regions,,2007,7314452670
Developing regions,,2008,6454710250
Developing regions,,2009,7948811920
Developing regions,,2010,12026304130
Developing regions,,2011,12906073360
Developing regions,,2012,11507305670
Developing regions,,2013,11600024310
Developing regions,,2014,14019862150
Developing regions,,2015,18204948630
Developing regions,,2016,15601407600
Developing regions,,2017,18122237160
Developing regions,,2018,17413426000
Eastern Africa,,2002,191339400
Eastern Africa,,2003,114503430
Eastern Africa,,2004,153226820
Eastern Africa,,2005,149958980
Eastern Africa,,2006,137697330
Eastern Africa,,2007,282997910
Eastern Africa,,2008,227297890
Eastern Africa,,2009,484265150
Eastern Africa,,2010,743632570
Eastern Africa,,2011,553336780
Eastern Africa,,2012,592300210
Eastern Africa,,2013,1026190480
Eastern Africa,,2014,840103740
Eastern Africa,,2015,1209432210
Eastern Africa,,2016,695925990
Eastern Africa,,2017,1108442680
Eastern Africa,,2018,1605852130
Eastern Asia,,2002,531852540
Eastern Asia,,2003,501368500
Eastern Asia,,2004,320557830
Eastern Asia,,2005,603786150
Eastern Asia,,2006,489124770
Eastern Asia,,2007,852037100
Eastern Asia,,2008,100858260
Eastern Asia,,2009,44459820
Eastern Asia,,2010,243148320
Eastern Asia,,2011,42342060
Eastern Asia,,2012,66150120
Eastern Asia,,2013,172733410
Eastern Asia,,2014,59647080
Eastern Asia,,2015,191008880
Eastern Asia,,2016,155683830
Eastern Asia,,2017,189721390
Eastern Asia,,2018,44689270
Eastern Asia (excluding Japan and China),,2002,4632030
Eastern Asia (excluding Japan and China),,2003,2144460
Eastern Asia (excluding Japan and China),,2004,15818470
Eastern Asia (excluding Japan and China),,2005,6977710
Eastern Asia (excluding Japan and China),,2006,14024450
Eastern Asia (excluding Japan and China),,2007,31172340
Eastern Asia (excluding Japan and China),,2008,29542460
Eastern Asia (excluding Japan and China),,2009,10592200
Eastern Asia (excluding Japan and China),,2010,10438100
Eastern Asia (excluding Japan and China),,2011,8158700
Eastern Asia (excluding Japan and China),,2012,8009510.000000001
Eastern Asia (excluding Japan and China),,2013,32456110.000000004
Eastern Asia (excluding Japan and China),,2014,7213150
Eastern Asia (excluding Japan and China),,2015,15159260
Eastern Asia (excluding Japan and China),,2016,12536780
Eastern Asia (excluding Japan and China),,2017,9688510
Eastern Asia (excluding Japan and China),,2018,25361460
Eastern Europe,,2002,2510250
Eastern Europe,,2004,2322620
Eastern Europe,,2005,1011740.0000000001
Eastern Europe,,2006,268320
Eastern Europe,,2007,1975140
Eastern Europe,,2008,11678400
Eastern Europe,,2009,12233020
Eastern Europe,,2010,15579580
Eastern Europe,,2011,18888350
Eastern Europe,,2012,26265510
Eastern Europe,,2013,20485480
Eastern Europe,,2014,10376620
Eastern Europe,,2015,1010309990
Eastern Europe,,2016,14974050
Eastern Europe,,2017,93221540
Eastern Europe,,2018,21376000
Europe,,2002,13995510
Europe,,2003,22041750
Europe,,2004,24241320
Europe,,2005,7519340
Europe,,2006,21611750
Europe,,2007,16378029.999999998
Europe,,2008,26077880
Europe,,2009,44692440
Europe,,2010,51824370
Europe,,2011,85846050
Europe,,2012,53786290
Europe,,2013,68014370
Europe,,2014,25075870
Europe,,2015,1016534050
Europe,,2016,107635820
Europe,,2017,193833000
Europe,,2018,75219030
Finland,FIN,2002,14424790
Finland,FIN,2003,4557190
Finland,FIN,2004,19013960
Finland,FIN,2005,3347900
Finland,FIN,2006,3715690
Finland,FIN,2007,52558120
Finland,FIN,2008,123539010
Finland,FIN,2009,110159000
Finland,FIN,2010,110299480
Finland,FIN,2011,185235890
Finland,FIN,2012,43434410
Finland,FIN,2013,18513470
Finland,FIN,2014,13398060
Finland,FIN,2015,21164660
Finland,FIN,2016,6557870
Finland,FIN,2017,3555470
Finland,FIN,2018,23429350
France,FRA,2002,110837940
France,FRA,2003,67075999.99999999
France,FRA,2004,116516390
France,FRA,2005,71521400
France,FRA,2006,119753010
France,FRA,2007,160633160
France,FRA,2008,195762970
France,FRA,2009,224250730
France,FRA,2010,426870500
France,FRA,2011,294223820
France,FRA,2012,499159720
France,FRA,2013,230526880
France,FRA,2014,649867760
France,FRA,2015,1730571090
France,FRA,2016,2058564809.9999998
France,FRA,2017,2479644930
France,FRA,2018,1600235430
Germany,DEU,2002,242598110
Germany,DEU,2003,199874670
Germany,DEU,2004,275996080
Germany,DEU,2005,315260850
Germany,DEU,2006,306275170
Germany,DEU,2007,244003010
Germany,DEU,2008,268583510
Germany,DEU,2009,359130440
Germany,DEU,2010,585413320
Germany,DEU,2011,1152996370
Germany,DEU,2012,977621620
Germany,DEU,2013,957129600
Germany,DEU,2014,1154159720
Germany,DEU,2015,1287202680
Germany,DEU,2016,1216597450
Germany,DEU,2017,1919530930
Germany,DEU,2018,1594023550
Greece,GRC,2002,2629080
Greece,GRC,2003,6892690
Greece,GRC,2004,4747280
Greece,GRC,2005,4224610
Greece,GRC,2006,2147100
Greece,GRC,2007,3234060
Greece,GRC,2008,1773780
Greece,GRC,2009,7172700
Greece,GRC,2010,2631910
Greece,GRC,2012,481080
Greece,GRC,2013,112120
Greece,GRC,2014,226260
Greece,GRC,2015,208520
Greece,GRC,2016,1031080
Greece,GRC,2017,242170
Greece,GRC,2018,2080
Iceland,ISL,2012,5440510
Iceland,ISL,2013,6697810
Iceland,ISL,2014,5988330
Iceland,ISL,2015,4884500
Iceland,ISL,2016,4558720
Iceland,ISL,2017,4773340
Iceland,ISL,2018,3834320
Ireland,IRL,2002,1858200
Ireland,IRL,2003,897200
Ireland,IRL,2004,868770
Ireland,IRL,2005,13110
Ireland,IRL,2007,14286440
Ireland,IRL,2008,14383860
Ireland,IRL,2009,96046620
Ireland,IRL,2010,42285080
Ireland,IRL,2011,16297390
Ireland,IRL,2012,36613940
Ireland,IRL,2013,40727660
Ireland,IRL,2014,33275219.999999996
Ireland,IRL,2015,26382840
Ireland,IRL,2016,47195790
Ireland,IRL,2017,30311450
Ireland,IRL,2018,29622680
Italy,ITA,2003,380610
Italy,ITA,2004,344460
Italy,ITA,2005,70520
Italy,ITA,2006,13255320
