Entity,Code,Year,16.a.1 - Proportion of countries that applied for accreditation as independent National Human Rights Institutions in compliance with the Paris Principles (%) - SG_NHR_INTEXST
Australia and New Zealand,,2000,100
Australia and New Zealand,,2005,100
Australia and New Zealand,,2010,100
Australia and New Zealand,,2015,100
Australia and New Zealand,,2016,100
Australia and New Zealand,,2017,100
Australia and New Zealand,,2018,100
Australia and New Zealand,,2019,100
Australia and New Zealand,,2020,100
Caucasus and Central Asia,,2000,0
Caucasus and Central Asia,,2005,0
Caucasus and Central Asia,,2010,37.5
Caucasus and Central Asia,,2015,75
Caucasus and Central Asia,,2016,75
Caucasus and Central Asia,,2017,75
Caucasus and Central Asia,,2018,75
Caucasus and Central Asia,,2019,75
Caucasus and Central Asia,,2020,87.5
Central and Southern Asia,,2000,21.428571
Central and Southern Asia,,2005,28.571429
Central and Southern Asia,,2010,42.857143
Central and Southern Asia,,2015,71.428571
Central and Southern Asia,,2016,71.428571
Central and Southern Asia,,2017,71.428571
Central and Southern Asia,,2018,71.42857142857143
Central and Southern Asia,,2019,71.42857142857143
Central and Southern Asia,,2020,78.57143
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,30
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,44
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,56
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,68
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,70
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,72
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,74
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2019,74
Developing regions,,2000,17.8
Developing regions,,2005,32.2
Developing regions,,2010,41.8
Developing regions,,2015,50
Developing regions,,2016,52
Developing regions,,2017,52.7
Developing regions,,2018,55.47945205479452
Developing regions,,2019,56.16438
Eastern Asia (excluding Japan),,2000,20
Eastern Asia (excluding Japan),,2005,60
Eastern Asia (excluding Japan),,2010,60
Eastern Asia (excluding Japan),,2015,60
Eastern Asia (excluding Japan),,2016,60
Eastern Asia (excluding Japan),,2017,60
Eastern Asia (excluding Japan),,2018,60
Eastern Asia (excluding Japan),,2019,60
Eastern Asia (excluding Japan),,2020,60
Eastern and South-Eastern Asia,,2000,17.647059
Eastern and South-Eastern Asia,,2005,41.176471
Eastern and South-Eastern Asia,,2010,47.058824
Eastern and South-Eastern Asia,,2015,52.941176
Eastern and South-Eastern Asia,,2016,52.941176
Eastern and South-Eastern Asia,,2017,52.941176
Eastern and South-Eastern Asia,,2018,52.94117647058824
Eastern and South-Eastern Asia,,2019,52.94117647058824
Eastern and South-Eastern Asia,,2020,52.94117647058824
Europe and Northern America,,2000,28.26087
Europe and Northern America,,2005,43.478261
Europe and Northern America,,2010,56.521739
Europe and Northern America,,2015,67.391304
Europe and Northern America,,2016,69.565217
Europe and Northern America,,2017,71.73913
Europe and Northern America,,2018,73.91304347826086
Europe and Northern America,,2019,73.91304347826086
Europe and Northern America,,2020,77.27273
Landlocked developing countries (LLDCs),,2000,12.5
Landlocked developing countries (LLDCs),,2005,34.4
Landlocked developing countries (LLDCs),,2010,43.8
Landlocked developing countries (LLDCs),,2015,59.4
Landlocked developing countries (LLDCs),,2016,59.4
Landlocked developing countries (LLDCs),,2017,62.5
Landlocked developing countries (LLDCs),,2018,65.625
Landlocked developing countries (LLDCs),,2019,68.75
Landlocked developing countries (LLDCs),,2020,71.875
Latin America and the Caribbean,,2000,26.470588
Latin America and the Caribbean,,2005,41.176471
Latin America and the Caribbean,,2010,50
Latin America and the Caribbean,,2015,52.941176
Latin America and the Caribbean,,2016,52.941176
Latin America and the Caribbean,,2017,52.941176
Latin America and the Caribbean,,2018,55.88235294117647
Latin America and the Caribbean,,2019,58.82353
Latin America and the Caribbean,,2020,58.82353
Least developed countries (LDCs),,2000,12.5
Least developed countries (LDCs),,2005,27.1
Least developed countries (LDCs),,2010,31.3
