Entity,Code,Year,17.14.1 - Mechanisms in place to enhance policy coherence for sustainable development (%) - SG_CPA_SDEVP
Bolivia,BOL,2020,76.25
Colombia,COL,2020,87.5
Costa Rica,CRI,2020,91.25
Croatia,HRV,2020,80
Czechia,CZE,2020,70
Ecuador,ECU,2020,55
Estonia,EST,2020,85
Finland,FIN,2020,81.25
France,FRA,2020,78.75
Guinea,GIN,2020,47.5
Hungary,HUN,2020,42.5
Italy,ITA,2020,60
Kazakhstan,KAZ,2020,73.75
Libya,LBY,2020,71.25
Lithuania,LTU,2020,97.5
Oman,OMN,2020,58.75
Pakistan,PAK,2020,92.5
Palestine,PSE,2020,92.5
Peru,PER,2020,68.75
Poland,POL,2020,90
Qatar,QAT,2020,100
Serbia,SRB,2020,76.25
Slovakia,SVK,2020,68.75
Tanzania,TZA,2020,64
Turkey,TUR,2020,75
United Kingdom,GBR,2020,68.75
Vietnam,VNM,2020,72.5
