Entity,Code,Year,"17.16.1 - Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Provider (1 = YES; 0 = NO) - SG_PLN_MSTKSDG_P"
Australia,AUS,2018,1
Australia and New Zealand,,2016,1
Australia and New Zealand,,2018,1
Austria,AUT,2016,1
Austria,AUT,2018,1
Belgium,BEL,2016,1
Canada,CAN,2018,1
Central and Southern Asia,,2016,1
China,CHN,2016,1
China,CHN,2018,1
Eastern Asia,,2018,2
Eastern and South-Eastern Asia,,2016,3
Eastern and South-Eastern Asia,,2018,3
Europe,,2018,12
Europe and Northern America,,2016,12
Europe and Northern America,,2018,13
Finland,FIN,2018,1
Germany,DEU,2018,1
Greece,GRC,2018,1
Iceland,ISL,2016,1
Iceland,ISL,2018,1
Iran,IRN,2016,1
Ireland,IRL,2018,1
Japan,JPN,2018,1
Kuwait,KWT,2016,1
Kuwait,KWT,2018,1
Latin America and the Caribbean,,2018,1
Lithuania,LTU,2016,1
Luxembourg,LUX,2016,1
Mexico,MEX,2018,1
Netherlands,NLD,2016,1
New Zealand,NZL,2016,1
Northern Africa and Western Asia,,2016,3
Northern Africa and Western Asia,,2018,2
Northern America,,2018,1
Norway,NOR,2018,1
Oceania,,2018,1
Other non-specified areas in Eastern Asia,,2016,1
Poland,POL,2018,1
Romania,ROU,2016,1
Russia,RUS,2016,1
Saudi Arabia,SAU,2016,1
Slovakia,SVK,2016,1
Slovakia,SVK,2018,1
South Korea,KOR,2016,1
South-eastern Asia,,2018,1
Spain,ESP,2016,1
Spain,ESP,2018,1
Sweden,SWE,2018,1
Switzerland,CHE,2016,1
Switzerland,CHE,2018,1
Thailand,THA,2018,1
Turkey,TUR,2016,1
United Arab Emirates,ARE,2018,1
United States,USA,2016,1
Western Asia,,2018,2
World,OWID_WRL,2018,20
