Entity,Code,Year,Completeness of birth registration (%)
Afghanistan,AFG,2003,6
Afghanistan,AFG,2011,37.4
Afghanistan,AFG,2015,42.3
Africa Eastern and Southern,,2010,46.026333199344
Africa Eastern and Southern,,2017,38.8758645342874
Africa Western and Central,,2010,54.0388723622618
Africa Western and Central,,2017,54.4192741057215
Albania,ALB,2005,98
Albania,ALB,2009,98.6
Albania,ALB,2018,98.4
Algeria,DZA,2006,99.4
Algeria,DZA,2013,99.6
Andorra,AND,2012,100
Andorra,AND,2017,100
Angola,AGO,2001,35.6
Angola,AGO,2016,25
Argentina,ARG,2004,91
Argentina,ARG,2007,99
Argentina,ARG,2012,99.5
Armenia,ARM,2005,96.4
Armenia,ARM,2010,99.6
Armenia,ARM,2016,99.3
Australia,AUS,2012,100
Australia,AUS,2013,100
Australia,AUS,2017,100
Austria,AUT,2011,100
Austria,AUT,2014,100
Austria,AUT,2017,100
Azerbaijan,AZE,2006,93.6
Bahrain,BHR,2018,100
Bangladesh,BGD,2006,10
Bangladesh,BGD,2011,30.5
Bangladesh,BGD,2013,37
Bangladesh,BGD,2014,20.2
Bangladesh,BGD,2018,25.2
Bangladesh,BGD,2019,56
Barbados,BRB,2012,98.7
Belarus,BLR,2012,100
Belgium,BEL,2010,100
Belgium,BEL,2014,100
Belgium,BEL,2017,100
Belize,BLZ,2006,94
Belize,BLZ,2011,95.2
Belize,BLZ,2015,95.7
Benin,BEN,2006,53.1
Benin,BEN,2012,80.2
Benin,BEN,2014,85
Benin,BEN,2018,85.6
Bhutan,BTN,2010,99.9
Bolivia,BOL,2001,74
Bolivia,BOL,2003,76.7
Bolivia,BOL,2008,75.9
Bolivia,BOL,2016,91.9
Bosnia and Herzegovina,BIH,2006,99.5
Botswana,BWA,2000,58
Botswana,BWA,2007,72
Botswana,BWA,2008,72.2
Botswana,BWA,2014,83.2
Botswana,BWA,2017,87.5
Brazil,BRA,2005,89
Brazil,BRA,2008,91
Brazil,BRA,2011,92.8
Brazil,BRA,2014,95.9
Brazil,BRA,2015,96.4
Bulgaria,BGR,2011,100
Bulgaria,BGR,2012,100
Burkina Faso,BFA,2006,64
Burkina Faso,BFA,2010,76.9
Burundi,BDI,2005,60
Burundi,BDI,2010,75.2
Burundi,BDI,2017,83.5
Cambodia,KHM,2005,66.4
Cambodia,KHM,2010,62.1
Cambodia,KHM,2014,73.3
Cameroon,CMR,2006,70
Cameroon,CMR,2011,61.4
Cameroon,CMR,2014,66.1
Cameroon,CMR,2018,61.9
Canada,CAN,2011,100
Canada,CAN,2012,100
Canada,CAN,2017,100
Cape Verde,CPV,2010,91.4
Caribbean Small States,,2010,96.112266242617
Central African Republic,CAF,2006,49
Central African Republic,CAF,2010,61
Central Europe and the Baltics,,2010,100
Central Europe and the Baltics,,2017,100
Chad,TCD,2004,8.9
Chad,TCD,2010,15.7
Chad,TCD,2015,12
Chile,CHL,2004,96
Chile,CHL,2007,99.4
Chile,CHL,2008,99
Chile,CHL,2010,99.8
Chile,CHL,2011,99
Colombia,COL,2005,90.4
Colombia,COL,2010,96.5
Colombia,COL,2015,96.8
Comoros,COM,2000,87.6
Comoros,COM,2012,87.3
Congo,COG,2005,76.8
Congo,COG,2012,90.8
Congo,COG,2015,95.9
Costa Rica,CRI,2011,99.7
Costa Rica,CRI,2013,100
Cote d'Ivoire,CIV,2005,49.3
Cote d'Ivoire,CIV,2006,55
Cote d'Ivoire,CIV,2012,65
Cote d'Ivoire,CIV,2016,71.7
Croatia,HRV,2017,100
Cuba,CUB,2005,100
Cuba,CUB,2011,100
Cuba,CUB,2014,100
Cyprus,CYP,2010,100
Cyprus,CYP,2014,100
Cyprus,CYP,2017,100
Czechia,CZE,2012,100
Czechia,CZE,2014,100
Czechia,CZE,2017,100
Democratic Republic of Congo,COD,2007,31.3
Democratic Republic of Congo,COD,2010,27.8
Democratic Republic of Congo,COD,2014,24.6
Denmark,DNK,2011,100
Denmark,DNK,2014,100
Denmark,DNK,2017,100
Djibouti,DJI,2006,91.7
Dominican Republic,DOM,2006,78
Dominican Republic,DOM,2007,77.8
Dominican Republic,DOM,2011,82.4
Dominican Republic,DOM,2012,81.1
Dominican Republic,DOM,2013,84.1
Dominican Republic,DOM,2014,88
Early-demographic dividend,,2010,78.0728528667098
Early-demographic dividend,,2017,71.7051837846562
Ecuador,ECU,2004,84.9
Ecuador,ECU,2010,90
Ecuador,ECU,2012,92.1
Ecuador,ECU,2015,94
Ecuador,ECU,2016,82
Egypt,EGY,2005,99
Egypt,EGY,2014,99.4
El Salvador,SLV,2008,98.6
El Salvador,SLV,2014,98.5
Equatorial Guinea,GNQ,2000,37.1
Equatorial Guinea,GNQ,2011,53.5
Estonia,EST,2011,100
Estonia,EST,2014,100
Estonia,EST,2017,100
Eswatini,SWZ,2007,29.8
Eswatini,SWZ,2010,49.5
Eswatini,SWZ,2014,53.5
Ethiopia,ETH,2005,6.6
Ethiopia,ETH,2016,2.7
Euro area,,2010,100
Euro area,,2017,100
Europe & Central Asia,,2010,98.6592291188047
Europe & Central Asia,,2017,99.5933362737744
Europe & Central Asia (IDA & IBRD),,2010,97.4400459844178
Europe & Central Asia (IDA & IBRD),,2017,99.2093905882151
Europe & Central Asia (excluding high income),,2010,97.2298431309085
Europe & Central Asia (excluding high income),,2017,99.1348293913612
European Union,,2010,100
European Union,,2017,100
Finland,FIN,2011,100
Finland,FIN,2014,100
Finland,FIN,2017,100
Fragile and conflict affected situations,,2010,50.5527362504272
Fragile and conflict affected situations,,2017,44.2705836732477
France,FRA,2011,100
France,FRA,2014,100
France,FRA,2017,100
Gabon,GAB,2000,89
Gabon,GAB,2012,89.6
Gambia,GMB,2006,55
Gambia,GMB,2010,52.5
Gambia,GMB,2013,72
