Entity,Code,Year,2.5.2 - Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS
Africa,,2000,25
Africa,,2001,30
Africa,,2003,40
Albania,ALB,2000,48
Albania,ALB,2001,44
Albania,ALB,2002,30
Albania,ALB,2003,28
Albania,ALB,2004,30
Albania,ALB,2005,26
Albania,ALB,2006,21
Albania,ALB,2007,21
Albania,ALB,2008,21
Albania,ALB,2009,21
Albania,ALB,2010,8
Albania,ALB,2011,8
Albania,ALB,2012,80
Albania,ALB,2013,55
Albania,ALB,2014,55
Albania,ALB,2015,55
Albania,ALB,2016,55
Albania,ALB,2017,55
Albania,ALB,2018,55
Albania,ALB,2019,55
Albania,ALB,2020,55
Albania,ALB,2021,55
Albania,ALB,2022,25
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2020,100
Algeria,DZA,2021,100
Algeria,DZA,2022,100
Angola,AGO,2000,0
Angola,AGO,2001,0
Angola,AGO,2002,0
Angola,AGO,2003,0
Antigua and Barbuda,ATG,2000,25
Antigua and Barbuda,ATG,2001,25
Antigua and Barbuda,ATG,2002,25
Antigua and Barbuda,ATG,2003,25
Argentina,ARG,2000,14
Argentina,ARG,2001,14
Argentina,ARG,2002,20
Argentina,ARG,2003,25
Argentina,ARG,2010,0
Argentina,ARG,2011,0
Argentina,ARG,2012,0
Argentina,ARG,2013,0
Argentina,ARG,2014,0
Argentina,ARG,2015,0
Argentina,ARG,2016,0
Argentina,ARG,2017,25
Argentina,ARG,2018,20
Argentina,ARG,2019,20
Argentina,ARG,2020,20
Argentina,ARG,2021,14
Argentina,ARG,2022,14
Armenia,ARM,2003,0
Armenia,ARM,2004,0
Armenia,ARM,2005,0
Armenia,ARM,2006,0
Armenia,ARM,2007,0
Armenia,ARM,2008,0
Armenia,ARM,2009,0
Armenia,ARM,2010,0
Armenia,ARM,2011,0
Armenia,ARM,2012,0
Asia,,2000,30
Asia,,2001,28
Asia,,2002,25
Asia,,2003,24
Asia,,2004,21
Asia,,2005,20
Asia,,2006,22
Asia,,2007,21
Asia,,2008,20
Asia,,2009,20
Asia,,2010,22
Asia,,2011,22
Asia,,2012,24
Australia,AUS,2000,82
Australia,AUS,2001,82
Australia,AUS,2002,83
Australia,AUS,2003,75
Australia,AUS,2004,66
Australia,AUS,2005,80
Australia,AUS,2006,77
Australia,AUS,2007,77
Australia,AUS,2008,80
Australia,AUS,2009,75
Australia,AUS,2010,75
Australia,AUS,2011,75
Australia,AUS,2012,75
Australia,AUS,2013,72
Australia,AUS,2014,75
Australia,AUS,2015,75
Australia,AUS,2016,75
Australia,AUS,2017,75
Australia,AUS,2018,75
Australia,AUS,2019,100
Australia,AUS,2021,100
Australia,AUS,2022,100
Austria,AUT,2000,100
Austria,AUT,2001,100
Austria,AUT,2002,100
Austria,AUT,2003,100
Austria,AUT,2004,100
Austria,AUT,2005,100
Austria,AUT,2006,100
Austria,AUT,2007,100
Austria,AUT,2008,100
Austria,AUT,2009,100
Austria,AUT,2010,100
Austria,AUT,2011,100
Austria,AUT,2012,100
Austria,AUT,2013,95
Austria,AUT,2014,95
Austria,AUT,2015,95
Austria,AUT,2016,95
Austria,AUT,2017,91
Austria,AUT,2018,91
Austria,AUT,2019,91
Austria,AUT,2020,91
Austria,AUT,2021,91
Austria,AUT,2022,91
Azerbaijan,AZE,2003,100
Azerbaijan,AZE,2004,100
Azerbaijan,AZE,2005,100
Azerbaijan,AZE,2006,100
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2008,100
Azerbaijan,AZE,2009,100
Azerbaijan,AZE,2010,100
Azerbaijan,AZE,2011,100
Azerbaijan,AZE,2012,100
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2004,80
Bangladesh,BGD,2005,80
Bangladesh,BGD,2006,80
Bangladesh,BGD,2007,80
Bangladesh,BGD,2008,80
Bangladesh,BGD,2009,80
Bangladesh,BGD,2010,80
Bangladesh,BGD,2011,80
Bangladesh,BGD,2012,80
Bangladesh,BGD,2013,80
Belarus,BLR,2003,25
Belarus,BLR,2004,40
Belarus,BLR,2005,40
Belarus,BLR,2006,40
Belarus,BLR,2007,40
Belarus,BLR,2008,40
Belarus,BLR,2009,40
Belarus,BLR,2010,40
Belarus,BLR,2011,40
Belarus,BLR,2012,40
Belarus,BLR,2013,100
Belgium,BEL,2000,84
Belgium,BEL,2001,84
Belgium,BEL,2002,84
Belgium,BEL,2003,84
Belgium,BEL,2004,100
Belgium,BEL,2005,100
Belgium,BEL,2006,100
Belgium,BEL,2007,100
Belgium,BEL,2008,100
Belgium,BEL,2009,100
Belgium,BEL,2010,100
Belgium,BEL,2011,100
Belgium,BEL,2012,92
Belgium,BEL,2013,96
Belgium,BEL,2014,96
Belgium,BEL,2015,96
Belgium,BEL,2016,94
Belgium,BEL,2017,94
Belgium,BEL,2018,96
Belgium,BEL,2019,96
Belgium,BEL,2020,96
Belgium,BEL,2021,96
Belgium,BEL,2022,95
Benin,BEN,2000,0
Benin,BEN,2001,0
Benin,BEN,2003,0
Benin,BEN,2004,0
Benin,BEN,2005,0
Benin,BEN,2006,0
Benin,BEN,2007,0
Benin,BEN,2008,0
Benin,BEN,2009,0
Benin,BEN,2010,0
Benin,BEN,2011,0
Benin,BEN,2012,0
Bermuda,BMU,2000,100
Bermuda,BMU,2001,100
Bermuda,BMU,2002,100
Bermuda,BMU,2003,100
Bhutan,BTN,2000,0
Bhutan,BTN,2001,0
Bhutan,BTN,2002,0
Bhutan,BTN,2003,0
Bhutan,BTN,2004,0
