Entity,Code,Year,3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%) - SH_HLF_EMED
Bolivia,BOL,2016,23.07692
Burkina Faso,BFA,2016,0
Burundi,BDI,2013,0
Burundi,BDI,2016,0
Chile,CHL,2016,36.36364
Colombia,COL,2008,88.76405
Colombia,COL,2016,8.33333
Congo,COG,2016,0
Ecuador,ECU,2016,50
Ghana,GHA,2016,12.5
Guinea,GIN,2016,12.5
Haiti,HTI,2011,0
Indonesia,IDN,2004,36.90476
Indonesia,IDN,2010,14.64968
Kyrgyzstan,KGZ,2005,0
Kyrgyzstan,KGZ,2010,0
Kyrgyzstan,KGZ,2015,0
Kyrgyzstan,KGZ,2016,0
Laos,LAO,2013,25.27473
Lebanon,LBN,2004,50
Lebanon,LBN,2013,52.45901
Mali,MLI,2016,0
Mauritius,MUS,2008,26.22951
Moldova,MDA,2019,25
Mongolia,MNG,2004,9.09091
Mongolia,MNG,2012,26.74419
Peru,PER,2016,69.23077
Senegal,SEN,2016,7.69231
Sri Lanka,LKA,2019,68.33
Sudan,SDN,2012,34.48276
Sudan,SDN,2013,41
Tajikistan,TJK,2004,0
Tajikistan,TJK,2013,15
Tanzania,TZA,2004,27.92793
Tanzania,TZA,2012,18.96552
Tanzania,TZA,2016,0
Trinidad and Tobago,TTO,2016,0
Ukraine,UKR,2019,19.75
Zambia,ZMB,2016,16.66667
