Entity,Code,Year,"Total net enrolment rate, primary, gender parity index (GPI)"
Afghanistan,AFG,1974,0.190659999847412
Afghanistan,AFG,1993,0.351839989423752
Afghanistan,AFG,2014,0.705980002880096
Albania,ALB,1999,0.972370028495789
Albania,ALB,2000,0.985909998416901
Albania,ALB,2001,0.9965900182724
Albania,ALB,2003,0.9949399828910831
Albania,ALB,2004,1.0068199634552
Albania,ALB,2008,0.990520000457764
Albania,ALB,2009,0.982819974422455
Albania,ALB,2010,0.985889971256256
Albania,ALB,2011,0.9807400107383729
Albania,ALB,2012,0.98308002948761
Albania,ALB,2013,0.9832500219345089
Albania,ALB,2014,0.987389981746674
Algeria,DZA,1973,0.702449977397919
Algeria,DZA,1974,0.7055799961090091
Algeria,DZA,1975,0.714890003204346
Algeria,DZA,1976,0.7258599996566769
Algeria,DZA,1977,0.742609977722168
Algeria,DZA,1978,0.757849991321564
Algeria,DZA,1979,0.769919991493225
Algeria,DZA,1980,0.777050018310547
Algeria,DZA,1981,0.78329998254776
Algeria,DZA,1982,0.788540005683899
Algeria,DZA,1983,0.7972000241279599
Algeria,DZA,1984,0.804400026798248
Algeria,DZA,1985,0.815779983997345
Algeria,DZA,1986,0.829800009727478
Algeria,DZA,1987,0.840730011463165
Algeria,DZA,1988,0.849120020866394
Algeria,DZA,1989,0.858060002326965
Algeria,DZA,1990,0.8648099899291991
Algeria,DZA,1991,0.8742899894714359
Algeria,DZA,1992,0.8847200274467472
Algeria,DZA,1993,0.895449995994568
Algeria,DZA,1994,0.907190024852753
Algeria,DZA,1995,0.91499000787735
Algeria,DZA,1996,0.925140023231506
Algeria,DZA,1997,0.933480024337769
Algeria,DZA,1999,0.9585000276565551
Algeria,DZA,2000,0.965290009975433
Algeria,DZA,2001,0.967530012130737
Algeria,DZA,2002,0.9731900095939641
Algeria,DZA,2003,0.976369976997375
Algeria,DZA,2004,0.977540016174316
Algeria,DZA,2005,0.9774199724197391
Algeria,DZA,2006,0.9763500094413761
Algeria,DZA,2007,0.979319989681244
Algeria,DZA,2008,0.981869995594025
Algeria,DZA,2009,0.9757000207901
Algeria,DZA,2010,0.9727100133895871
Algeria,DZA,2011,0.974560022354126
Algeria,DZA,2012,0.9746800065040592
Algeria,DZA,2013,0.976320028305054
Algeria,DZA,2014,0.9750599861145021
Angola,AGO,1982,0.92577999830246
Angola,AGO,1983,0.8957800269126891
Angola,AGO,1998,0.856939971446991
Angola,AGO,2008,0.877420008182526
Angola,AGO,2009,0.876990020275116
Angola,AGO,2010,0.850080013275146
Angola,AGO,2011,0.791429996490479
Antigua and Barbuda,ATG,2007,0.990939974784851
Antigua and Barbuda,ATG,2008,0.998350024223328
Antigua and Barbuda,ATG,2009,0.9697700142860409
Antigua and Barbuda,ATG,2010,0.926069974899292
Antigua and Barbuda,ATG,2011,0.9565899968147281
Antigua and Barbuda,ATG,2012,0.9844099879264828
Antigua and Barbuda,ATG,2014,0.976279973983765
Arab World,,1970,0.655619978904724
