Entity,Code,Year,"Literacy rate, adult male (% of males ages 15 and above)"
Afghanistan,AFG,1979,30.3077507019043
Afghanistan,AFG,2011,45.4170989990234
Afghanistan,AFG,2018,55.4754486083984
Albania,ALB,2001,99.1876068115234
Albania,ALB,2008,97.3061981201172
Albania,ALB,2011,98.0081634521484
Albania,ALB,2012,98.3526077270508
Albania,ALB,2018,98.5136184692383
Algeria,DZA,1987,63.3774299621582
Algeria,DZA,2002,79.1866912841797
Algeria,DZA,2006,81.2840423583984
Algeria,DZA,2008,82.615837097168
Algeria,DZA,2018,87.4229583740234
American Samoa,ASM,1980,97.4699630737305
Angola,AGO,2001,82.9198684692383
Angola,AGO,2014,79.9741516113281
Antigua and Barbuda,ATG,2001,98.4000015258789
Antigua and Barbuda,ATG,2011,98.4000015258789
Antigua and Barbuda,ATG,2015,98.4000015258789
Arab World,,1977,59.1294288635254
Arab World,,1978,59.3597106933594
Arab World,,1979,59.6291198730469
Arab World,,1980,60.0299301147461
Arab World,,1981,60.4744606018066
Arab World,,1982,61.002010345459
Arab World,,1983,60.9632797241211
Arab World,,1984,61.6989898681641
Arab World,,1985,62.4982681274414
Arab World,,1986,63.2868309020996
Arab World,,1987,63.7980003356934
Arab World,,1988,64.6876983642578
Arab World,,1989,65.4416122436523
Arab World,,1990,66.2620620727539
Arab World,,1991,67.2540893554688
Arab World,,1992,67.9377288818359
Arab World,,1993,69.0632171630859
Arab World,,1994,69.583610534668
Arab World,,1995,70.4563598632813
Arab World,,1996,71.4563217163086
Arab World,,1997,72.1502838134766
Arab World,,1998,73.1108169555664
Arab World,,1999,73.8650436401367
Arab World,,2000,74.3193435668945
Arab World,,2001,75.5050888061523
Arab World,,2002,76.3422088623047
Arab World,,2003,79.2865676879883
Arab World,,2004,79.8284912109375
Arab World,,2005,78.9223480224609
Arab World,,2006,76.9644470214844
Arab World,,2007,77.5534515380859
Arab World,,2008,78.0918197631836
Arab World,,2009,76.9594268798828
Arab World,,2010,77.5107498168945
Arab World,,2011,78.9164810180664
Arab World,,2012,82.1015167236328
Arab World,,2013,82.0006484985352
Arab World,,2014,83.1007537841797
Arab World,,2015,80.8100280761719
Arab World,,2016,81.7451705932617
Arab World,,2017,82.216423034668
Arab World,,2018,79.5987930297852
Arab World,,2019,79.7615966796875
Argentina,ARG,1980,94.2633895874023
Argentina,ARG,1991,96.1740570068359
Argentina,ARG,2001,97.1931991577148
Argentina,ARG,2006,98.7271881103516
Argentina,ARG,2009,98.9627227783203
Argentina,ARG,2010,98.9853210449219
Argentina,ARG,2011,99.2283096313477
Argentina,ARG,2012,99.1111297607422
Argentina,ARG,2013,99.1560287475586
Argentina,ARG,2014,99.0612487792969
Argentina,ARG,2015,99.1482467651367
Argentina,ARG,2016,99.1049880981445
Argentina,ARG,2018,98.9377365112305
Armenia,ARM,1989,99.4038467407227
Armenia,ARM,2001,99.672233581543
Armenia,ARM,2011,99.8060836791992
Armenia,ARM,2017,99.8054962158203
Aruba,ABW,2000,97.5373992919922
Aruba,ABW,2010,96.9405288696289
Aruba,ABW,2018,97.8001327514648
Azerbaijan,AZE,1999,99.4724197387695
Azerbaijan,AZE,2007,99.8209686279297
Azerbaijan,AZE,2009,99.8426666259766
Azerbaijan,AZE,2010,99.8544387817383
Azerbaijan,AZE,2011,99.8566589355469
Azerbaijan,AZE,2012,99.8528518676758
Azerbaijan,AZE,2013,99.8659210205078
Azerbaijan,AZE,2014,99.8620071411133
Azerbaijan,AZE,2015,99.8626327514648
Azerbaijan,AZE,2016,99.8640518188477
Azerbaijan,AZE,2017,99.8637466430664
Bahrain,BHR,1981,76.5183715820313
Bahrain,BHR,1991,88.5373687744141
Bahrain,BHR,2001,88.5541076660156
Bahrain,BHR,2010,92.1454391479492
Bahrain,BHR,2016,98.5519180297852
Bahrain,BHR,2017,98.7673263549805
Bahrain,BHR,2018,98.7631683349609
Bangladesh,BGD,1981,39.7322998046875
Bangladesh,BGD,1991,44.314281463623
Bangladesh,BGD,2001,53.8960914611816
Bangladesh,BGD,2007,49.8323287963867
Bangladesh,BGD,2011,62.4830589294434
Bangladesh,BGD,2012,61.5428695678711
Bangladesh,BGD,2013,64.2137680053711
Bangladesh,BGD,2014,64.3650894165039
Bangladesh,BGD,2015,68.0553588867188
Bangladesh,BGD,2016,75.6188507080078
Bangladesh,BGD,2017,75.7023620605469
Bangladesh,BGD,2018,76.6692581176758
Bangladesh,BGD,2019,77.4414901733398
Barbados,BRB,1970,99.2872314453125
Barbados,BRB,1984,99.5999984741211
Barbados,BRB,1994,99.5999984741211
Barbados,BRB,2004,99.5999984741211
Barbados,BRB,2014,99.5999984741211
Belarus,BLR,1989,99.3841781616211
Belarus,BLR,1999,99.792106628418
Belarus,BLR,2009,99.7636871337891
Belarus,BLR,2018,99.7939834594727
Belize,BLZ,1991,70.2687683105469
Belize,BLZ,2000,76.6837310791016
Benin,BEN,1979,25.1900596618652
Benin,BEN,1992,39.9033203125
Benin,BEN,2002,47.8659591674805
Benin,BEN,2006,40.6161689758301
Benin,BEN,2012,44.9602584838867
Benin,BEN,2018,53.9770317077637
Bhutan,BTN,2005,65.0477828979492
Bhutan,BTN,2012,66.003059387207
Bhutan,BTN,2017,75.0198516845703
Bolivia,BOL,1976,75.842887878418
Bolivia,BOL,1992,88.1555862426758
Bolivia,BOL,2001,93.0574722290039
Bolivia,BOL,2007,96.036262512207
Bolivia,BOL,2008,94.9554290771484
Bolivia,BOL,2009,95.8036422729492
Bolivia,BOL,2011,96.6010513305664
Bolivia,BOL,2012,97.107048034668
Bolivia,BOL,2015,96.5227508544922
Bosnia and Herzegovina,BIH,1991,96.305419921875
Bosnia and Herzegovina,BIH,2000,99.0337066650391
Bosnia and Herzegovina,BIH,2011,99.5413284301758
Bosnia and Herzegovina,BIH,2013,99.1762771606445
Botswana,BWA,1991,65.3869400024414
Botswana,BWA,2003,80.4301071166992
Botswana,BWA,2013,86.1221389770508
Brazil,BRA,1980,76.3773574829102
Brazil,BRA,2000,86.2279815673828
Brazil,BRA,2004,88.4094619750977
Brazil,BRA,2006,89.3532409667969
Brazil,BRA,2007,89.7721405029297
Brazil,BRA,2008,89.8378677368164
Brazil,BRA,2009,90.1748428344727
Brazil,BRA,2010,90.0561828613281
Brazil,BRA,2011,91.1689834594727
Brazil,BRA,2012,91.0256729125977
Brazil,BRA,2013,91.1779632568359
Brazil,BRA,2014,91.3667678833008
Brazil,BRA,2015,91.7251586914063
Brazil,BRA,2016,92.5751571655273
Brazil,BRA,2017,92.8915328979492
Brazil,BRA,2018,93.0090408325195
Brunei,BRN,1981,85.1368103027344
Brunei,BRN,1991,92.4521865844727
Brunei,BRN,2001,95.1504211425781
Brunei,BRN,2011,97.4281616210938
Brunei,BRN,2018,98.0536193847656
Bulgaria,BGR,2001,98.7366027832031
Bulgaria,BGR,2011,98.7472305297852
Burkina Faso,BFA,1975,14.5284900665283
Burkina Faso,BFA,1991,19.6261291503906
Burkina Faso,BFA,1996,18.5177898406982
Burkina Faso,BFA,2003,29.3619995117188
Burkina Faso,BFA,2005,31.3745498657227
Burkina Faso,BFA,2006,29.7143592834473
Burkina Faso,BFA,2007,36.5747985839844
Burkina Faso,BFA,2014,44.379451751709
Burkina Faso,BFA,2018,50.0745887756348
Burundi,BDI,1979,34.2627105712891
Burundi,BDI,1990,48.2362518310547
Burundi,BDI,2000,67.3069305419922
Burundi,BDI,2008,53.1283912658691
Burundi,BDI,2014,69.5872802734375
Burundi,BDI,2017,76.2960510253906
Cambodia,KHM,1998,79.482177734375
Cambodia,KHM,2004,84.6800079345703
Cambodia,KHM,2008,84.9874572753906
Cambodia,KHM,2009,83.9326782226563
Cambodia,KHM,2014,84.8141479492188
Cambodia,KHM,2015,86.5324401855469
Cameroon,CMR,1976,54.6298484802246
Cameroon,CMR,2000,79.1945190429688
Cameroon,CMR,2007,78.9499588012695
Cameroon,CMR,2010,78.3276901245117
Cameroon,CMR,2018,82.6280364990234
Cape Verde,CPV,1990,74.7592697143555
Cape Verde,CPV,2000,83.8376083374023
Cape Verde,CPV,2012,90.4745025634766
Cape Verde,CPV,2015,91.6914367675781
Caribbean Small States,,1993,83.9480209350586
Caribbean Small States,,1994,83.9833374023438
Caribbean Small States,,1995,84.2480392456055
Caribbean Small States,,1996,84.5002593994141
Caribbean Small States,,1997,84.7536087036133
Caribbean Small States,,1998,85.1337509155273
Caribbean Small States,,1999,84.8237533569336
Caribbean Small States,,2000,85.6426773071289
Caribbean Small States,,2001,85.9656295776367
Caribbean Small States,,2002,86.2677230834961
Caribbean Small States,,2003,86.5573425292969
Caribbean Small States,,2004,86.8491134643555
Caribbean Small States,,2005,87.1952590942383
Caribbean Small States,,2006,87.4106826782227
Caribbean Small States,,2007,87.9313430786133
Caribbean Small States,,2008,88.2111587524414
Caribbean Small States,,2009,88.426513671875
Caribbean Small States,,2010,88.7221603393555
Caribbean Small States,,2011,88.970947265625
Caribbean Small States,,2012,89.1393966674805
Caribbean Small States,,2013,89.5094909667969
Caribbean Small States,,2014,89.7338485717773
Caribbean Small States,,2015,89.8106307983398
Cayman Islands,CYM,2007,98.7223892211914
Central African Republic,CAF,1975,29.5929203033447
Central African Republic,CAF,1988,48.0203018188477
Central African Republic,CAF,2000,66.7895278930664
Central African Republic,CAF,2010,50.7127113342285
Central African Republic,CAF,2018,49.514591217041
Central Europe and the Baltics,,1982,99.0113830566406
Central Europe and the Baltics,,1983,99.0222778320313
Central Europe and the Baltics,,1984,99.0403900146484
Central Europe and the Baltics,,1985,99.0546112060547
Central Europe and the Baltics,,1986,99.0643768310547
Central Europe and the Baltics,,1987,99.0789108276367
Central Europe and the Baltics,,1988,98.9963302612305
Central Europe and the Baltics,,1989,99.0193634033203
Central Europe and the Baltics,,1990,99.0429382324219
Central Europe and the Baltics,,1991,99.0559310913086
Central Europe and the Baltics,,1992,99.0770568847656
Central Europe and the Baltics,,1993,99.0928802490234
Central Europe and the Baltics,,1994,99.1094665527344
Central Europe and the Baltics,,1995,99.1261978149414
Central Europe and the Baltics,,1996,99.1389694213867
Central Europe and the Baltics,,1997,99.1491775512695
Central Europe and the Baltics,,1998,99.178352355957
Central Europe and the Baltics,,1999,99.1005630493164
Central Europe and the Baltics,,2000,99.1218795776367
Central Europe and the Baltics,,2001,99.1275863647461
Central Europe and the Baltics,,2002,99.1319198608398
Central Europe and the Baltics,,2003,99.1308364868164
Central Europe and the Baltics,,2004,99.1313400268555
Central Europe and the Baltics,,2005,99.1334915161133
Central Europe and the Baltics,,2006,99.1278228759766
Central Europe and the Baltics,,2007,99.1289978027344
Central Europe and the Baltics,,2008,99.1479263305664
Central Europe and the Baltics,,2009,99.2821731567383
Central Europe and the Baltics,,2010,99.2888412475586
Central Europe and the Baltics,,2011,99.2944793701172
