Entity,Code,Year,"5.1.1 - Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women - SG_LGL_GENEQVAW"
Albania,ALB,2018,91.66666
Albania,ALB,2020,91.66666
Argentina,ARG,2020,100
Armenia,ARM,2018,50
Armenia,ARM,2020,83.33334
Australia,AUS,2018,100
Australia,AUS,2020,100
Australia and New Zealand,,2020,95.83333
Austria,AUT,2020,75
Bangladesh,BGD,2018,75
Bangladesh,BGD,2020,75
Barbados,BRB,2018,75
Barbados,BRB,2020,83.33334
Belarus,BLR,2018,66.66666
Belarus,BLR,2020,66.66666
Bolivia,BOL,2020,83.33334
Brazil,BRA,2018,91.66666
Brazil,BRA,2020,91.66666
Bulgaria,BGR,2018,91.66666
Bulgaria,BGR,2020,91.66666
Cameroon,CMR,2018,50
Cameroon,CMR,2020,50
Cape Verde,CPV,2018,83.33334
Cape Verde,CPV,2020,83.33334
Central and Southern Asia,,2020,83.33333
Chile,CHL,2018,83.33334
Chile,CHL,2020,83.33334
Colombia,COL,2018,91.66666
Colombia,COL,2020,83.33334
Costa Rica,CRI,2018,83.33334
Costa Rica,CRI,2020,83.33334
Cote d'Ivoire,CIV,2018,50
Cote d'Ivoire,CIV,2020,50
Croatia,HRV,2018,91.66666
Croatia,HRV,2020,91.66666
Cyprus,CYP,2020,83.33334
Czechia,CZE,2020,83.33334
Denmark,DNK,2018,91.66666
Denmark,DNK,2020,91.66666
Dominican Republic,DOM,2018,75
Dominican Republic,DOM,2020,83.33334
Eastern and South-Eastern Asia,,2020,73.61111
Ecuador,ECU,2020,91.66666
El Salvador,SLV,2018,83.33334
El Salvador,SLV,2020,83.33334
Estonia,EST,2020,58.33333
Ethiopia,ETH,2020,41.66667
Europe and Northern America,,2020,82.85714
Fiji,FJI,2018,83.33334
Fiji,FJI,2020,83.33334
Finland,FIN,2018,66.66666
Finland,FIN,2020,66.66666
France,FRA,2018,83.33334
France,FRA,2020,83.33334
Germany,DEU,2018,83.33334
Germany,DEU,2020,83.33334
Greece,GRC,2018,66.66666
