Entity,Code,Year,5.3.1 - Proportion of women aged 20-24 years who were married or in a union before age 15 (%) - SP_DYN_MRBF15
Afghanistan,AFG,2017,4.2
Albania,ALB,2018,1.4
Algeria,DZA,2019,0
Angola,AGO,2016,7.9
Argentina,ARG,2020,2.4
Armenia,ARM,2016,0
Azerbaijan,AZE,2011,1.9
Bangladesh,BGD,2019,15.5
Barbados,BRB,2012,7.7
Belarus,BLR,2019,0.1
Belgium,BEL,2019,0
Belize,BLZ,2016,6.3
Benin,BEN,2018,9.4
Bhutan,BTN,2010,6.2
Bolivia,BOL,2016,3.4
Bosnia and Herzegovina,BIH,2012,0.2
Brazil,BRA,2006,5.9
Burkina Faso,BFA,2010,10.2
Burundi,BDI,2017,2.8
Cambodia,KHM,2014,1.9
Cameroon,CMR,2018,10.7
Cape Verde,CPV,2018,1.8
Central African Republic,CAF,2019,25.8
Central Asia,,2001,0.1
Central Asia,,2006,0.3
Central Asia,,2011,0.3
Central Asia,,2016,0.2
Central Asia,,2021,0.2
Central and Southern Asia,,2001,25.6
Central and Southern Asia,,2006,21.3
Central and Southern Asia,,2011,17
Central and Southern Asia,,2016,12
Central and Southern Asia,,2021,7
Chad,TCD,2019,24.2
Colombia,COL,2015,4.9
Comoros,COM,2012,10
Congo,COG,2015,6.9
Costa Rica,CRI,2018,2
Cote d'Ivoire,CIV,2016,7
Cuba,CUB,2019,4.8
Democratic Republic of Congo,COD,2018,8.4
Djibouti,DJI,2012,1.3
Dominican Republic,DOM,2019,9.4
Eastern Asia,,2001,0.4
Eastern Asia,,2006,0.4
Eastern Asia,,2011,0.3
Eastern Asia,,2016,0.3
Eastern Asia,,2021,0.2
Eastern and South-Eastern Asia,,2001,2
Eastern and South-Eastern Asia,,2006,1.6
Eastern and South-Eastern Asia,,2011,1.2
Eastern and South-Eastern Asia,,2016,1
Eastern and South-Eastern Asia,,2021,0.9
Ecuador,ECU,2018,3.8
Egypt,EGY,2014,2
El Salvador,SLV,2014,5.8
Equatorial Guinea,GNQ,2011,8.6
Eritrea,ERI,2010,12.9
Eswatini,SWZ,2014,0.8
Ethiopia,ETH,2016,14.1
Fiji,FJI,2021,0.2
Gabon,GAB,2012,5.6
Gambia,GMB,2020,5.6
Georgia,GEO,2018,0.3
Ghana,GHA,2018,5
Guatemala,GTM,2015,6.2
Guinea,GIN,2018,17
Guinea-Bissau,GNB,2019,8.1
Guyana,GUY,2020,6.3
Haiti,HTI,2017,2.1
Honduras,HND,2019,9.2
India,IND,2016,6.8
Indonesia,IDN,2017,2
Iran,IRN,2010,2.7
Iraq,IRQ,2018,7.2
Jamaica,JAM,2011,1.4
Jordan,JOR,2018,1.5
Kazakhstan,KAZ,2015,0.2
Kenya,KEN,2014,4.4
Kiribati,KIR,2019,2.4
Kyrgyzstan,KGZ,2018,0.3
Landlocked developing countries (LLDCs),,2001,14.7
Landlocked developing countries (LLDCs),,2006,13.5
Landlocked developing countries (LLDCs),,2011,13.5
Landlocked developing countries (LLDCs),,2016,11.8
Landlocked developing countries (LLDCs),,2021,9.1
Laos,LAO,2017,7.1
Latin America and the Caribbean,,2001,4.6
Latin America and the Caribbean,,2006,4.9
Latin America and the Caribbean,,2011,5.1
Latin America and the Caribbean,,2016,4.9
Latin America and the Caribbean,,2021,4
Least developed countries (LDCs),,2001,19.8
Least developed countries (LDCs),,2006,17
Least developed countries (LDCs),,2011,16.7
Least developed countries (LDCs),,2016,13.2
Least developed countries (LDCs),,2021,10.5
Lebanon,LBN,2016,1.4
Lesotho,LSO,2018,1
Liberia,LBR,2020,5.8
Lithuania,LTU,2020,0
Madagascar,MDG,2018,12.7
Malawi,MWI,2015,9
Maldives,MDV,2017,0
Mali,MLI,2018,15.9
Marshall Islands,MHL,2007,5.5
Mauritania,MRT,2015,17.8
Mexico,MEX,2018,3.6
Moldova,MDA,2012,0.4
Mongolia,MNG,2018,0.9
Montenegro,MNE,2018,1.9
Morocco,MAR,2018,0.5
Mozambique,MOZ,2015,16.8
Myanmar,MMR,2016,1.9
Namibia,NAM,2013,1.6
Nauru,NRU,2007,1.9
Nepal,NPL,2019,7.9
Nicaragua,NIC,2012,9.7
Niger,NER,2012,28
Nigeria,NGA,2018,15.7
North Korea,PRK,2017,0
North Macedonia,MKD,2019,0.3
Oceania (exc. Australia and New Zealand),,2001,5.8
Oceania (exc. Australia and New Zealand),,2006,7.9
Oceania (exc. Australia and New Zealand),,2011,9.3
Oceania (exc. Australia and New Zealand),,2016,8.3
Oceania (exc. Australia and New Zealand),,2021,7.1
Oman,OMN,2014,1.2
Pakistan,PAK,2018,3.6
Palestine,PSE,2020,0.7
Panama,PAN,2013,6.8
Papua New Guinea,PNG,2018,8
Paraguay,PRY,2016,3.6
Peru,PER,2020,2
Philippines,PHL,2017,2.2
Qatar,QAT,2012,0
Russia,RUS,2017,0.3
Rwanda,RWA,2020,0.3
Saint Lucia,LCA,2012,3.7
Samoa,WSM,2020,0.9
Sao Tome and Principe,STP,2019,5.4
Senegal,SEN,2019,8.8
Serbia,SRB,2019,1.2
Sierra Leone,SLE,2019,8.6
Singapore,SGP,2021,0
Small Island Developing States (SIDS),,2001,5.9
Small Island Developing States (SIDS),,2006,6.1
Small Island Developing States (SIDS),,2011,7.4
