Entity,Code,Year,"5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Male","5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Both sexes","5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Female"
Afghanistan,AFG,2016,,46.82207,
Algeria,DZA,2018,92.62223,87.87972,83.0695
Angola,AGO,2014,77.61143,78.63767,79.80268
Armenia,ARM,2017,72.56871,72.60673,72.63815
Armenia,ARM,2018,75.95236,76.42854,76.81744
Azerbaijan,AZE,2014,77.2075,73.9173,70.65596
Azerbaijan,AZE,2015,77.80999,74.1245,70.46501
Azerbaijan,AZE,2016,77.01012,73.41631,69.84266
Azerbaijan,AZE,2017,88.3795,84,79.72038
Azerbaijan,AZE,2018,87.74649,83.5,79.34035
Azerbaijan,AZE,2019,87.64452,83.5,79.43088
Azerbaijan,AZE,2020,88.12328,84.00001,79.94754
Azerbaijan,AZE,2013,,72.41433,
Bahrain,BHR,2015,100,99.99982,99.99949
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,99.99987,99.99992,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bahrain,BHR,2020,100,100,100
Belarus,BLR,2017,91.48085,93.48521,94.98769
Belarus,BLR,2018,93.68755,94.83765,95.69948
Belarus,BLR,2019,93.94575,95.26146,96.25902
Belarus,BLR,2020,94.59995,95.88722,96.88836
Brazil,BRA,2014,83.29628,84.35301,85.33574
Brazil,BRA,2015,82.19586,83.89088,85.45883
Brazil,BRA,2016,81.75765,82.89293,83.94552
Brazil,BRA,2017,82.57636,83.09513,83.57533
Brazil,BRA,2018,81.9544,83.02469,84.00814
Brazil,BRA,2019,83.14024,84.51941,85.78722
Brazil,BRA,2020,87.96096,88.99242,89.9102
British Virgin Islands,VGB,2016,75.59936,76.91455,78.23193
British Virgin Islands,VGB,2017,75.6002,76.89939,77.41622
Brunei,BRN,2016,99.00014,99,98.9999
Brunei,BRN,2019,90.86686,94,98.69971
Burundi,BDI,2013,19.62162,13.86783,8.73917
Burundi,BDI,2014,16.03089,11.43451,7.26547
Burundi,BDI,2017,25.33586,18.3808,11.87438
Cambodia,KHM,2017,25.7227,26.32022,26.89695
Cambodia,KHM,2018,62,62,62
Cameroon,CMR,2014,,75.36679,
Cape Verde,CPV,2015,74.09696,71.03512,68.45937
Cape Verde,CPV,2016,73.60644,72.38999,71.19209
Cape Verde,CPV,2017,74.66295,74.20583,73.75068
Cape Verde,CPV,2019,72.52672,71.67679,70.82632
Chile,CHL,2016,91.55596,95.32023,98.82035
Chile,CHL,2017,86.6711,92.01104,97.15276
"China, Hong Kong Special Administrative Region",,2014,95.53495,94.81363,94.15334
"China, Hong Kong Special Administrative Region",,2015,96.8042,96.05247,95.36566
"China, Hong Kong Special Administrative Region",,2016,96.9301,96.11976,95.38152
"China, Hong Kong Special Administrative Region",,2017,97.35859,96.81793,96.32777
"China, Hong Kong Special Administrative Region",,2018,97.08621,96.62149,96.19855
"China, Hong Kong Special Administrative Region",,2019,97.67923,97.06446,96.51044
"China, Hong Kong Special Administrative Region",,2020,97.49083,97.0802,96.71103
Colombia,COL,2014,68.03359,69.31919,70.56789
Colombia,COL,2015,70.08439,71.47384,72.81828
Colombia,COL,2016,70.9842,72.06032,73.10334
Colombia,COL,2017,71.80815,73.15218,74.45673
Colombia,COL,2018,70.94716,72.15799,73.33209
Colombia,COL,2019,71.90691,73.05917,74.17533
Costa Rica,CRI,2015,85.79635,86.01937,86.22934
Cote d'Ivoire,CIV,2017,81.38343,64.83367,47.19173
Cote d'Ivoire,CIV,2018,74.74524,66.42625,57.55876
Cote d'Ivoire,CIV,2019,71.03419,67.60973,64.33645
Cote d'Ivoire,CIV,2015,,54.59045,
Cote d'Ivoire,CIV,2016,,59.84077,
Cuba,CUB,2013,,19.07124,
Cuba,CUB,2014,,24.13331,
Cuba,CUB,2015,,31.92137,
Cuba,CUB,2016,,37.97265,
Cuba,CUB,2018,,51.4503,
Cuba,CUB,2019,,54.95194,
Cuba,CUB,2020,,63.02447,
Curacao,CUW,2017,86.45249,87.24882,87.89941
Cyprus,CYP,2014,98.30874,96.64527,95.12687
Cyprus,CYP,2015,99.32579,97.88419,96.52754
Cyprus,CYP,2016,96.50693,94.6476,92.93833
Cyprus,CYP,2018,99.10814,98.63963,98.1957
Cyprus,CYP,2017,,99.39767,98.67434
Czechia,CZE,2014,97.3838,96.83097,96.30083
Czechia,CZE,2015,97.17774,97.01434,96.85832
Czechia,CZE,2018,96.45834,95.99467,95.55424
Czechia,CZE,2019,96.58792,96.85865,97.11053
Denmark,DNK,2016,82.47347,82.81615,83.16165
Djibouti,DJI,2017,61.32238,56.33805,51.57404
Dominican Republic,DOM,2016,83.91635,83.93457,83.95208
Dominican Republic,DOM,2017,69.62973,69.34126,69.06376
Dominican Republic,DOM,2018,70.98021,70.69325,70.41201
Dominican Republic,DOM,2015,,91.89909,
Ecuador,ECU,2013,52.41172,51.28865,50.18718
Ecuador,ECU,2014,54.91596,53.94016,52.99205
Ecuador,ECU,2015,56.49554,55.43218,54.40938
Ecuador,ECU,2016,56.95458,56.11879,55.31205
Ecuador,ECU,2017,59.07826,58.51207,57.96369
Ecuador,ECU,2018,60.41609,59.01927,57.65558
Ecuador,ECU,2019,61.6705,59.90969,58.22952
Ecuador,ECU,2020,65.18559,62.89224,60.69108
Egypt,EGY,2014,82.92328,80.97892,78.9636
Egypt,EGY,2015,86.64496,84.78408,82.88217
Egypt,EGY,2016,90.673,87.49937,84.19906
Egypt,EGY,2017,98.55173,97.84326,97.12019
Egypt,EGY,2018,99.28536,98.25353,97.19726
Egypt,EGY,2019,99.84035,99.10462,98.36243
Egypt,EGY,2020,98.91132,99.40722,99.93247
El Salvador,SLV,2014,80.43027,79.11741,77.98258
El Salvador,SLV,2015,81.00778,79.64557,78.44556
Ethiopia,ETH,2015,,50,
