Entity,Code,Year,6.3.2 - Proportion of river water bodies with good ambient water quality (%) - EN_H2O_RVAMBQ,6.3.2 - Proportion of groundwater bodies with good ambient water quality (%) - EN_H2O_GRAMBQ,6.3.2 - Proportion of open water bodies with good ambient water quality (%) - EN_H2O_OPAMBQ,6.3.2 - Proportion of bodies of water with good ambient water quality (%) - EN_H2O_WBAMBQ
Africa,,2017,75.5987,,,68.34508
Africa,,2020,75.69357,,,72.70258
Americas,,2020,56.73872,,46.46316,57.35227
Andorra,AND,2017,100,75,,92.86
Andorra,AND,2020,86,,,86
Antigua and Barbuda,ATG,2020,,,0,0
Argentina,ARG,2020,0,21.88,,17.95
Australia,AUS,2020,,87,92,87.65
Australia and New Zealand,,2020,,84.12042,90.29046,87.13896
Austria,AUT,2017,80.12,94.57,91.94,80.44
Austria,AUT,2020,81.42,96.24,95.56,81.77
Belarus,BLR,2020,91.26,62.81,93.08,88.88
Belize,BLZ,2020,60,100,,78.95
Benin,BEN,2020,100,88.89,100,89.42
Bosnia and Herzegovina,BIH,2017,4.89,16.67,100,5.79
Bosnia and Herzegovina,BIH,2020,28.35,94.74,100,30.58
Botswana,BWA,2017,94.74,7.69,94.44,50
Botswana,BWA,2020,90,75,,78
Brazil,BRA,2017,71.75,64.86,33.62,63.25
Brazil,BRA,2020,75.87,67.86,46.96,71.02
Bulgaria,BGR,2017,99.12,28.05,100,69.85
Bulgaria,BGR,2020,98.96,25.61,100,65.56
Burkina Faso,BFA,2020,100,95.29,100,97.7
Burundi,BDI,2020,100,100,100,100
Canada,CAN,2020,82.19,,,82.19
Central America,,2020,53.9716,,59.80386,55.87609
Central Asia,,2020,72.53,,38.71,63.94
Chile,CHL,2017,85.64,,,85.64
Chile,CHL,2020,84.02,,,84.02
Costa Rica,CRI,2020,68.48,,,68.48
Cote d'Ivoire,CIV,2020,66.67,,100,80
Croatia,HRV,2020,55,91,71.43,55.85
Cyprus,CYP,2017,94.29,12.5,100,61.67
Cyprus,CYP,2020,94.12,9.09,100,61.4
Czechia,CZE,2017,100,40.99,0,67.01
Czechia,CZE,2020,97.45,37.89,100,88.19
Democratic Republic of Congo,COD,2020,66,,,66
Denmark,DNK,2020,54,75,38,53.42
Dominican Republic,DOM,2020,50,,88.89,70.59
Eastern Africa,,2017,83.05668,,68.46319,68.39966
