Entity,Code,Year,6.6.1 - Wetlands area (% of total land area) - EN_WBE_WTLP
Afghanistan,AFG,2017,0.25
Africa,,2017,2.73167
Albania,ALB,2017,0.19
Algeria,DZA,2017,0.14
American Samoa,ASM,2017,0.65
Americas,,2017,5.45328
Andorra,AND,2017,0.88
Angola,AGO,2017,4.78
Anguilla,AIA,2017,1.07
Antigua and Barbuda,ATG,2017,0.92
Argentina,ARG,2017,4.38
Armenia,ARM,2017,0.09
Aruba,ABW,2017,0.24
Asia,,2017,2.07957
Australia,AUS,2017,7.96
Australia and New Zealand,,2017,7.84147
Austria,AUT,2017,0.25
Azerbaijan,AZE,2017,0.26
Bahamas,BHS,2017,7.05
Bahrain,BHR,2017,0.19
Bangladesh,BGD,2017,57.7
Barbados,BRB,2017,63.05
Belgium,BEL,2017,0.19
Belize,BLZ,2017,7.69
Benin,BEN,2017,3.01
Bermuda,BMU,2017,0
Bhutan,BTN,2017,0.08
Bolivia,BOL,2017,6.49
Bosnia and Herzegovina,BIH,2017,0.09
Botswana,BWA,2017,3.08
Brazil,BRA,2017,2.52
British Indian Ocean Territory,IOT,2017,65.71
British Virgin Islands,VGB,2017,29.28
Brunei,BRN,2017,3.25
Bulgaria,BGR,2017,0.22
Burkina Faso,BFA,2017,1.12
Burundi,BDI,2017,0.91
Cambodia,KHM,2017,16.61
Cameroon,CMR,2017,2.91
Cape Verde,CPV,2017,0
Caribbean,,2017,2.38971
Cayman Islands,CYM,2017,13.44
Central African Republic,CAF,2017,0.88
Central America,,2017,1.72558
Central Asia,,2017,0.87878
Central and Southern Asia,,2017,2.39974
Chad,TCD,2017,1.26
Chile,CHL,2017,1.74
China,CHN,2017,0.66
"China, Hong Kong Special Administrative Region",,2017,0.43
Christmas Island,CXR,2017,0
Cocos Islands,CCK,2017,0
Colombia,COL,2017,5.1
Comoros,COM,2017,0.1
Congo,COG,2017,26.81
Cook Islands,COK,2017,0
Costa Rica,CRI,2017,0.76
Cote d'Ivoire,CIV,2017,1.38
Croatia,HRV,2017,0.33
Cuba,CUB,2017,2.9
Cyprus,CYP,2017,0.78
Czechia,CZE,2017,0.16
Democratic Republic of Congo,COD,2017,10.11
Denmark,DNK,2017,0.91
Djibouti,DJI,2017,0.18
Dominica,DMA,2017,0.44
Dominican Republic,DOM,2017,0.9
Eastern Africa,,2017,2.64152
Eastern Asia,,2017,0.5852
Eastern Europe,,2017,7.18772
Eastern and South-Eastern Asia,,2017,2.42143
Ecuador,ECU,2017,1.3
Egypt,EGY,2017,2.43
El Salvador,SLV,2017,0.32
Equatorial Guinea,GNQ,2017,1.78
Eritrea,ERI,2017,0.3
Estonia,EST,2017,4.23
Eswatini,SWZ,2017,0.93
Ethiopia,ETH,2017,2.83
Europe,,2017,6.25236
Europe and Northern America,,2017,6.87611
Faeroe Islands,FRO,2017,0
Falkland Islands,FLK,2017,0.26
Fiji,FJI,2017,1.48
France,FRA,2017,0.33
French Guiana,GUF,2017,2.01
French Polynesia,PYF,2017,0.28
French Southern Territories,ATF,2017,0
Gabon,GAB,2017,2.3
Gambia,GMB,2017,6.74
Georgia,GEO,2017,0.13
Ghana,GHA,2017,3.99
Gibraltar,GIB,2017,0
Greece,GRC,2017,0.16
Greenland,GRL,2017,0.57
Grenada,GRD,2017,0.02
Guadeloupe,GLP,2017,0.88
Guam,GUM,2017,13.73
Guatemala,GTM,2017,0.65
Guernsey,GGY,2017,0.14
Guinea,GIN,2017,1.8
Guinea-Bissau,GNB,2017,5.11
Guyana,GUY,2017,6.09
Haiti,HTI,2017,1.64
Heard Island and McDonald Islands,HMD,2017,0
Honduras,HND,2017,4.24
Hungary,HUN,2017,0.69
Iceland,ISL,2017,0.94
India,IND,2017,2.65
Indonesia,IDN,2017,10.27
Iran,IRN,2017,0.5
Iraq,IRQ,2017,0.86
Ireland,IRL,2017,4.94
Isle of Man,IMN,2017,2.19
Israel,ISR,2017,2.27
Italy,ITA,2017,0.31
Jamaica,JAM,2017,0.77
Japan,JPN,2017,0.86
Jersey,JEY,2017,0.43
Jordan,JOR,2017,0.07
Kazakhstan,KAZ,2017,0.73
Kenya,KEN,2017,0.74
Kiribati,KIR,2017,0
Kuwait,KWT,2017,0.2
Kyrgyzstan,KGZ,2017,0.16
Landlocked developing countries (LLDCs),,2017,1.93389
Laos,LAO,2017,0.59
Latin America and the Caribbean,,2017,3.45878
Latvia,LVA,2017,2.79
Least developed countries (LDCs),,2017,3.56996
Lebanon,LBN,2017,1.11
Lesotho,LSO,2017,0.01
Liberia,LBR,2017,2.56
Libya,LBY,2017,0.06
Liechtenstein,LIE,2017,0.97
Lithuania,LTU,2017,1
Luxembourg,LUX,2017,0.03
Madagascar,MDG,2017,2.92
Malawi,MWI,2017,2.07
Malaysia,MYS,2017,1.95
Mali,MLI,2017,1.53
Malta,MLT,2017,0
Marshall Islands,MHL,2017,0
Martinique,MTQ,2017,0.38
Mauritania,MRT,2017,0.22
Mauritius,MUS,2017,1.82
Mayotte,MYT,2017,0.24
Melanesia,OWID_MNS,2017,13.08206
Mexico,MEX,2017,1.46
Micronesia (country),FSM,2017,0
Middle Africa,,2017,6.49371
Moldova,MDA,2017,0.53
Monaco,MCO,2017,0
Mongolia,MNG,2017,0.13
Montenegro,MNE,2017,0.52
Montserrat,MSR,2017,0.63
Morocco,MAR,2017,0.36
Mozambique,MOZ,2017,1.84
Myanmar,MMR,2017,1.99
Namibia,NAM,2017,0.6
Nauru,NRU,2017,0
Nepal,NPL,2017,0.81
Netherlands Antilles,ANT,2017,17.16
New Caledonia,NCL,2017,7.04
New Zealand,NZL,2017,4.38
Nicaragua,NIC,2017,4.77
Niger,NER,2017,0.23
Nigeria,NGA,2017,4.63
Niue,NIU,2017,0
Norfolk Island,NFK,2017,0
North Korea,PRK,2017,0.18
North Macedonia,MKD,2017,0.22
Northern Africa,,2017,0.55445
Northern Africa and Western Asia,,2017,0.41114
Northern America,,2017,7.62143
Northern Europe,,2017,4.59228
Northern Mariana Islands,MNP,2017,2.76
Norway,NOR,2017,2.75
Oceania,,2017,8.15907
Oceania (exc. Australia and New Zealand),,2017,12.8303
Oman,OMN,2017,0.02
Pakistan,PAK,2017,5.54
Palau,PLW,2017,0
Panama,PAN,2017,0.73
Papua New Guinea,PNG,2017,14.45
Paraguay,PRY,2017,8.8
Peru,PER,2017,2.98
Philippines,PHL,2017,3.46
Pitcairn,PCN,2017,0
Poland,POL,2017,0.68
Polynesia,OWID_PYA,2017,0.37542
Portugal,PRT,2017,0.26
Puerto Rico,PRI,2017,0.13
Qatar,QAT,2017,0.1
Reunion,REU,2017,0.6
Romania,ROU,2017,1.45
Russia,RUS,2017,7.83
Rwanda,RWA,2017,2.2
Saint Helena,SHN,2017,0.29
Saint Kitts and Nevis,KNA,2017,0
Saint Lucia,LCA,2017,0.02
Saint Pierre and Miquelon,SPM,2017,16.4
Saint Vincent and the Grenadines,VCT,2017,0.08
Samoa,WSM,2017,0.16
San Marino,SMR,2017,0
Sao Tome and Principe,STP,2017,0.8
Saudi Arabia,SAU,2017,0.01
Senegal,SEN,2017,1.49
Serbia,SRB,2017,0.15
Seychelles,SYC,2017,11.5
Sierra Leone,SLE,2017,3.88
Singapore,SGP,2017,2.26
Slovakia,SVK,2017,0.15
Slovenia,SVN,2017,0.18
Small Island Developing States (SIDS),,2017,8.26365
Solomon Islands,SLB,2017,6.52
Somalia,SOM,2017,0.41
South Africa,ZAF,2017,0.5
South America,,2017,3.7158
South Georgia and the South Sandwich Islands,SGS,2017,0
South Korea,KOR,2017,0.1
South Sudan,SSD,2017,21.22
South-eastern Asia,,2017,7.28861
Southern Africa,,2017,1.07986
Southern Asia,,2017,3.33261
Southern Europe,,2017,0.2304
Spain,ESP,2017,0.21
Sri Lanka,LKA,2017,9.02
Sub-Saharan Africa,,2017,3.34631
Sudan,SDN,2017,1.1
Suriname,SUR,2017,5.09
Svalbard and Jan Mayen,SJM,2017,0.15
Switzerland,CHE,2017,0.34
Syria,SYR,2017,0.84
Tajikistan,TJK,2017,1.15
Tanzania,TZA,2017,2.63
Thailand,THA,2017,5.6
Timor,TLS,2017,1.27
Togo,TGO,2017,1.08
Tokelau,TKL,2017,0
Tonga,TON,2017,2.01
Trinidad and Tobago,TTO,2017,4.05
Tunisia,TUN,2017,1.93
Turkey,TUR,2017,0.29
Turkmenistan,TKM,2017,1.14
Turks and Caicos Islands,TCA,2017,2.23
Tuvalu,TUV,2017,0
Uganda,UGA,2017,3.26
Ukraine,UKR,2017,0.9
United Arab Emirates,ARE,2017,0.05
United Kingdom,GBR,2017,5.58
United States,USA,2017,7.4
United States Virgin Islands,VIR,2017,4.09
Uruguay,URY,2017,1.58
Uzbekistan,UZB,2017,1.77
Vanuatu,VUT,2017,3.78
Vatican,VAT,2017,0
Venezuela,VEN,2017,8.82
Vietnam,VNM,2017,12.56
Wallis and Futuna,WLF,2017,0
Western Africa,,2017,1.66901
Western Asia,,2017,0.20441
Western Europe,,2017,0.48889
Western Sahara,ESH,2017,0.04
World,OWID_WRL,2017,4.36872
Yemen,YEM,2017,0.16
Zambia,ZMB,2017,7.84
Zimbabwe,ZWE,2017,0.56
