Entity,Code,Year,6.6.1 - Mangrove total area change (%) - EN_WBE_MANGC
American Samoa,ASM,2000,0
American Samoa,ASM,2007,0
American Samoa,ASM,2008,0
American Samoa,ASM,2009,0
American Samoa,ASM,2010,0
American Samoa,ASM,2015,0
American Samoa,ASM,2016,0
Americas,,2000,0
Americas,,2007,-3.55245
Americas,,2008,-3.35505
Americas,,2009,-3.50934
Americas,,2010,-5.29153
Americas,,2015,-6.34749
Americas,,2016,-6.53915
Angola,AGO,2000,0
Angola,AGO,2007,-2.39
Angola,AGO,2008,-2.22
Angola,AGO,2009,-2.5
Angola,AGO,2010,-3.38
Angola,AGO,2015,-2.57
Angola,AGO,2016,-2.52
Anguilla,AIA,2000,0
Anguilla,AIA,2007,0
Anguilla,AIA,2008,0
Anguilla,AIA,2009,0
Anguilla,AIA,2010,-68.42
Anguilla,AIA,2015,-73.68
Anguilla,AIA,2016,-68.42
Antigua and Barbuda,ATG,2000,0
Antigua and Barbuda,ATG,2007,0
Antigua and Barbuda,ATG,2008,0.16
Antigua and Barbuda,ATG,2009,-0.17
Antigua and Barbuda,ATG,2010,-2.22
Antigua and Barbuda,ATG,2015,-2.78
Antigua and Barbuda,ATG,2016,-2.15
Aruba,ABW,2000,0
Aruba,ABW,2007,-37.72
Aruba,ABW,2008,-37.72
Aruba,ABW,2009,-37.72
Aruba,ABW,2010,-37.72
Aruba,ABW,2015,-37.72
Aruba,ABW,2016,-37.72
Asia,,2000,0
Asia,,2007,-2.15864
Asia,,2008,-2.47001
Asia,,2009,-2.96674
Asia,,2010,-3.22108
Asia,,2015,-2.82999
Asia,,2016,-2.3359
Australia,AUS,2000,0
Australia,AUS,2007,-0.94
Australia,AUS,2008,-0.81
Australia,AUS,2009,-0.79
Australia,AUS,2010,-0.59
Australia,AUS,2015,-2.84
Australia,AUS,2016,-2.82
Australia and New Zealand,,2000,0
Australia and New Zealand,,2007,-1.03577
Australia and New Zealand,,2008,-0.90014
Australia and New Zealand,,2009,-0.88942
Australia and New Zealand,,2010,-0.76995
Australia and New Zealand,,2015,-2.89965
Australia and New Zealand,,2016,-2.88024
Bahamas,BHS,2000,0
Bahamas,BHS,2007,-4.5
Bahamas,BHS,2008,-4.52
Bahamas,BHS,2009,-4.71
Bahamas,BHS,2010,-8.37
Bahamas,BHS,2015,-8.46
Bahamas,BHS,2016,-10.12
Bahrain,BHR,2000,0
Bahrain,BHR,2007,-13.64
Bahrain,BHR,2008,-4.76
Bahrain,BHR,2009,-4.76
Bahrain,BHR,2010,-2.43
Bahrain,BHR,2015,0
Bahrain,BHR,2016,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2007,-0.05
Bangladesh,BGD,2008,-0.11
Bangladesh,BGD,2009,-0.23
Bangladesh,BGD,2010,0.05
Bangladesh,BGD,2015,-0.98
Bangladesh,BGD,2016,-1.29
Barbados,BRB,2000,0
Barbados,BRB,2007,0
Barbados,BRB,2008,0
Barbados,BRB,2009,0
Barbados,BRB,2010,0
Barbados,BRB,2015,0
Barbados,BRB,2016,0
Belize,BLZ,2000,0
Belize,BLZ,2007,-2.09
Belize,BLZ,2008,-1.51
Belize,BLZ,2009,-1.91
Belize,BLZ,2010,-16.6
Belize,BLZ,2015,-9.51
Belize,BLZ,2016,-10.34
Benin,BEN,2000,0
Benin,BEN,2007,-31.42
Benin,BEN,2008,-24.72
Benin,BEN,2009,-25.24
Benin,BEN,2010,-32.89
Benin,BEN,2015,40.25
Benin,BEN,2016,16.41
Bonaire Sint Eustatius and Saba,BES,2000,0
Bonaire Sint Eustatius and Saba,BES,2007,-14.96
Bonaire Sint Eustatius and Saba,BES,2008,-16.5
Bonaire Sint Eustatius and Saba,BES,2009,-16.99
Bonaire Sint Eustatius and Saba,BES,2010,-22.68
Bonaire Sint Eustatius and Saba,BES,2015,-18.98
Bonaire Sint Eustatius and Saba,BES,2016,-22.2
Brazil,BRA,2000,0
Brazil,BRA,2007,-2.33
Brazil,BRA,2008,-2.27
Brazil,BRA,2009,-2.24
Brazil,BRA,2010,-2.15
Brazil,BRA,2015,-3.39
Brazil,BRA,2016,-3.14
British Virgin Islands,VGB,2000,0
British Virgin Islands,VGB,2007,0
British Virgin Islands,VGB,2008,0
British Virgin Islands,VGB,2009,0
British Virgin Islands,VGB,2010,0
British Virgin Islands,VGB,2015,0
British Virgin Islands,VGB,2016,-99.95
Brunei,BRN,2000,0
Brunei,BRN,2007,-2.53
