Entity,Code,Year,"12.2.1 - Material footprint per capita, by type of raw material (tonnes) - EN_MAT_FTPRPC"
World,OWID_WRL,2000,9.30172
World,OWID_WRL,2001,9.32454
World,OWID_WRL,2002,9.39979
World,OWID_WRL,2003,9.65914
World,OWID_WRL,2004,10.05758
World,OWID_WRL,2005,10.31011
World,OWID_WRL,2006,10.65219
World,OWID_WRL,2007,10.94037
World,OWID_WRL,2008,10.96798
World,OWID_WRL,2009,10.89173
World,OWID_WRL,2010,11.36242
World,OWID_WRL,2011,11.94045
World,OWID_WRL,2012,12.24831
World,OWID_WRL,2013,12.54505
World,OWID_WRL,2014,12.60235
World,OWID_WRL,2015,12.44004
World,OWID_WRL,2016,12.3373
World,OWID_WRL,2017,12.34808
World,OWID_WRL,2018,12.28561
World,OWID_WRL,2019,12.43804
