Entity,Code,Year,"8.8.1 - Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_FTLINJUR - Both sexes - No breakdown"
Algeria,DZA,2000,27.3
Algeria,DZA,2001,23.2
Algeria,DZA,2002,20.9
Algeria,DZA,2003,19
Algeria,DZA,2004,17.6
Argentina,ARG,2000,18.6
Argentina,ARG,2002,15.2
Argentina,ARG,2003,15.2
Argentina,ARG,2004,15
Argentina,ARG,2005,14.3
Argentina,ARG,2006,14.9
Argentina,ARG,2007,14.1
Argentina,ARG,2009,10.6
Argentina,ARG,2010,10.9
Argentina,ARG,2011,7.7
Argentina,ARG,2012,6.8
Argentina,ARG,2014,4.7
Argentina,ARG,2015,4.9
Argentina,ARG,2016,4.2
Argentina,ARG,2017,4.4
Argentina,ARG,2018,3.7
Armenia,ARM,2013,1.9
Armenia,ARM,2018,13.6
Armenia,ARM,2019,4.4
Australia,AUS,2000,2
Australia,AUS,2001,2.6
Australia,AUS,2002,2.4
Australia,AUS,2003,2.3
Australia,AUS,2004,2.1
Australia,AUS,2005,2
Australia,AUS,2006,2.1
Australia,AUS,2007,2
Australia,AUS,2008,2.1
Australia,AUS,2009,2.7
Australia,AUS,2010,2
Australia,AUS,2011,2
Australia,AUS,2012,2
Australia,AUS,2013,1.7
Australia,AUS,2014,1.6
Australia,AUS,2015,1.7
Australia,AUS,2017,1.6
Austria,AUT,2000,5.3
Austria,AUT,2001,4.5
Austria,AUT,2002,4.7
Austria,AUT,2003,3.8
Austria,AUT,2004,5
Austria,AUT,2005,4.6
Austria,AUT,2006,3.9
Austria,AUT,2007,3.9
Austria,AUT,2008,4.1
Austria,AUT,2009,4.8
Austria,AUT,2010,4.5
Austria,AUT,2011,3
Austria,AUT,2012,3.4
Austria,AUT,2013,3.5
Austria,AUT,2014,3.1
Austria,AUT,2015,3.2
Austria,AUT,2016,2
Azerbaijan,AZE,2000,4
Azerbaijan,AZE,2001,3
Azerbaijan,AZE,2002,6
Azerbaijan,AZE,2003,6
Azerbaijan,AZE,2004,8
Azerbaijan,AZE,2005,6
Azerbaijan,AZE,2006,8
Azerbaijan,AZE,2007,13
Azerbaijan,AZE,2008,7
Azerbaijan,AZE,2016,4
Azerbaijan,AZE,2017,4
Azerbaijan,AZE,2018,3
Azerbaijan,AZE,2019,4
Azerbaijan,AZE,2020,3
Bahrain,BHR,2000,10
Bahrain,BHR,2001,5.9
Bahrain,BHR,2002,7.5
Bahrain,BHR,2003,10
Bahrain,BHR,2004,5
Bahrain,BHR,2005,10
Bahrain,BHR,2006,8
Bahrain,BHR,2007,7
Bahrain,BHR,2008,5
Bahrain,BHR,2020,0.6
Barbados,BRB,2016,0.8
Belarus,BLR,2000,6.4
Belarus,BLR,2001,5.8
Belarus,BLR,2002,5.9
Belarus,BLR,2003,5.6
Belarus,BLR,2004,6.4
Belarus,BLR,2005,6.1
Belarus,BLR,2006,5.8
Belarus,BLR,2007,5.4
Belarus,BLR,2008,5.1
Belarus,BLR,2009,4.9
Belarus,BLR,2010,5.1
Belarus,BLR,2011,4.4
Belarus,BLR,2012,3.9
Belarus,BLR,2013,3.8
