Entity,Code,Year,8.9.1 - Tourism direct GDP as a proportion of total GDP (%) - ST_GDP_ZS
Australia,AUS,2008,2.9
Australia,AUS,2009,2.8
Australia,AUS,2010,2.7
Australia,AUS,2011,2.7
Australia,AUS,2012,2.8
Australia,AUS,2013,2.9
Australia,AUS,2014,2.9
Australia,AUS,2015,3.1
Australia,AUS,2016,3
Australia,AUS,2017,3.1
Australia,AUS,2018,3.1
Australia and New Zealand,,2008,3.2
Australia and New Zealand,,2009,3.1
Australia and New Zealand,,2010,3
Australia and New Zealand,,2011,2.9
Australia and New Zealand,,2012,3
Australia and New Zealand,,2013,3.2
Australia and New Zealand,,2014,3.2
Australia and New Zealand,,2015,3.4
Australia and New Zealand,,2016,3.4
Australia and New Zealand,,2017,3.4
Australia and New Zealand,,2018,3.6
Australia and New Zealand,,2019,3.7
Austria,AUT,2008,6.1
Austria,AUT,2009,6.1
Austria,AUT,2010,6.5
Austria,AUT,2011,6.5
Austria,AUT,2012,6.4
Austria,AUT,2013,6.4
Austria,AUT,2014,6.4
Austria,AUT,2015,6.3
Austria,AUT,2016,6.3
Austria,AUT,2017,6.4
Austria,AUT,2018,6.5
Bahrain,BHR,2017,7.6
Bahrain,BHR,2018,6.3
Belarus,BLR,2014,1.8
Belarus,BLR,2016,2.2
Belarus,BLR,2018,2.5
Bermuda,BMU,2008,4.9
Bermuda,BMU,2009,4.3
Bermuda,BMU,2010,5.2
Bermuda,BMU,2011,5.7
Bermuda,BMU,2012,5.2
Bermuda,BMU,2013,5
Bermuda,BMU,2014,4.6
Bermuda,BMU,2015,4.2
Bermuda,BMU,2016,4.7
Bermuda,BMU,2017,4.8
Bermuda,BMU,2018,5.3
Bermuda,BMU,2019,5.1
Botswana,BWA,2009,3.7
Botswana,BWA,2016,4.9
Brunei,BRN,2010,0.8
Brunei,BRN,2011,0.7
Brunei,BRN,2012,0.6
Brunei,BRN,2013,0.7
Brunei,BRN,2014,0.7
Brunei,BRN,2015,0.8
Brunei,BRN,2016,0.8
Canada,CAN,2008,2
Canada,CAN,2009,2
Canada,CAN,2010,2
Canada,CAN,2011,2
Canada,CAN,2012,2
Canada,CAN,2013,1.9
Canada,CAN,2014,1.9
Canada,CAN,2015,2
Canada,CAN,2016,2
Canada,CAN,2017,2
Canada,CAN,2018,2.1
Canada,CAN,2019,2
Central and Southern Asia,,2008,3.5
Central and Southern Asia,,2009,2.9
Central and Southern Asia,,2010,2.9
Central and Southern Asia,,2011,2.9
Central and Southern Asia,,2012,3.2
Central and Southern Asia,,2013,3
Central and Southern Asia,,2014,2.8
Central and Southern Asia,,2015,2.7
Central and Southern Asia,,2016,2.6
Central and Southern Asia,,2017,2.4
Central and Southern Asia,,2018,2.4
Central and Southern Asia,,2019,2.4
Chile,CHL,2008,3.6
Chile,CHL,2009,3.4
Chile,CHL,2010,3.2
Chile,CHL,2011,3.1
Chile,CHL,2012,3.2
"China, Hong Kong Special Administrative Region",,2008,2.8
"China, Hong Kong Special Administrative Region",,2009,3.2
"China, Hong Kong Special Administrative Region",,2010,4.3
"China, Hong Kong Special Administrative Region",,2011,4.5
"China, Hong Kong Special Administrative Region",,2012,4.7
"China, Hong Kong Special Administrative Region",,2013,5
"China, Hong Kong Special Administrative Region",,2014,5.1
"China, Hong Kong Special Administrative Region",,2015,5
"China, Hong Kong Special Administrative Region",,2016,4.7
"China, Hong Kong Special Administrative Region",,2017,4.5
"China, Hong Kong Special Administrative Region",,2018,4.5
Colombia,COL,2008,2.6
Colombia,COL,2009,2.5
Colombia,COL,2010,2.4
Colombia,COL,2011,2.2
Colombia,COL,2012,2.1
Colombia,COL,2013,2.1
Colombia,COL,2014,2.1
Colombia,COL,2015,1.9
Colombia,COL,2016,2
Colombia,COL,2017,2
Colombia,COL,2018,2
Costa Rica,CRI,2012,4.4
Costa Rica,CRI,2013,4.7
Costa Rica,CRI,2014,4.6
Costa Rica,CRI,2015,4.7
Costa Rica,CRI,2016,5
Cote d'Ivoire,CIV,2012,2.4
Cote d'Ivoire,CIV,2013,3.6
Cote d'Ivoire,CIV,2014,4.8
Cote d'Ivoire,CIV,2015,5.2
Cote d'Ivoire,CIV,2016,5.5
Cote d'Ivoire,CIV,2017,5.9
Cote d'Ivoire,CIV,2018,6.3
Cote d'Ivoire,CIV,2019,7.3
Croatia,HRV,2011,10.3
Croatia,HRV,2016,11.4
Czechia,CZE,2008,2.6
Czechia,CZE,2009,2.7
Czechia,CZE,2010,2.5
Czechia,CZE,2011,2.5
Czechia,CZE,2012,2.7
Czechia,CZE,2013,2.9
Czechia,CZE,2014,2.7
Czechia,CZE,2015,2.8
Czechia,CZE,2016,2.9
Czechia,CZE,2017,2.9
Czechia,CZE,2018,2.9
Denmark,DNK,2008,1.7
Denmark,DNK,2010,2
Denmark,DNK,2011,1.5
Denmark,DNK,2012,1.5
Denmark,DNK,2013,1.7
Denmark,DNK,2014,1.9
Denmark,DNK,2015,1.9
Denmark,DNK,2016,1.9
Denmark,DNK,2017,2.4
Denmark,DNK,2018,2.3
Eastern and South-Eastern Asia,,2008,4.4
Eastern and South-Eastern Asia,,2009,4.6
Eastern and South-Eastern Asia,,2010,4.6
Eastern and South-Eastern Asia,,2011,4.9
Eastern and South-Eastern Asia,,2012,5.1
Eastern and South-Eastern Asia,,2013,5.5
Eastern and South-Eastern Asia,,2014,5.8
Eastern and South-Eastern Asia,,2015,4.6
Eastern and South-Eastern Asia,,2016,4.5
Eastern and South-Eastern Asia,,2017,4.6
Eastern and South-Eastern Asia,,2018,4.6
Eastern and South-Eastern Asia,,2019,4.8
Ecuador,ECU,2008,1.8
Ecuador,ECU,2009,1.7
Ecuador,ECU,2010,1.7
Ecuador,ECU,2011,1.9
Ecuador,ECU,2012,1.9
Ecuador,ECU,2013,1.9
Ecuador,ECU,2014,2
Ecuador,ECU,2015,1.9
Ecuador,ECU,2016,1.9
Ecuador,ECU,2017,1.9
Ecuador,ECU,2018,1.9
Ecuador,ECU,2019,2
Egypt,EGY,2009,5.6
Egypt,EGY,2010,6.3
Egypt,EGY,2012,4.8
Egypt,EGY,2013,3.9
Egypt,EGY,2014,4.3
Estonia,EST,2008,4.2
Estonia,EST,2009,4.7
Estonia,EST,2010,4.5
Estonia,EST,2011,4.4
Estonia,EST,2012,4.3
Estonia,EST,2013,4.7
Estonia,EST,2014,5.4
Eswatini,SWZ,2013,0.5
Europe,,2008,3.9
Europe,,2009,3.9
Europe,,2010,3.9
Europe,,2011,3.9
Europe,,2012,4
Europe,,2013,4
