Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,14.82,13.5,16.19,11.81,15.31,15.61,16.16
2001,15.28,13.65,16.36,12.2,16.08,15.91,16.76
2002,15.88,13.86,16.56,12.63,16.12,16.36,17.22
2003,16.36,13.75,16.67,12.51,16.4,16.43,17.51
2004,16.93,13.94,16.46,13.28,17.22,16.79,17.93
2005,17.13,13.91,16.67,13.68,17.78,16.61,17.94
2006,16.78,14,16.93,13.72,17.9,17.31,18.57
2007,17.06,13.95,17.41,13.48,18.27,17.23,18.5
2008,17.28,13.92,17.46,13.86,18.13,16.65,18.21
2009,17.32,13.96,17.64,13.71,18.08,17.32,18.2
2010,17.36,13.9,17.45,14.01,18.94,17.09,18.4
2011,17.57,13.95,17.97,13.74,21.73,17.62,18.85
2012,18.08,13.91,18.23,13.17,22.26,17.65,19.64
2013,18.41,14.05,18.7,13.05,22.27,18.15,20.37
2014,18.85,14.22,19.16,13.15,22.62,18.48,21.48
2015,18.94,14.59,19.5,13.1,23.21,18.74,22.31
2016,18.84,15.2,19.58,13.23,23.21,19.09,22.4
2017,18.69,15.21,19.92,13.12,24.32,18.94,22.41
2018,18.56,15.27,19.98,13.24,24.34,19.15,22.4
2019,18.58,15.06,20.13,13.18,24.21,19.68,22.35
2020,,,,,,,
