Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,19.1,29.15,47.84,42.92,44.55,77.01,34.15
2001,19.26,31.43,56.38,44.15,44.85,78.79,34.59
2002,19.58,31.48,56.75,44.64,45.27,79.24,34.81
2003,19.94,36.12,57.53,48.23,45.39,80.54,34.98
2004,19.97,46.97,68.42,53.84,46.07,81.36,35.19
2005,22.74,50.12,68.86,62.66,47.43,83.31,35.34
2006,22.81,56.6,71.42,65.43,48.17,84.05,35.75
2007,22.85,58.94,76.04,67.81,48.62,84.08,36.2
2008,24,62.53,77.51,67.82,48.9,84.11,36.47
2009,24.27,63.33,77.85,72.31,49.26,84.42,36.62
2010,26.99,63.34,77.89,72.31,50.03,85.76,36.8
2011,27.06,64.67,77.99,72.31,51.03,85.79,36.99
2012,27.06,65.85,78.06,72.37,53.99,85.79,37.34
2013,27.09,66.56,78.33,72.63,60.49,85.79,37.86
2014,27.35,67.19,78.44,72.81,62.38,85.9,37.96
2015,27.57,68.05,78.5,73.2,63.02,85.9,38.03
2016,27.9,68.7,78.59,73.5,63.31,85.9,38.19
2017,29.42,69.83,78.69,75.21,63.64,86.18,38.24
2018,29.89,75.97,79.13,75.76,64.28,86.34,38.29
2019,29.95,80.94,79.13,75.92,64.31,86.35,38.29
2020,30,80.94,79.13,75.92,64.31,86.35,38.29
