Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,1.755869985,2.107670069,2.347790003,0.980650008,2.892829895,1.627920032,2.549649954
2000,1.864689946,2.093460083,2.40982008,1.003640056,2.905689955,1.617120028,2.628789902
2001,2.028310061,2.138040066,2.40437007,1.040699959,2.971829891,1.604769945,2.648299932
2002,1.978729963,2.174489975,2.436219931,1.081240058,3.013940096,1.614969969,2.559259892
2003,1.974779963,2.119940042,2.47461009,1.058940053,3.042949915,1.582389951,2.564549923
2004,2.004159927,2.094609976,2.435189962,1.050250053,3.029520035,1.533800006,2.502429962
2005,1.977589965,2.051510096,2.441930056,1.044350028,3.180989981,1.552790046,2.516969919
2006,1.948719978,2.050940037,2.47232008,1.084010005,3.278439999,1.573169947,2.557640076
2007,1.908570051,2.024509907,2.460479975,1.128990054,3.339600086,1.612890005,2.631609917
2008,1.860399961,2.061170101,2.615129948,1.159719944,3.337179899,1.612720013,2.767910004
2009,1.92227006,2.212069988,2.742660046,1.217869997,3.231400013,1.671249986,2.812700033
2010,1.829579949,2.178570032,2.730240107,1.217970014,3.137079954,1.645640016,2.735399961
2011,1.791319966,2.191610098,2.805550098,1.201550007,3.24477005,1.649590015,2.765249968
2012,1.772320032,2.227070093,2.881659985,1.262189984,3.209079981,1.577160001,2.681659937
2013,1.70539999,2.237030029,2.835989952,1.301069975,3.314960003,1.620280027,2.709719896
2014,1.714169979,2.275919914,2.877840042,1.338400006,3.400219917,1.643399954,2.71923995
2015,1.693240047,2.267030001,2.930030107,1.338500023,3.281650066,1.649850011,2.717420101
2016,1.728729963,2.222379923,2.940989971,1.366420031,3.157860041,1.660230041,2.761450052
2017,1.668859959,2.203480005,3.06791997,1.370129943,3.207979918,1.680220008,2.817409992
2018,1.562870026,2.192939997,3.132669926,1.39181006,3.27512002,1.702739954,2.832829952
2019,1.542659998,,,,,,
2020,,,,,,,
