Entity,Code,Year,"1.a.1 - Official development assistance grants for poverty reduction, by donor countries (percentage of GNI) - DC_ODA_POVDLG"
Australia,AUS,2000,0.07
Australia,AUS,2001,0.04
Australia,AUS,2002,0.04
Australia,AUS,2003,0.03
Australia,AUS,2004,0.02
Australia,AUS,2005,0.03
Australia,AUS,2006,0.02
Australia,AUS,2007,0.02
Australia,AUS,2008,0.03
Australia,AUS,2009,0.03
Australia,AUS,2010,0.03
Australia,AUS,2011,0.04
Australia,AUS,2012,0.04
Australia,AUS,2013,0.03
Australia,AUS,2014,0.03
Australia,AUS,2015,0.03
Australia,AUS,2016,0.02
Australia,AUS,2017,0.02
Australia,AUS,2018,0.03
Austria,AUT,2000,0.01
Austria,AUT,2001,0.01
Austria,AUT,2002,0.01
Austria,AUT,2003,0.01
Austria,AUT,2004,0.01
Austria,AUT,2005,0.01
Austria,AUT,2006,0.01
Austria,AUT,2007,0.01
Austria,AUT,2008,0.01
Austria,AUT,2009,0.01
Austria,AUT,2010,0.01
Austria,AUT,2011,0.01
Austria,AUT,2012,0.01
Austria,AUT,2013,0.01
Austria,AUT,2014,0.01
Austria,AUT,2015,0.01
Austria,AUT,2016,0.01
Austria,AUT,2017,0
Austria,AUT,2018,0.01
Azerbaijan,AZE,2014,0
Azerbaijan,AZE,2016,0
Azerbaijan,AZE,2018,0
Belgium,BEL,2000,0.03
Belgium,BEL,2001,0.03
Belgium,BEL,2002,0.04
Belgium,BEL,2003,0.03
Belgium,BEL,2004,0.03
Belgium,BEL,2005,0.03
Belgium,BEL,2006,0.04
Belgium,BEL,2007,0.03
Belgium,BEL,2008,0.03
Belgium,BEL,2009,0.03
Belgium,BEL,2010,0.03
Belgium,BEL,2011,0.03
Belgium,BEL,2012,0.03
Belgium,BEL,2013,0.02
Belgium,BEL,2014,0.03
Belgium,BEL,2015,0.02
Belgium,BEL,2016,0.02
Belgium,BEL,2017,0.02
Belgium,BEL,2018,0.02
Canada,CAN,2000,0.02
Canada,CAN,2001,0.02
Canada,CAN,2002,0.01
Canada,CAN,2003,0.02
Canada,CAN,2004,0.02
Canada,CAN,2005,0.03
Canada,CAN,2006,0.02
Canada,CAN,2007,0.03
Canada,CAN,2008,0.04
Canada,CAN,2009,0.04
Canada,CAN,2010,0.04
Canada,CAN,2011,0.04
Canada,CAN,2012,0.04
Canada,CAN,2013,0.04
Canada,CAN,2014,0.03
Canada,CAN,2015,0.03
Canada,CAN,2016,0.03
Canada,CAN,2017,0.03
Canada,CAN,2018,0.03
Croatia,HRV,2017,0.01
Croatia,HRV,2018,0.01
Czechia,CZE,2011,0
Czechia,CZE,2012,0.01
Czechia,CZE,2013,0
Czechia,CZE,2014,0
Czechia,CZE,2015,0
Czechia,CZE,2016,0
Czechia,CZE,2017,0.01
Czechia,CZE,2018,0
Denmark,DNK,2000,0.07
Denmark,DNK,2001,0.02
Denmark,DNK,2003,0.03
Denmark,DNK,2004,0.04
Denmark,DNK,2005,0.05
Denmark,DNK,2006,0.05
Denmark,DNK,2007,0.05
Denmark,DNK,2008,0.05
Denmark,DNK,2009,0.05
Denmark,DNK,2010,0.07
Denmark,DNK,2011,0.06
Denmark,DNK,2012,0.05
Denmark,DNK,2013,0.05
Denmark,DNK,2014,0.06
Denmark,DNK,2015,0.04
Denmark,DNK,2016,0.04
Denmark,DNK,2017,0.03
Denmark,DNK,2018,0.04
Estonia,EST,2013,0
Estonia,EST,2014,0
Estonia,EST,2015,0
Estonia,EST,2016,0
Estonia,EST,2017,0
Estonia,EST,2018,0
Finland,FIN,2000,0.02
Finland,FIN,2001,0.02
Finland,FIN,2002,0.02
Finland,FIN,2003,0.02
Finland,FIN,2006,0.02
Finland,FIN,2007,0.02
Finland,FIN,2008,0.02
Finland,FIN,2009,0.02
Finland,FIN,2010,0.03
Finland,FIN,2011,0.02
Finland,FIN,2012,0.03
Finland,FIN,2013,0.03
Finland,FIN,2014,0.04
Finland,FIN,2015,0.04
Finland,FIN,2016,0.03
Finland,FIN,2017,0.02
Finland,FIN,2018,0.02
France,FRA,2000,0.01
France,FRA,2001,0.01
France,FRA,2002,0.01
France,FRA,2003,0.01
France,FRA,2004,0.01
France,FRA,2005,0
France,FRA,2006,0.01
France,FRA,2007,0.01
France,FRA,2008,0.03
France,FRA,2009,0.03
France,FRA,2010,0.03
France,FRA,2011,0.01
France,FRA,2012,0.01
France,FRA,2013,0.01
France,FRA,2014,0.01
France,FRA,2015,0.01
France,FRA,2016,0.01
France,FRA,2017,0.01
France,FRA,2018,0.01
Germany,DEU,2000,0.02
Germany,DEU,2001,0.02
Germany,DEU,2002,0.01
Germany,DEU,2003,0.02
Germany,DEU,2004,0.02
Germany,DEU,2005,0.02
Germany,DEU,2006,0.02
Germany,DEU,2007,0.02
Germany,DEU,2008,0.02
Germany,DEU,2009,0.02
Germany,DEU,2010,0.02
Germany,DEU,2011,0.02
Germany,DEU,2012,0.02
Germany,DEU,2013,0.02
Germany,DEU,2014,0.02
Germany,DEU,2015,0.02
Germany,DEU,2016,0.03
Germany,DEU,2017,0.03
Germany,DEU,2018,0.03
Greece,GRC,2002,0
Greece,GRC,2003,0.03
Greece,GRC,2004,0.01
Greece,GRC,2005,0.01
Greece,GRC,2006,0.01
Greece,GRC,2007,0.01
Greece,GRC,2008,0
Greece,GRC,2009,0.01
Greece,GRC,2010,0
Greece,GRC,2011,0
Greece,GRC,2012,0
Greece,GRC,2013,0
Greece,GRC,2014,0
Greece,GRC,2017,0
Greece,GRC,2018,0
Hungary,HUN,2014,0
Hungary,HUN,2015,0
Hungary,HUN,2016,0
Hungary,HUN,2017,0
Hungary,HUN,2018,0.02
Iceland,ISL,2011,0.04
Iceland,ISL,2012,0.05
Iceland,ISL,2013,0.06
Iceland,ISL,2014,0.06
Iceland,ISL,2015,0.06
Iceland,ISL,2016,0.05
Iceland,ISL,2017,0.04
Iceland,ISL,2018,0.05
Ireland,IRL,2000,0.03
Ireland,IRL,2001,0.03
Ireland,IRL,2002,0.05
Ireland,IRL,2003,0.05
Ireland,IRL,2004,0.06
Ireland,IRL,2005,0.06
Ireland,IRL,2006,0.06
Ireland,IRL,2007,0.06
Ireland,IRL,2008,0.06
Ireland,IRL,2009,0.07
Ireland,IRL,2010,0.05
Ireland,IRL,2011,0.07
Ireland,IRL,2012,0.05
Ireland,IRL,2013,0.04
Ireland,IRL,2014,0.04
Ireland,IRL,2015,0.03
Ireland,IRL,2016,0.02
Ireland,IRL,2017,0.02
Ireland,IRL,2018,0.02
Italy,ITA,2000,0.01
Italy,ITA,2001,0.01
Italy,ITA,2002,0
Italy,ITA,2003,0
Italy,ITA,2004,0.01
Italy,ITA,2005,0
Italy,ITA,2006,0
Italy,ITA,2007,0
Italy,ITA,2008,0.01
Italy,ITA,2009,0.01
Italy,ITA,2010,0
Italy,ITA,2011,0
Italy,ITA,2012,0
Italy,ITA,2013,0
Italy,ITA,2014,0
Italy,ITA,2015,0
Italy,ITA,2016,0
Italy,ITA,2017,0.01
Italy,ITA,2018,0
Japan,JPN,2000,0.01
Japan,JPN,2001,0.01
Japan,JPN,2002,0.01
Japan,JPN,2003,0.01
Japan,JPN,2004,0.01
Japan,JPN,2005,0.01
