Entity,Code,Year,10.2.1 - Proportion of people living below 50 percent of median income (%) - SI_POV_50MI
Albania,ALB,1996,8
Albania,ALB,2002,8
Albania,ALB,2005,9
Albania,ALB,2008,7
Albania,ALB,2012,8
Albania,ALB,2014,14
Albania,ALB,2015,11
Albania,ALB,2016,13
Albania,ALB,2017,12
Algeria,DZA,1988,14
Algeria,DZA,1995,14
Algeria,DZA,2011,6
Angola,AGO,2000,23
Angola,AGO,2008,17
Angola,AGO,2018,23
Argentina,ARG,1980,19
Argentina,ARG,1986,19
Argentina,ARG,1987,21
Argentina,ARG,1991,17
Argentina,ARG,1992,20
Argentina,ARG,1993,20
Argentina,ARG,1994,21
Argentina,ARG,1995,21
Argentina,ARG,1996,22
Argentina,ARG,1997,22
Argentina,ARG,1998,23
Argentina,ARG,1999,22
Argentina,ARG,2000,24
Argentina,ARG,2001,25
Argentina,ARG,2002,26
Argentina,ARG,2003,25
Argentina,ARG,2004,24
Argentina,ARG,2005,24
Argentina,ARG,2006,23
Argentina,ARG,2007,24
Argentina,ARG,2008,22
Argentina,ARG,2009,23
Argentina,ARG,2010,22
Argentina,ARG,2011,21
Argentina,ARG,2012,20
Argentina,ARG,2013,20
Argentina,ARG,2014,20
Argentina,ARG,2016,21
Argentina,ARG,2017,19
Argentina,ARG,2018,20
Armenia,ARM,1996,17
Armenia,ARM,1999,9
Armenia,ARM,2001,9
Armenia,ARM,2002,7
Armenia,ARM,2003,6
Armenia,ARM,2004,8
Armenia,ARM,2005,7
Armenia,ARM,2006,7
Armenia,ARM,2007,8
Armenia,ARM,2008,6
Armenia,ARM,2009,6
Armenia,ARM,2010,6
Armenia,ARM,2011,7
Armenia,ARM,2012,7
Armenia,ARM,2013,8
Armenia,ARM,2014,8
Armenia,ARM,2015,9
Armenia,ARM,2016,12
Armenia,ARM,2017,7
Armenia,ARM,2018,8
Australia,AUS,1981,10
Australia,AUS,1985,11
Australia,AUS,1989,11
Australia,AUS,1995,10
Australia,AUS,2001,10
Australia,AUS,2003,10
Australia,AUS,2004,10
Australia,AUS,2008,10
Australia,AUS,2010,10
Australia,AUS,2014,10
Austria,AUT,1987,5
Austria,AUT,1994,9
Austria,AUT,1995,13
Austria,AUT,1997,9
Austria,AUT,2000,9
Austria,AUT,2003,9
Austria,AUT,2004,8
Austria,AUT,2005,8
Austria,AUT,2006,8
Austria,AUT,2007,10
Austria,AUT,2008,10
Austria,AUT,2009,11
Austria,AUT,2010,10
Austria,AUT,2011,10
Austria,AUT,2012,11
Austria,AUT,2013,10
Austria,AUT,2014,10
Austria,AUT,2015,11
Austria,AUT,2016,11
Austria,AUT,2017,11
Azerbaijan,AZE,1995,13
Azerbaijan,AZE,2001,10
Azerbaijan,AZE,2002,2
Azerbaijan,AZE,2003,3
Azerbaijan,AZE,2004,1
Azerbaijan,AZE,2005,1
Bangladesh,BGD,1983,6
Bangladesh,BGD,1985,4
Bangladesh,BGD,1988,5
Bangladesh,BGD,1991,6
Bangladesh,BGD,1995,5
Bangladesh,BGD,2000,5
Bangladesh,BGD,2005,4
Bangladesh,BGD,2010,5
Bangladesh,BGD,2016,6
Belarus,BLR,1993,3
Belarus,BLR,1995,10
Belarus,BLR,1998,11
Belarus,BLR,1999,12
Belarus,BLR,2000,11
Belarus,BLR,2001,10
Belarus,BLR,2002,10
Belarus,BLR,2003,9
Belarus,BLR,2004,8
Belarus,BLR,2005,9
Belarus,BLR,2006,9
Belarus,BLR,2007,9
Belarus,BLR,2008,9
Belarus,BLR,2009,8
Belarus,BLR,2010,8
Belarus,BLR,2011,8
Belarus,BLR,2012,7
Belarus,BLR,2013,7
Belarus,BLR,2014,7
Belarus,BLR,2015,6
Belarus,BLR,2016,6
Belarus,BLR,2017,5
Belarus,BLR,2018,5
Belgium,BEL,1985,6
Belgium,BEL,1988,7
Belgium,BEL,1992,7
Belgium,BEL,1995,8
Belgium,BEL,1997,8
Belgium,BEL,2000,7
Belgium,BEL,2003,9
Belgium,BEL,2004,9
Belgium,BEL,2005,9
Belgium,BEL,2006,9
Belgium,BEL,2007,9
Belgium,BEL,2008,9
Belgium,BEL,2009,9
