Entity,Code,Year,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - Total or no breakdown
Afghanistan,AFG,2005,36.18701
Afghanistan,AFG,2010,44.7417
Afghanistan,AFG,2015,54.0446
Afghanistan,AFG,2016,51.39284
Afghanistan,AFG,2017,61.96485
Afghanistan,AFG,2018,62.7195
Afghanistan,AFG,2019,62.49523
Afghanistan,AFG,2020,56.19915
Albania,ALB,2005,57.61431
Albania,ALB,2010,61.91099
Albania,ALB,2015,62.41879
Albania,ALB,2016,46.80501
Albania,ALB,2017,60.39092
Albania,ALB,2018,61.2524
Albania,ALB,2019,59.46634
Albania,ALB,2020,60.77901
Algeria,DZA,2005,63.81579
Algeria,DZA,2010,50.58352
Algeria,DZA,2015,65.10034
Algeria,DZA,2016,45.67742
Algeria,DZA,2017,64.14357
Algeria,DZA,2018,65.06725
Algeria,DZA,2019,54.62042
Algeria,DZA,2020,56.53595
American Samoa,ASM,2005,22.22222
American Samoa,ASM,2010,8.95522
American Samoa,ASM,2015,11.9171
American Samoa,ASM,2016,22.44898
American Samoa,ASM,2017,26.4993
American Samoa,ASM,2018,26.74095
American Samoa,ASM,2019,31.04762
American Samoa,ASM,2020,20.48458
Andorra,AND,2005,59.47368
Andorra,AND,2010,54.64217
Andorra,AND,2015,68.02661
Andorra,AND,2016,32.6707
Andorra,AND,2017,58.06068
Andorra,AND,2018,59.08005
Andorra,AND,2019,67.31766
Andorra,AND,2020,69.12521
Angola,AGO,2005,55.26127
Angola,AGO,2010,61.62383
Angola,AGO,2015,65.2043
Angola,AGO,2016,42.81467
Angola,AGO,2017,45.98005
Angola,AGO,2018,46.30015
Angola,AGO,2019,47.2562
Angola,AGO,2020,46.3035
Anguilla,AIA,2005,39.08046
Anguilla,AIA,2010,20.68311
Anguilla,AIA,2015,53.5865
Anguilla,AIA,2016,50
Anguilla,AIA,2017,49.18415
Anguilla,AIA,2018,48.12207
Anguilla,AIA,2019,53.34773
Anguilla,AIA,2020,45.17241
Antigua and Barbuda,ATG,2005,59.7541
Antigua and Barbuda,ATG,2010,33.57966
Antigua and Barbuda,ATG,2015,72.88732
Antigua and Barbuda,ATG,2016,80.29772
Antigua and Barbuda,ATG,2017,68.23529
Antigua and Barbuda,ATG,2018,70.10924
Antigua and Barbuda,ATG,2019,68.10345
Antigua and Barbuda,ATG,2020,77.85978
Argentina,ARG,2005,54.65586
Argentina,ARG,2010,60.17661
Argentina,ARG,2015,67.19485
Argentina,ARG,2016,67.85757
Argentina,ARG,2017,64.59782
Argentina,ARG,2018,69.82784
Argentina,ARG,2019,67.51131
Argentina,ARG,2020,68.26317
Armenia,ARM,2005,70.31873
Armenia,ARM,2010,74.6349
Armenia,ARM,2015,74.38948
Armenia,ARM,2016,71.19565
Armenia,ARM,2017,75.83393
Armenia,ARM,2018,76.09008
Armenia,ARM,2019,78.88889
Armenia,ARM,2020,78.2982
Aruba,ABW,2005,30.00792
Aruba,ABW,2010,20.87507
Aruba,ABW,2015,54.14847
Aruba,ABW,2016,24.94831
Aruba,ABW,2017,32.62248
Aruba,ABW,2018,32.68012
Aruba,ABW,2019,30.15214
Aruba,ABW,2020,30.08982
Australia,AUS,2005,39.78159
Australia,AUS,2010,40.79489
Australia,AUS,2015,46.98474
Australia,AUS,2016,46.58184
Australia,AUS,2017,50.9763
Australia,AUS,2018,51.85062
Australia,AUS,2019,54.15467
Australia,AUS,2020,55.39847
Australia and New Zealand,,2005,39.91333
Australia and New Zealand,,2010,41.04259
Australia and New Zealand,,2015,47.60489
Australia and New Zealand,,2016,45.55268
Australia and New Zealand,,2017,49.73568
Australia and New Zealand,,2018,50.37465
Australia and New Zealand,,2019,53.7564
Australia and New Zealand,,2020,54.53011
Austria,AUT,2005,43.941
Austria,AUT,2010,51.7771
Austria,AUT,2015,58.4763
Austria,AUT,2017,62.63685
Austria,AUT,2018,63.34291
Austria,AUT,2019,62.69467
Austria,AUT,2020,64.473
Azerbaijan,AZE,2005,79.85185
Azerbaijan,AZE,2010,82.34365
Azerbaijan,AZE,2015,70.90193
Azerbaijan,AZE,2016,76.35279
