Entity,Code,Year,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL"
Australia,AUS,2000,1891000000
Australia,AUS,2001,1208000000
Australia,AUS,2002,768000000
Australia,AUS,2003,2921000000
Australia,AUS,2004,2352000000
Australia,AUS,2005,5201000000
Australia,AUS,2006,9003000000
Australia,AUS,2007,10249000000
Australia,AUS,2008,3828000000
Australia,AUS,2009,3133000000
Australia,AUS,2010,14531000000
Australia,AUS,2011,18522000000
Australia,AUS,2012,21906000000
Australia,AUS,2013,23170000000
Australia,AUS,2014,31975000000
Australia,AUS,2015,13840000000
Australia,AUS,2016,15124000000
Australia,AUS,2017,266000000
Australia,AUS,2018,398000000
Australia,AUS,2019,5032000000
Austria,AUT,2000,1135000000
Austria,AUT,2001,836000000
Austria,AUT,2002,1910000000
Austria,AUT,2003,1445000000
Austria,AUT,2004,1352000000
Austria,AUT,2005,4837000000
Austria,AUT,2006,3455000000
Austria,AUT,2007,20405000000
Austria,AUT,2008,10831000000
Austria,AUT,2009,3273000000
Austria,AUT,2010,6372000000
Austria,AUT,2011,8075000000
Austria,AUT,2012,4797000000
Austria,AUT,2013,1044000000
Austria,AUT,2014,3475000000
Austria,AUT,2015,4692000000
Austria,AUT,2016,3250000000
Austria,AUT,2017,2254000000
Austria,AUT,2018,2443000000
Austria,AUT,2019,2803000000
Azerbaijan,AZE,2014,16000000
Azerbaijan,AZE,2015,13000000
Azerbaijan,AZE,2016,13000000
Azerbaijan,AZE,2017,19000000
Azerbaijan,AZE,2018,28000000
Azerbaijan,AZE,2019,26000000
Belgium,BEL,2000,2281000000
Belgium,BEL,2001,304000000
Belgium,BEL,2002,1337000000
Belgium,BEL,2003,1221000000
Belgium,BEL,2004,816000000
Belgium,BEL,2005,3142000000
Belgium,BEL,2006,5308000000
Belgium,BEL,2007,3818000000
Belgium,BEL,2008,4425000000
Belgium,BEL,2009,3224000000
Belgium,BEL,2010,7896000000
Belgium,BEL,2011,1185000000
Belgium,BEL,2012,2703000000
Belgium,BEL,2013,10217000000
Belgium,BEL,2014,8725000000
Belgium,BEL,2015,3635000000
Belgium,BEL,2016,-11432000000
Belgium,BEL,2017,7728000000
Belgium,BEL,2018,3896000000
Belgium,BEL,2019,4316000000
Bulgaria,BGR,2010,40000000
Bulgaria,BGR,2011,48000000
Bulgaria,BGR,2012,40000000
Bulgaria,BGR,2013,50000000
Bulgaria,BGR,2014,49000000
Bulgaria,BGR,2015,41000000
Bulgaria,BGR,2016,68000000
Bulgaria,BGR,2017,62000000
Bulgaria,BGR,2018,69000000
Bulgaria,BGR,2019,65000000
Canada,CAN,2000,6483000000
Canada,CAN,2001,1538000000
Canada,CAN,2002,2044000000
Canada,CAN,2003,4949000000
Canada,CAN,2004,5986000000
Canada,CAN,2005,13373000000
Canada,CAN,2006,14233000000
Canada,CAN,2007,17161000000
Canada,CAN,2008,24069000000
Canada,CAN,2009,7340000000
Canada,CAN,2010,22642000000
Canada,CAN,2011,13548000000
Canada,CAN,2012,17068000000
Canada,CAN,2013,10397000000
Canada,CAN,2014,17876000000
Canada,CAN,2015,3718000000
Canada,CAN,2016,10026000000
Canada,CAN,2017,4348000000
Canada,CAN,2018,8886000000
Canada,CAN,2019,4620000000
Croatia,HRV,2012,21000000
Croatia,HRV,2013,45000000
Croatia,HRV,2014,72000000
Croatia,HRV,2015,51000000
Croatia,HRV,2016,41000000
Croatia,HRV,2017,54000000
Croatia,HRV,2018,79000000
Croatia,HRV,2019,73000000
Cyprus,CYP,2005,15000000
Cyprus,CYP,2006,26000000
Cyprus,CYP,2007,35000000
Cyprus,CYP,2008,37000000
Cyprus,CYP,2009,46000000
Cyprus,CYP,2010,51000000
Cyprus,CYP,2011,38000000
Cyprus,CYP,2012,25000000
Cyprus,CYP,2013,20000000
Cyprus,CYP,2014,19000000
Cyprus,CYP,2015,18000000
Cyprus,CYP,2018,25000000
Cyprus,CYP,2019,20000000
Czechia,CZE,2000,16000000
Czechia,CZE,2001,26000000
Czechia,CZE,2002,45000000
Czechia,CZE,2003,91000000
Czechia,CZE,2004,108000000
Czechia,CZE,2005,135000000
Czechia,CZE,2006,161000000
Czechia,CZE,2007,179000000
Czechia,CZE,2008,249000000
Czechia,CZE,2009,216000000
Czechia,CZE,2010,228000000
Czechia,CZE,2011,250000000
Czechia,CZE,2012,220000000
Czechia,CZE,2013,211000000
Czechia,CZE,2014,106000000
Czechia,CZE,2015,263000000
Czechia,CZE,2016,223000000
Czechia,CZE,2017,124000000
Czechia,CZE,2018,129000000
Czechia,CZE,2019,285000000
Denmark,DNK,2000,2176000000
Denmark,DNK,2001,2645000000
Denmark,DNK,2002,1577000000
Denmark,DNK,2003,1896000000
Denmark,DNK,2004,2634000000
Denmark,DNK,2005,2215000000
Denmark,DNK,2006,2686000000
Denmark,DNK,2007,4807000000
Denmark,DNK,2008,5150000000
Denmark,DNK,2009,3757000000
Denmark,DNK,2010,4794000000
Denmark,DNK,2011,2818000000
Denmark,DNK,2012,2400000000
Denmark,DNK,2013,4371000000
Denmark,DNK,2014,4194000000
Denmark,DNK,2015,2931000000
Denmark,DNK,2016,3327000000
Denmark,DNK,2017,5980000000
Denmark,DNK,2018,5724000000
Denmark,DNK,2019,3121000000
Estonia,EST,2000,1000000
Estonia,EST,2001,0
Estonia,EST,2002,1000000
Estonia,EST,2003,1000000
Estonia,EST,2004,5000000
Estonia,EST,2005,10000000
Estonia,EST,2006,14000000
Estonia,EST,2007,16000000
Estonia,EST,2008,22000000
Estonia,EST,2009,18000000
Estonia,EST,2010,19000000
Estonia,EST,2011,24000000
Estonia,EST,2012,23000000
Estonia,EST,2013,31000000
Estonia,EST,2014,37000000
Estonia,EST,2015,33000000
Estonia,EST,2016,43000000
Estonia,EST,2017,43000000
Estonia,EST,2018,48000000
Estonia,EST,2019,48000000
Finland,FIN,2000,1087000000
Finland,FIN,2001,1334000000
Finland,FIN,2002,-180000000
Finland,FIN,2003,-44000000
Finland,FIN,2004,1338000000
Finland,FIN,2005,1642000000
Finland,FIN,2006,1413000000
Finland,FIN,2007,2149000000
Finland,FIN,2008,-221000000
Finland,FIN,2009,3185000000
Finland,FIN,2010,4312000000
Finland,FIN,2011,1016000000
Finland,FIN,2012,1527000000
Finland,FIN,2013,996000000
Finland,FIN,2014,3027000000
Finland,FIN,2015,-48000000
Finland,FIN,2016,1860000000
