Entity,Code,Year,"12.4.2 - Hazardous waste generated, per capita (Kg) - EN_HAZ_PCAP"
Algeria,DZA,2003,10.0731
Algeria,DZA,2007,9.51504
Andorra,AND,2013,12.08369
Andorra,AND,2014,26.27094
Andorra,AND,2015,22.92513
Andorra,AND,2016,24.88389
Andorra,AND,2017,19.83844
Andorra,AND,2018,18.79901
Andorra,AND,2019,16.89819
Argentina,ARG,2016,16.82933
Argentina,ARG,2017,22.83043
Argentina,ARG,2018,17.57628
Argentina,ARG,2019,17.22542
Armenia,ARM,2000,124.30883
Armenia,ARM,2001,123.08707
Armenia,ARM,2002,124.55603
Armenia,ARM,2003,114.01659
Armenia,ARM,2004,117.10542
Armenia,ARM,2005,116.16725
Armenia,ARM,2006,119.08153
Armenia,ARM,2007,123.53309
Armenia,ARM,2008,150.38392
Armenia,ARM,2009,152.70402
Armenia,ARM,2010,151.32091
Armenia,ARM,2011,160.92127
Armenia,ARM,2012,163.12992
Armenia,ARM,2013,199.83821
Armenia,ARM,2014,197.91882
Armenia,ARM,2015,189.7335
Armenia,ARM,2016,209.61846
Armenia,ARM,2017,182.63233
Armenia,ARM,2018,173.07023
Armenia,ARM,2019,192.89705
Azerbaijan,AZE,2000,3.26934
Azerbaijan,AZE,2001,2.00517
Azerbaijan,AZE,2002,1.18122
Azerbaijan,AZE,2003,3.21249
Azerbaijan,AZE,2004,1.3236
Azerbaijan,AZE,2005,1.5027
Azerbaijan,AZE,2006,3.42671
Azerbaijan,AZE,2007,1.20022
Azerbaijan,AZE,2008,2.7518
Azerbaijan,AZE,2009,14.7729
Azerbaijan,AZE,2010,15.49643
Azerbaijan,AZE,2011,20.30072
Azerbaijan,AZE,2012,32.055
Azerbaijan,AZE,2013,21.61661
Azerbaijan,AZE,2014,48.0374
Azerbaijan,AZE,2015,27.285
Azerbaijan,AZE,2016,64.97528
Azerbaijan,AZE,2017,27.01488
Azerbaijan,AZE,2018,34.04581
Azerbaijan,AZE,2019,31.59055
Bahrain,BHR,2000,210.64985
Bahrain,BHR,2001,200.70246
Bahrain,BHR,2002,190.43992
Bahrain,BHR,2003,43.16894
Bahrain,BHR,2004,39.77244
Bahrain,BHR,2005,42.96429
Bahrain,BHR,2006,40.42057
Bahrain,BHR,2007,33.79398
Bahrain,BHR,2010,58.36175
Bahrain,BHR,2011,55.27935
Bahrain,BHR,2012,58.9405
Bahrain,BHR,2013,56.18999
Bahrain,BHR,2014,54.81298
