Entity,Code,Year,"12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Recycling","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Other type of waste management","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Incineration","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Landfilling"
Algeria,DZA,2003,,0,,
Algeria,DZA,2007,,10461900,,
Andorra,AND,2013,0,0,0,0
Andorra,AND,2014,0,0,0,0
Andorra,AND,2015,0,0,0,0
Andorra,AND,2016,0,0,0,0
Andorra,AND,2017,0,0,0,0
Andorra,AND,2018,0,0,0,0
Andorra,AND,2019,0,0,0,0
Antigua and Barbuda,ATG,2005,,,,60.2
Antigua and Barbuda,ATG,2006,,,,86.26
Antigua and Barbuda,ATG,2007,,,,51.76
Antigua and Barbuda,ATG,2008,,,,100.86
Antigua and Barbuda,ATG,2009,,,,52.96
Antigua and Barbuda,ATG,2010,,,,23.06
Antigua and Barbuda,ATG,2011,,,,157.22
Antigua and Barbuda,ATG,2012,,,,7.94
Antigua and Barbuda,ATG,2013,,,,7.16
Antigua and Barbuda,ATG,2014,,,,13.6
Antigua and Barbuda,ATG,2015,,,,16.6
Antigua and Barbuda,ATG,2016,,,,8
Antigua and Barbuda,ATG,2017,,,,11.98
Antigua and Barbuda,ATG,2018,,,,9.56
Antigua and Barbuda,ATG,2019,,,,26.35
Armenia,ARM,2000,0,,0,381578
Armenia,ARM,2001,0,,0,375500
Armenia,ARM,2002,0,,0,377900
Armenia,ARM,2003,0,,0,344095
Armenia,ARM,2004,0,,0,351400
Armenia,ARM,2005,0,,0,346325
Armenia,ARM,2006,0,,0,352279
Armenia,ARM,2007,0,,0,362275
Armenia,ARM,2008,2362,,1359,433537.53125
Armenia,ARM,2009,2340,,456,438227.5625
Armenia,ARM,2010,2286,,300,432811.78125
Armenia,ARM,2011,5154,,12,457729.8125
Armenia,ARM,2012,7983,,167.39999,460844.6875
Armenia,ARM,2013,4059,,17,574973.8125
Armenia,ARM,2014,2290,,2379,571750.375
