Entity,Code,Year,"12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Agriculture, forestry and fishing","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Construction","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Manufacturing","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Electricity, gas, steam and air conditioning supply","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Mining and quarrying","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Other service activities"
Algeria,DZA,2002,,5200000,,,,,
Algeria,DZA,2005,,8500000,,,,,
Algeria,DZA,2009,,9600000,,,,,
Algeria,DZA,2014,,11000000,,,,,
Algeria,DZA,2015,,11325000,,,,,
Algeria,DZA,2016,,12000000,,,,,
Algeria,DZA,2017,,13000000,,,,,
Andorra,AND,2008,0,45500,81629.997,320,0,0,8030
Andorra,AND,2009,0,45529.999,53490.002,660,110,0,9380
Andorra,AND,2011,891,44110.001,31240,730,6,0,6980
Andorra,AND,2012,1480,41959.999,19309.999,580,7,0,6000
Andorra,AND,2013,1572.61,40314.888,25518.299,591.135,0,0,4966
Andorra,AND,2014,2539.576,39759.09,33990.398,576.353,14.27,0,8420.72
Andorra,AND,2015,926.9,41163.91,38917.301,579.204,0,0,6837.46
Andorra,AND,2016,981.6,42173.664,33454.8,585.28,4,0,6884.78
Andorra,AND,2017,1005.3,42443.851,49179.1,579.228,0,0,6591.845
Andorra,AND,2018,1216.9,42441.399,53558.201,591.916,0,0,7524.971
Andorra,AND,2019,915.6,40782.2,53358.799,631.6,0,0,7547.612
Andorra,AND,2003,,48500,,,,0,
Andorra,AND,2004,,48299.999,,,,0,
Andorra,AND,2005,,48610.001,,,,0,
Andorra,AND,2006,,49750,,,,0,
Andorra,AND,2007,,43939.999,80419.998,,,0,
Andorra,AND,2010,,48959.999,49939.999,740,20,0,8400
Andorra,AND,2001,,,,,,0,
Andorra,AND,2002,,,,,,0,
Andorra,AND,2000,,,,,,,2700
Anguilla,AIA,2001,649.905,3093.15,626.392,,,,1265.19
Anguilla,AIA,2002,612.341,2979.068,538.403,,,,975.153
Anguilla,AIA,2003,551.1,2786.1,540.9,,,,761.625
Anguilla,AIA,2004,743.775,3429.975,523.745,,,,575.795
Anguilla,AIA,2005,1624.732,4018.031,1318.2,,,,1051.125
Anguilla,AIA,2006,2651.878,4797.981,1580.498,,,,1422.495
Anguilla,AIA,2007,3486.892,5287.65,1516.837,,,,2069.025
Anguilla,AIA,2008,4000.762,5037.975,1763.85,,,,3852.113
Antigua and Barbuda,ATG,2005,,21250,10000,,,,15200
Antigua and Barbuda,ATG,2006,,20500,9800,150,,,13150
