Entity,Code,Year,"12.5.1 - Electronic waste recycling, rate (%) - EN_EWT_RCYR"
Australia and New Zealand,,2012,7.72
Australia and New Zealand,,2013,9.03
Australia and New Zealand,,2014,7.44
Australia and New Zealand,,2015,9.04
Australia and New Zealand,,2016,9.05
Australia and New Zealand,,2017,9.04
Australia and New Zealand,,2018,9.04
Australia and New Zealand,,2019,9.04
Central and Southern Asia,,2016,0.47
Central and Southern Asia,,2017,5.14
Central and Southern Asia,,2018,4.71
Central and Southern Asia,,2019,4.69
Eastern and South-Eastern Asia,,2010,8.59
Eastern and South-Eastern Asia,,2011,7.11
Eastern and South-Eastern Asia,,2012,5.78
Eastern and South-Eastern Asia,,2013,13.85
Eastern and South-Eastern Asia,,2014,12.47
Eastern and South-Eastern Asia,,2015,12.17
Eastern and South-Eastern Asia,,2016,13.05
Eastern and South-Eastern Asia,,2017,12.94
Eastern and South-Eastern Asia,,2018,12.68
Eastern and South-Eastern Asia,,2019,12.48
Europe and Northern America,,2010,27.94
Europe and Northern America,,2011,28.57
Europe and Northern America,,2012,27.93
Europe and Northern America,,2013,29.16
Europe and Northern America,,2014,29.37
Europe and Northern America,,2015,30.26
Europe and Northern America,,2016,32.38
Europe and Northern America,,2017,31.9
Europe and Northern America,,2018,31.85
Europe and Northern America,,2019,31.81
Latin America and the Caribbean,,2010,0.99
Latin America and the Caribbean,,2011,0.98
Latin America and the Caribbean,,2012,0.98
Latin America and the Caribbean,,2013,1.24
Latin America and the Caribbean,,2014,1.31
Latin America and the Caribbean,,2015,1.49
Latin America and the Caribbean,,2016,1.35
Latin America and the Caribbean,,2017,1.49
Latin America and the Caribbean,,2018,1.3
Latin America and the Caribbean,,2019,1.3
Northern Africa and Western Asia,,2010,0.11
Northern Africa and Western Asia,,2011,0.1
Northern Africa and Western Asia,,2012,0.09
Northern Africa and Western Asia,,2013,0.08
Northern Africa and Western Asia,,2014,0.07
Northern Africa and Western Asia,,2015,3.85
Northern Africa and Western Asia,,2016,3.86
Northern Africa and Western Asia,,2017,3.89
Northern Africa and Western Asia,,2018,3.96
Northern Africa and Western Asia,,2019,3.98
Sub-Saharan Africa,,2010,0.34
Sub-Saharan Africa,,2011,0.73
Sub-Saharan Africa,,2012,0.74
Sub-Saharan Africa,,2013,0.71
Sub-Saharan Africa,,2014,0.69
Sub-Saharan Africa,,2015,2.48
Sub-Saharan Africa,,2016,3.48
Sub-Saharan Africa,,2017,2.81
Sub-Saharan Africa,,2018,4.37
Sub-Saharan Africa,,2019,4.28
World,OWID_WRL,2010,15.73
World,OWID_WRL,2011,15.23
World,OWID_WRL,2012,14.32
World,OWID_WRL,2013,17.59
World,OWID_WRL,2014,16.97
World,OWID_WRL,2015,17.39
World,OWID_WRL,2016,18.42
World,OWID_WRL,2017,18.02
World,OWID_WRL,2018,17.76
World,OWID_WRL,2019,17.5
