Entity,Code,Year,12.c.1 - Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%) - ER_FFS_CMPT_GDP
Afghanistan,AFG,2015,0
Afghanistan,AFG,2016,0
Afghanistan,AFG,2017,0.04921
Afghanistan,AFG,2018,0.49127
Afghanistan,AFG,2019,0.72134
Afghanistan,AFG,2020,0.29949
Africa,,2015,1.72868
Africa,,2016,1.15178
Africa,,2017,1.65117
Africa,,2018,2.47743
Africa,,2019,1.65268
Africa,,2020,1.19008
Albania,ALB,2015,0
Albania,ALB,2016,0
Albania,ALB,2017,0
Albania,ALB,2018,0
Albania,ALB,2019,0
Albania,ALB,2020,0
Algeria,DZA,2015,7.49635
Algeria,DZA,2016,4.07862
Algeria,DZA,2017,5.47671
Algeria,DZA,2018,9.8335
Algeria,DZA,2019,7.01864
Algeria,DZA,2020,4.98803
Americas,,2015,0.30813
Americas,,2016,0.3136
Americas,,2017,0.2298
Americas,,2018,0.23102
Americas,,2019,0.23264
Americas,,2020,0.16753
Angola,AGO,2015,0.16844
Angola,AGO,2016,0.43313
Angola,AGO,2017,0.22029
Angola,AGO,2018,1.70384
Angola,AGO,2019,1.02424
Angola,AGO,2020,1.43942
Antigua and Barbuda,ATG,2015,0.77633
Antigua and Barbuda,ATG,2016,0.67703
Antigua and Barbuda,ATG,2017,1.112
Antigua and Barbuda,ATG,2018,2.60519
Antigua and Barbuda,ATG,2019,2.19398
Antigua and Barbuda,ATG,2020,0.93123
Argentina,ARG,2015,3.11232
Argentina,ARG,2016,3.04599
Argentina,ARG,2017,1.90551
Argentina,ARG,2018,1.41086
Argentina,ARG,2019,1.14782
Argentina,ARG,2020,0.77244
Armenia,ARM,2015,0.30289
Armenia,ARM,2016,0.21044
Armenia,ARM,2017,0.19649
Armenia,ARM,2018,0.03825
Armenia,ARM,2019,0.03566
Armenia,ARM,2020,0.09941
Aruba,ABW,2015,0
Aruba,ABW,2016,0
Aruba,ABW,2017,0
Aruba,ABW,2018,0
Aruba,ABW,2019,0.00067
Aruba,ABW,2020,1.91549
Asia,,2015,0.88918
Asia,,2016,0.5969
Asia,,2017,0.69629
Asia,,2018,0.82512
Asia,,2019,0.71505
Asia,,2020,0.4709
Australia,AUS,2015,0.35484
Australia,AUS,2016,0.56171
Australia,AUS,2017,0.62397
