Entity,Code,Year,11.b.2 - Number of local governments (number) - SG_GOV_LOGV
Afghanistan,AFG,2017,373
Afghanistan,AFG,2018,373
Afghanistan,AFG,2019,383
Albania,ALB,2018,61
Algeria,DZA,2015,48
Algeria,DZA,2016,48
Algeria,DZA,2017,48
Algeria,DZA,2018,48
Algeria,DZA,2019,48
Algeria,DZA,2020,58
Angola,AGO,2014,18
Angola,AGO,2015,18
Angola,AGO,2016,18
Angola,AGO,2017,18
Angola,AGO,2018,18
Antigua and Barbuda,ATG,2008,1
Argentina,ARG,2016,1166
Argentina,ARG,2018,1166
Armenia,ARM,2017,793
Armenia,ARM,2018,502
Armenia,ARM,2019,502
Armenia,ARM,2020,502
Australia,AUS,2018,537
Australia,AUS,2019,394
Australia,AUS,2020,342
Austria,AUT,2018,2096
Bangladesh,BGD,2015,503
Bangladesh,BGD,2016,503
Bangladesh,BGD,2017,503
Bangladesh,BGD,2018,503
Bangladesh,BGD,2019,503
Bangladesh,BGD,2020,503
Barbados,BRB,2018,0
Belarus,BLR,2015,128
Belarus,BLR,2016,128
Belarus,BLR,2017,128
Belarus,BLR,2018,128
Belarus,BLR,2019,128
Belarus,BLR,2020,128
Benin,BEN,2005,77
Benin,BEN,2006,77
Benin,BEN,2007,77
Benin,BEN,2008,77
Benin,BEN,2009,77
Benin,BEN,2010,77
Benin,BEN,2011,77
Benin,BEN,2012,77
Benin,BEN,2013,77
Benin,BEN,2014,77
Benin,BEN,2015,77
Benin,BEN,2016,77
Benin,BEN,2017,77
Benin,BEN,2018,77
Benin,BEN,2019,77
Benin,BEN,2020,77
Bhutan,BTN,2017,20
Bhutan,BTN,2018,39
Bolivia,BOL,2015,339
Bolivia,BOL,2016,339
Bolivia,BOL,2017,340
Bolivia,BOL,2018,340
Bolivia,BOL,2019,340
Bolivia,BOL,2020,340
Bosnia and Herzegovina,BIH,2017,143
Bosnia and Herzegovina,BIH,2018,143
Botswana,BWA,2017,32
Botswana,BWA,2018,32
Bulgaria,BGR,2015,265
Bulgaria,BGR,2016,265
Bulgaria,BGR,2017,265
Bulgaria,BGR,2018,265
Bulgaria,BGR,2019,265
Bulgaria,BGR,2020,266
Burkina Faso,BFA,2015,410
Burkina Faso,BFA,2016,410
Burkina Faso,BFA,2017,410
Burkina Faso,BFA,2018,410
Burkina Faso,BFA,2019,410
Burundi,BDI,2015,120
Burundi,BDI,2018,119
Cambodia,KHM,2015,25
Cape Verde,CPV,2020,22
Cape Verde,CPV,2021,22
Chile,CHL,2005,345
Chile,CHL,2006,345
Chile,CHL,2007,345
Chile,CHL,2008,345
Chile,CHL,2009,345
